date,from,to,text
2006-01-21T17:47:00.000Z,mcdenyer,,where can i make folders like a downloads folder and a pictures folder and a documents folder?
2006-01-21T17:47:00.000Z,mwe,mcdenyer,homedir. /home/mcdenyer
2006-01-21T17:48:00.000Z,mcdenyer,mwe,how do i get to that lol?
2006-01-21T17:49:00.000Z,mwe,mcdenyer,just open a terminal or file browser
2006-01-21T13:41:00.000Z,mwe,mcdenyer,there's a great tutorial on linuxgamer IIRC
2006-01-21T13:41:00.000Z,mcdenyer,mwe,ok ty
2006-01-21T13:41:00.000Z,mcdenyer,mwe,can u give me a link for that?
2006-01-21T13:41:00.000Z,mwe,mcdenyer,I bet google can. I don't have it at hand
2006-01-21T13:42:00.000Z,mcdenyer,mwe,ok
2006-01-21T13:45:00.000Z,mcdenyer,mwe,hey u think u cna help m install wine?
2006-01-21T13:46:00.000Z,mwe,mcdenyer,sudo apt-get install wine
2006-01-21T13:48:00.000Z,mcdenyer,mwe,i get errors
2006-01-21T13:48:00.000Z,mwe,mcdenyer,what errors?
2006-01-21T13:48:00.000Z,mcdenyer,mwe,couldnt get lock ..unable to lock
2006-01-21T13:49:00.000Z,mcdenyer,mwe,nevemrind i htink it cuasei  had a packamge manager oing
2006-01-21T13:49:00.000Z,mwe,mcdenyer,close synaptic
2006-01-21T13:49:00.000Z,mcdenyer,mwe,ok got it sry 2nd day of linux :/
2006-01-21T13:49:00.000Z,mwe,mcdenyer,also enable universe if you haven't.
2006-01-21T13:49:00.000Z,mwe,mcdenyer,don't worry
2006-01-21T13:54:00.000Z,mcdenyer,mwe,ok do i also do this wine cvs thing?
2006-01-21T13:54:00.000Z,mwe,mcdenyer,what?
2006-01-21T13:55:00.000Z,mcdenyer,mwe,ok one sec
2006-01-21T13:55:00.000Z,mcdenyer,mwe,http://www.linux-gamers.net/modules/wfsection/article.php?page=1&articleid=17
2006-01-21T13:55:00.000Z,mcdenyer,mwe,if u could go there and look at step 1.2
2006-01-21T13:56:00.000Z,mwe,mcdenyer,it says it's optional. either use wine or wine-cvs
2006-01-21T13:56:00.000Z,mwe,mcdenyer,it says you can also ...
2006-01-21T13:57:00.000Z,mwe,mcdenyer,sudo apt-get install msttcorefonts and proceed to step 2
2006-01-21T13:57:00.000Z,mcdenyer,mwe,ok
2006-01-21T13:59:00.000Z,mcdenyer,mwe,ok in step 2 do i go sudo get-apt install activeX?
2006-01-21T13:59:00.000Z,mwe,mcdenyer,no you can't
2006-01-21T13:59:00.000Z,mwe,mcdenyer,do what it says
2006-01-21T14:00:00.000Z,mwe,mcdenyer,or follow step 2.2 instead. again you have a choice
2006-01-21T14:01:00.000Z,mcdenyer,mwe,ok once ivd dled the tgz  do i just double click it lol
2006-01-21T14:03:00.000Z,mwe,mcdenyer,no. I don't know how exactly to install the activex thing. follow 2.2 instead
2006-01-21T14:04:00.000Z,mcdenyer,mwe,ok
2006-01-21T14:05:00.000Z,mcdenyer,mwe,like sudo wine
2006-01-21T14:05:00.000Z,mwe,mcdenyer,you don't want sudo wine
2006-01-21T14:05:00.000Z,mwe,mcdenyer,just wine
2006-01-21T14:06:00.000Z,mcdenyer,mwe,ok it syays create files
2006-01-21T14:07:00.000Z,mwe,mcdenyer,go ahead
2006-01-21T14:07:00.000Z,mcdenyer,mwe,call hl2.reg...
2006-01-21T14:07:00.000Z,mcdenyer,mwe,ok whats the command to creat a file
