date,from,to,text
2008-03-12T15:44:00.000Z,Dr_Willis,,!info libtheora0
2008-03-12T15:45:00.000Z,Dr_Willis,,"I wonder how a Linux tool can record the desktop, but not play it.. recorder may be using its own lib/code i guess?"
2008-03-12T15:46:00.000Z,ActionParsnip,Dr_Willis,surely instead of outputting to the screen it can output to a file
2008-03-12T15:46:00.000Z,ActionParsnip,Dr_Willis,check recordmydesktop
2009-04-27T00:28:00.000Z,ActionParsnip,Dr_Willis,pidgin has a tray icon option ;)
2009-05-02T15:41:00.000Z,ActionParsnip,Dr_Willis,"go grab some online, is there not a package in the repo with some in?"
2009-05-02T15:41:00.000Z,Dr_Willis,ActionParsnip, if theres is - i cant find any such package.
2009-05-02T15:41:00.000Z,Dr_Willis,ActionParsnip, i made a few basic ones  - but i dident see any in synaptic
2009-05-02T15:41:00.000Z,ActionParsnip,Dr_Willis,"hmm, weird."
2009-05-02T15:42:00.000Z,Dr_Willis,ActionParsnip, yea - seemed to be an oversight somewhere
2009-05-21T05:19:00.000Z,ActionParsnip,Dr_Willis,didnt know she did that
2009-06-09T21:32:00.000Z,Dr_Willis,ActionParsnip, try the 'view web interface button'? it works here.. Ugly but it works. :)
2009-06-22T05:02:00.000Z,ActionParsnip,Dr_Willis,i backup every 6 hours to firewire hard drive using cron and cp :D
2009-06-22T05:02:00.000Z,Dr_Willis,ActionParsnip, Not enogugh! need moar!
2009-06-22T05:03:00.000Z,ActionParsnip,Dr_Willis,it'll do as a casual user.
2009-07-08T17:08:00.000Z,ActionParsnip,Dr_Willis,i'd go with super flakey
2009-07-08T17:09:00.000Z,Dr_Willis,ActionParsnip," i was being nice.. since i havent used it in ages,"
2009-07-08T17:09:00.000Z,ActionParsnip,Dr_Willis,"i started on kde, then just fell out of love with it"
2009-07-09T16:59:00.000Z,ActionParsnip,Dr_Willis,128Mb + 64Mb + 61Mb onboard video (?)
2009-07-13T16:16:00.000Z,ActionParsnip,Dr_Willis,depends on how smart you shop ;)
2009-07-13T16:17:00.000Z,ActionParsnip,Dr_Willis,acer aspire one works 100% (including webcam) out of the box with UNR
