date,from,to,text
2009-04-16T16:11:00.000Z,ActionParsnip,iceroot,thats not using 3d glasses
2009-04-16T16:12:00.000Z,iceroot,ActionParsnip,i have not seen his second line
2009-04-17T15:19:00.000Z,ActionParsnip,iceroot,crank all the sliders up
2009-04-17T15:19:00.000Z,ActionParsnip,iceroot,or buy a preamp ;)
2009-04-17T15:19:00.000Z,iceroot,ActionParsnip,all up and i dont want to use a preamp on my eeepc
2009-04-17T15:20:00.000Z,ActionParsnip,iceroot,i'm pretty sure the speaker in an eepc will be fairly poor
2009-04-17T15:21:00.000Z,iceroot,ActionParsnip,on windows its much loader then on ubuntu
2009-04-17T15:21:00.000Z,iceroot,ActionParsnip,so i think its a software-problem
2009-04-17T15:22:00.000Z,ActionParsnip,iceroot,try a different driver or different driver settings
2009-06-24T14:11:00.000Z,ActionParsnip,iceroot,"same deal, yours is quicker"
2009-06-24T14:11:00.000Z,iceroot,ActionParsnip,i think so :)
2009-06-24T14:12:00.000Z,ActionParsnip,iceroot,i bet theres even a klingon pack (some sad loser will have made it)
2009-06-24T14:13:00.000Z,iceroot,ActionParsnip,"yes, i have seen it"
2009-06-24T14:16:00.000Z,iceroot,ActionParsnip,more often is ubunto
2009-06-24T14:17:00.000Z,iceroot,ActionParsnip,:) also they asked for wlan-cable?
2009-06-26T16:28:00.000Z,iceroot,ActionParsnip,normal ubuntu also using PAE in he kernel?
2009-06-26T16:28:00.000Z,ActionParsnip,iceroot,"afaik, no"
2009-07-09T12:18:00.000Z,ActionParsnip,iceroot,s/pure/--purge
2009-07-09T12:18:00.000Z,iceroot,ActionParsnip,"yeah, thx"
2009-07-23T13:42:00.000Z,ActionParsnip,iceroot,simple isn't it .. ;)
2009-07-23T13:42:00.000Z,iceroot,ActionParsnip,i thought it is... :)
2009-07-23T13:45:00.000Z,iceroot,ActionParsnip,you are to fast for me :)
2009-07-23T13:45:00.000Z,ActionParsnip,iceroot,i use cli mostly dude ;)
2009-07-23T13:46:00.000Z,iceroot,ActionParsnip,"same here but it is early in the morning, so i am sleeping a little bit, that is your advantage"
2009-07-26T00:09:00.000Z,iceroot,ActionParsnip,there is on action you need a real root (with eraly ubuntu-version)
2009-07-26T00:09:00.000Z,iceroot,ActionParsnip,"if you boot and fsck will repair the drive, it ask for the root-password"
2009-07-26T00:13:00.000Z,ActionParsnip,iceroot,the bootup process is all as root so shuld not ask for a passowrd
2009-07-26T00:14:00.000Z,iceroot,ActionParsnip,"an early ubuntu-version was asking this, dont know  the version anymore"
2009-07-26T00:14:00.000Z,ActionParsnip,iceroot,lsb_release -c will tell you
2009-07-26T00:15:00.000Z,iceroot,ActionParsnip,"no, i mean that years ago i was using a version which was asking for the root-password .)"
2009-07-26T00:16:00.000Z,ActionParsnip,iceroot,weird
2009-09-05T23:33:00.000Z,ActionParsnip,iceroot,the apps will be compiled for 64bit systems so will be fully 64bit
2009-09-05T23:33:00.000Z,iceroot,ActionParsnip,thank you
2009-09-11T01:48:00.000Z,iceroot,ActionParsnip,"xlsx is not proprietary, its zipped xml"
2009-09-11T01:49:00.000Z,ActionParsnip,iceroot,nice
2009-09-11T01:49:00.000Z,iceroot,ActionParsnip,"like docx, its also zipped xml, he old format doc,xls and so on are proprietary"
2009-09-11T01:50:00.000Z,ActionParsnip,iceroot,every day is a school day
2009-09-11T01:51:00.000Z,iceroot,ActionParsnip,that is the interessing part of computers
2009-09-11T01:51:00.000Z,ActionParsnip,iceroot,definately :D
2009-09-30T16:59:00.000Z,ActionParsnip,iceroot,"make compiles the source with the config from configure, make install is the only step needing root (assuming you are compiling in your own home folder) as you will be writing to where you dont have write access"
2009-09-30T17:00:00.000Z,iceroot,ActionParsnip,"so i only need root because it wants to access /etc/ and so on. if i say, use /home for the installation, i dont need root?"
2009-09-30T17:01:00.000Z,ActionParsnip,iceroot,"correct, the make you can do as yourself provided you have write access where you are compiling"
2009-09-30T17:02:00.000Z,iceroot,ActionParsnip,"thank you alot, then i will do some 'make' instead of 'apt-get' to learn more about it. (its just a test-vm)"
2009-09-30T17:03:00.000Z,ActionParsnip,iceroot,if the package is on the repo you can apt-get it
2009-09-30T17:03:00.000Z,iceroot,ActionParsnip,ifconfig
2009-09-30T17:03:00.000Z,iceroot,ActionParsnip,"it is i just want to learn to build something from source, its just for testing in a vm"
