date,from,to,text
2009-04-27T15:04:00.000Z,indus,,i think medibuntu has realplayer also no?
2009-04-27T15:05:00.000Z,ActionParsnip,indus,it does indeed
2009-05-04T14:39:00.000Z,indus,ActionParsnip,not advisable disabling acpi
2009-05-04T14:39:00.000Z,ActionParsnip,indus,why not?
2009-05-04T14:40:00.000Z,indus,ActionParsnip,acpi is important for all
2009-05-04T14:40:00.000Z,ActionParsnip,indus,not if it makes hardware not detect
2009-05-04T14:40:00.000Z,indus,ActionParsnip,But his system boots fine
2009-05-04T14:40:00.000Z,indus,ActionParsnip,i told you its just a silly bug
2009-05-04T14:41:00.000Z,ActionParsnip,indus,"its only to test, if you do it with ctrl+e its only for that boot"
2009-05-04T14:41:00.000Z,ActionParsnip,indus,its free to try
2009-05-04T14:41:00.000Z,indus,ActionParsnip,aah ok its good to try things i guess
2009-05-04T14:41:00.000Z,ActionParsnip,indus,exactly
2009-05-04T14:42:00.000Z,indus,ActionParsnip,"but if a system boots perfectly fine, should we tell people to try boot options ?thats unnecessary no?"
2009-05-04T14:43:00.000Z,ActionParsnip,indus,it may supress the error
2009-05-04T14:43:00.000Z,indus,ActionParsnip,ko / ok
2009-05-04T14:43:00.000Z,ActionParsnip,indus,"and if it doesnt, just reboot and you'll have lost nothing"
2009-05-04T14:43:00.000Z,indus,ActionParsnip,ctl -e is it? ya you mean it edits grub for that session yes?
2009-05-04T14:44:00.000Z,ActionParsnip,indus,"its in the boot options factoid, i think you highlight the entry and press e or ^e"
2009-05-04T14:44:00.000Z,ActionParsnip,indus,then you can add bootoptions just for that session
2009-05-04T14:44:00.000Z,indus,ActionParsnip,"yes correct, when grub shows up press e does it"
2009-05-04T14:45:00.000Z,ActionParsnip,indus,"its only for 1 boot, unless you add it permanently in menu.lst"
2009-05-04T14:46:00.000Z,indus,ActionParsnip,is parsnip a vegetable?
2009-05-04T14:47:00.000Z,ActionParsnip,indus,its a sweeter white carrot
2009-05-04T14:51:00.000Z,ActionParsnip,indus,"aye, get it roasted with salt and honey and you have a winner"
2009-05-04T14:51:00.000Z,indus,ActionParsnip,wonder whether it grows in india
2009-05-04T15:02:00.000Z,indus,ActionParsnip,i dont think he is having boot issues?? !' is he
2009-05-04T15:02:00.000Z,ActionParsnip,indus,no but if he renames the file he can se where it comes in with the bootup
2009-05-04T15:05:00.000Z,indus,ActionParsnip,i see you here always :)
2009-05-04T15:05:00.000Z,ActionParsnip,indus,work is dead
2009-05-04T15:07:00.000Z,ActionParsnip,indus,i just like to give to the community as the community has given to me
2009-05-04T15:08:00.000Z,indus,ActionParsnip,"nothing against compiz, but it gives me a headache and cant run games with it"
2009-05-05T12:42:00.000Z,indus,ActionParsnip,i never use gksudo
2009-05-05T12:48:00.000Z,indus,ActionParsnip,hi
2009-05-07T16:17:00.000Z,indus,ActionParsnip,it does?
2009-05-07T16:17:00.000Z,indus,ActionParsnip,flash 64 bit alpha
2009-05-07T16:17:00.000Z,ActionParsnip,indus,isnt that what i said?
2009-05-07T16:27:00.000Z,indus,ActionParsnip,hi how are you today
2009-05-07T16:27:00.000Z,ActionParsnip,indus,"not bad, waiting for my colleagues to arrive"
2009-05-08T11:57:00.000Z,indus,ActionParsnip,not adviced? isnt it officially in universe now?
2009-05-08T14:18:00.000Z,indus,ActionParsnip,does xfce take less space than gnome?
2009-05-08T14:19:00.000Z,ActionParsnip,indus,"the DE does, yes"
2009-05-08T14:19:00.000Z,ActionParsnip,indus,the ubuntu underneath wil be identical if you mean xubuntu / ubuntu
2009-05-08T14:20:00.000Z,ActionParsnip,indus,i guess so yeah
2009-05-08T14:20:00.000Z,ActionParsnip,indus,i'd just use something less bloated like puppy or DSL
2009-05-08T14:21:00.000Z,indus,ActionParsnip,"ya i agree, puppy is nice,"
2009-05-08T14:36:00.000Z,indus,ActionParsnip,baah
2009-05-19T14:16:00.000Z,indus,ActionParsnip,hi
2009-05-19T15:51:00.000Z,indus,ActionParsnip,"this was what iam wondering.I planned to get a tv tuner card,but now isp's are offering it through the internet, so if i could get that on the pc monitor directly"
2009-05-19T15:52:00.000Z,ActionParsnip,indus,"may not have all the channels a tv card would provide, you could also use a slingbox / sony tv-anywhere if you want to share your cable tv connection :D"
2009-05-19T15:52:00.000Z,indus,ActionParsnip,no isp is offering much more channels with much better quality
2009-05-19T15:52:00.000Z,indus,ActionParsnip,also i hear tv tuner cards quality sucks
2009-05-19T15:53:00.000Z,ActionParsnip,indus,"some do, some are ok"
2009-05-19T15:53:00.000Z,indus,ActionParsnip,"for same price ,isp offering connection to digital tv"
2009-05-19T15:53:00.000Z,indus,ActionParsnip,price of a tuner that is
2009-05-19T15:54:00.000Z,ActionParsnip,indus,then your choice is obvious
2009-05-19T15:55:00.000Z,indus,ActionParsnip,"hmm i believe it shouldnt be a problem to get that digital tv on my monitor , but right now cant seem to do it without a tv card"
2009-05-19T15:55:00.000Z,indus,ActionParsnip,"aah IPTV its called , the tech name of the service"
2009-05-19T15:56:00.000Z,indus,ActionParsnip,ok from the site :    
2009-05-19T15:57:00.000Z,indus,ActionParsnip,and i hear mythtv works with set top box?
2009-05-19T16:44:00.000Z,ActionParsnip,indus,recovery mode console or with an x server?
2009-05-19T16:46:00.000Z,indus,ActionParsnip,i thought recovery mode is only console no? Or i can get gui with start x?
2009-05-20T16:55:00.000Z,indus,ActionParsnip,what about the sudo apt-get -f update
2009-05-20T16:56:00.000Z,indus,ActionParsnip,what about the sudo apt-get -f install  i mean
2009-05-20T16:56:00.000Z,indus,ActionParsnip,is that a force install
2009-05-20T16:56:00.000Z,ActionParsnip,indus,fixes broken deps to make a stable system
2009-05-20T16:57:00.000Z,ActionParsnip,indus,man apt-get ;)
2009-05-20T16:57:00.000Z,indus,ActionParsnip,heh was just about to do that
2009-06-02T13:36:00.000Z,ActionParsnip,indus,its --force-architecture ;)
2009-06-02T13:36:00.000Z,indus,ActionParsnip,damn !
2009-06-16T17:39:00.000Z,indus,ActionParsnip,hi u replied to my launchpad question startup apps
2009-06-16T17:39:00.000Z,ActionParsnip,indus,I'm good on there :)
2009-06-16T17:40:00.000Z,ActionParsnip,indus,if the text is all in a big block its off my g1 phone ;)
2009-06-16T17:40:00.000Z,indus,ActionParsnip,hmm?
2009-06-16T17:41:00.000Z,ActionParsnip,indus,"i web browse from bed on my G1 and type on launchpad, good fun"
2009-06-16T17:42:00.000Z,indus,ActionParsnip,"i was pleasantly surprised to read ur reply,since u were helping me on irc too"
2009-06-16T17:44:00.000Z,indus,ActionParsnip,also cd ~/.config/autostart;clean what does this do?
2009-06-16T17:45:00.000Z,ActionParsnip,indus,some startup stuff is defined in there
2009-06-16T17:45:00.000Z,indus,ActionParsnip,i mean the syntax with semicolon and clean is what is intriguing
2009-06-16T17:46:00.000Z,indus,ActionParsnip,Draglor:ya i did figure out when i saw the output
2009-06-16T17:46:00.000Z,ActionParsnip,indus,"clear just clears the screen, makes life readable"
2009-06-16T17:47:00.000Z,indus,ActionParsnip,"but, its true, i have ticked the 'remember programs when quit' box but it still keeps running again"
2009-06-16T17:47:00.000Z,indus,ActionParsnip,although today it hasnt autorun totem or firefox
2009-06-16T17:52:00.000Z,ActionParsnip,indus,I'd watch it for a few day. See what sort of things cause the next boot to make it load automagically
2009-06-16T17:53:00.000Z,indus,ActionParsnip,yes i have been watching it for a month now and diff programs keep launching
2009-06-16T17:54:00.000Z,ActionParsnip,indus,watch what programs are used before you log off. and which ones are running when you log off
2009-06-16T17:58:00.000Z,ActionParsnip,indus,http://en.wikipedia.org/wiki/I386  http://en.wikipedia.org/wiki/Intel_P6_(microarchitecture)
2009-06-16T17:59:00.000Z,ActionParsnip,indus,i386 is for dog old CPUs basically.
2009-06-16T18:05:00.000Z,indus,ActionParsnip,Draglor : i have so many minor irritants with 9.04
2009-06-16T18:05:00.000Z,ActionParsnip,indus,its all been identical for me since gutsy
2009-06-16T18:06:00.000Z,indus,ActionParsnip,for me feisty was great but i fell in love with hardy
2009-06-16T18:06:00.000Z,indus,ActionParsnip,have been thinking going back  to it
2009-06-16T18:07:00.000Z,ActionParsnip,indus,mandrake 7 for me :)
2009-06-17T11:31:00.000Z,indus,ActionParsnip,hello
2009-06-17T11:31:00.000Z,ActionParsnip,indus,holla
2009-07-03T11:33:00.000Z,indus,ActionParsnip,hello
2009-07-06T15:45:00.000Z,indus,ActionParsnip,"xchat makes it easier for you,"
2009-07-06T15:45:00.000Z,ActionParsnip,indus,no thats not te point. no irc  client is preffered is the point
2009-07-06T15:39:00.000Z,ActionParsnip,indus,why is xchat 'preffered'
2009-07-06T15:40:00.000Z,ActionParsnip,indus,i've used pidgin for irc since it was gaim
2009-07-06T15:40:00.000Z,indus,ActionParsnip,cos it easier to configure for irc?
2009-07-06T15:40:00.000Z,ActionParsnip,indus,not really
2009-07-06T15:40:00.000Z,ActionParsnip,indus,"add an account, set irc then add server and screen name"
2009-07-06T15:40:00.000Z,indus,ActionParsnip,it doesnt even show you list of irc servers or channels
2009-07-06T15:41:00.000Z,indus,ActionParsnip,"sorry,but i cant figure it out, and since a lot of ppl here do use x chat, i said its preferred"
2009-07-06T15:41:00.000Z,ActionParsnip,indus,you can go to main window. tools -> room list
2009-07-06T15:41:00.000Z,ActionParsnip,indus,then select the account you want te room list for
2009-07-06T15:42:00.000Z,ActionParsnip,indus,"in the computer community, windows is more used. Is that 'preffered' too"
2009-07-06T15:42:00.000Z,indus,ActionParsnip,"what are you talking about? add account irc, then what"
2009-07-06T15:42:00.000Z,indus,ActionParsnip,there is no server list at all
2009-07-06T15:42:00.000Z,ActionParsnip,indus,if you add an account and connect
2009-07-06T15:43:00.000Z,ActionParsnip,indus,then in the main window click tools -> room list
2009-07-06T15:43:00.000Z,indus,ActionParsnip,i dont think you understand? how do i select a server ?
2009-07-06T15:44:00.000Z,ActionParsnip,indus,you type its name
2009-07-06T15:44:00.000Z,indus,ActionParsnip,all it shows is irc.ubuntu.com
2009-07-06T15:44:00.000Z,indus,ActionParsnip,and who will give me the name?
2009-07-06T15:44:00.000Z,ActionParsnip,indus,you find the server you want to connect to
2009-07-06T15:44:00.000Z,indus,ActionParsnip,from where?
2009-07-06T15:44:00.000Z,ActionParsnip,indus,the web
2009-07-06T15:44:00.000Z,indus,ActionParsnip,"xchat has that list, pidgin doesnt"
2009-07-06T15:44:00.000Z,ActionParsnip,indus,never said it didnt
2009-07-06T15:45:00.000Z,indus,ActionParsnip,"haha the web , so i hope you get the point now"
2009-07-06T15:45:00.000Z,indus,ActionParsnip,"well, so now its back to that point then"
2009-07-06T15:46:00.000Z,ActionParsnip,indus,i'm not comparing functionlity. you are saying just because something is more used it is 'preffered' which is preposterous
2009-07-06T15:46:00.000Z,indus,ActionParsnip,"whatever the case, pidgin is not preferred surely"
2009-07-06T15:46:00.000Z,ActionParsnip,indus,it is to me
2009-07-06T15:46:00.000Z,ActionParsnip,indus,i only use pidgin for all chats
2009-07-06T15:47:00.000Z,indus,ActionParsnip,no offence
2009-07-06T15:48:00.000Z,ActionParsnip,indus,i'm not i'm just saying what you are saying is false.
2009-07-06T15:48:00.000Z,indus,ActionParsnip,and what you are saying is not true either
2009-07-06T15:51:00.000Z,ActionParsnip,indus,"any you prefer, notice how I had stopped and you started up again"
2009-07-06T15:52:00.000Z,ActionParsnip,indus,imho no
2009-07-06T15:52:00.000Z,ActionParsnip,indus,but i use about 6 other protocols so it makes sense to use the irc functionality rather than have 2 apps
2009-07-06T15:53:00.000Z,indus,ActionParsnip,"yes i too prefer pidgin, but i had to waste quite a bit of time googling for the undernet server name"
2009-07-06T15:53:00.000Z,ActionParsnip,indus,i'm sure you had to 'google' a bit as well to get your pc setup after the install
2009-07-06T15:53:00.000Z,indus,ActionParsnip,"so i was forced to go to xchat ,which is great btw, but i will try chatzilla too"
2009-07-06T15:54:00.000Z,indus,ActionParsnip,"true, so this saves time doesnt it"
2009-07-06T15:54:00.000Z,ActionParsnip,indus,"same process, same mentality"
2009-07-06T15:54:00.000Z,indus,ActionParsnip,leave it.
2009-07-06T15:55:00.000Z,ActionParsnip,indus,"i did, you started it p again. i was talking to prathamesh"
2009-07-06T15:58:00.000Z,indus,ActionParsnip,pm
2009-07-08T15:38:00.000Z,indus,ActionParsnip,in theory yes
2009-07-08T15:39:00.000Z,ActionParsnip,indus,"i think its a snap to do and very wrth it, the md5 isnt there for kicks so I use it. Ive helped many on answers.launchpad.net with MD5 checks"
2009-07-08T15:39:00.000Z,indus,ActionParsnip,the procedure seems reallylong and complicated
2009-07-08T15:39:00.000Z,ActionParsnip,indus,md5sum ./<isofile>
2009-07-08T15:40:00.000Z,ActionParsnip,indus,then simply download the file and run: cat ./MD5SUM | grep <some of the file name>
2009-07-08T15:40:00.000Z,indus,ActionParsnip,hmm ok thats it? the community docs list a lengthy procedure
2009-07-08T15:40:00.000Z,ActionParsnip,indus,its really not
2009-07-08T15:42:00.000Z,ActionParsnip,indus,e.g.: wget http://cdimage.ubuntu.com/releases/jaunty/release/ubuntu-9.04-dvd-i386.iso; wget http://cdimage.ubuntu.com/releases/jaunty/release/MD5SUMS; md5sum ./ubuntu-9.04-dvd-i386.iso; cat ./MD5SUMS | grep dvd-i386
2009-07-08T15:42:00.000Z,ActionParsnip,indus,"then walk away, file will be downloaded and md5 checked when you get back"
