date,from,to,text
2011-01-17T03:55:00.000Z,induz,,Ubuntu Lucid is not connecting my iPod touch 1st gen
2011-01-17T03:55:00.000Z,induz,,I have already installed via sudo apt-get install ipheth-utils
2011-01-17T03:56:00.000Z,ActionParsnip,induz,try setting it to disk mode if you can then it should mount as a usb storage device
2011-01-17T04:00:00.000Z,induz,ActionParsnip,how can i set ip up to diskmode/
2011-01-17T04:01:00.000Z,ActionParsnip,induz,"no idea, i don't buy apple's garbage, but if it can, do it"
2011-02-07T19:18:00.000Z,ActionParsnip,induz,use your backups
2011-02-07T19:19:00.000Z,ActionParsnip,induz,then the data is disposable
2011-02-07T19:19:00.000Z,ActionParsnip,induz,if you can't mount it you can use foremost
2011-02-07T19:20:00.000Z,ActionParsnip,induz,i suggest you get a backup system
2011-02-07T19:22:00.000Z,ActionParsnip,induz,how about in:  sudo parted -l
2011-02-07T19:23:00.000Z,induz,ActionParsnip,it says unrecognised disk label
2011-02-07T19:23:00.000Z,ActionParsnip,induz,"fine, the label isn't too important"
2011-02-07T19:23:00.000Z,ActionParsnip,induz,do you see the partition?
2011-02-07T19:23:00.000Z,induz,ActionParsnip,it says;Error: Can't have overlapping partitions.
2011-02-07T19:25:00.000Z,induz,ActionParsnip,here;http://paste.ubuntu.com/563883/
2011-02-07T19:26:00.000Z,ActionParsnip,induz,then i suggest you use foremost on /dev/sdf  and maybe recover data.If you had a backup then you wouldn't have an issue
2011-02-07T19:26:00.000Z,induz,ActionParsnip,i can see the partition as unallocated /dev/sdf
2011-02-07T19:27:00.000Z,ActionParsnip,induz,/dev/sdf is the disk /dev/sfd1 would be the first partition
2011-02-07T19:27:00.000Z,induz,ActionParsnip,maybe i deleted the partition on that disk
2011-02-07T19:28:00.000Z,ActionParsnip,induz,the data will still be there if it hasn't been overwritten
2011-02-07T19:29:00.000Z,induz,ActionParsnip,how can i see the data on that dive?
2011-02-07T19:32:00.000Z,induz,ActionParsnip,I am downloading and installing formost
2011-02-07T19:34:00.000Z,induz,ActionParsnip,I installed foremost by synaptec but I can not see it on Applications?
2011-02-07T19:42:00.000Z,ActionParsnip,induz,foremost is a command line app
2011-02-07T19:42:00.000Z,induz,ActionParsnip,I am not very good as i am new to ubuntu/Linux
2011-02-07T19:43:00.000Z,ActionParsnip,induz,https://help.ubuntu.com/community/DataRecovery#Foremost
2011-02-07T19:43:00.000Z,ActionParsnip,induz,"thats why there are guides with examples, nobody is born knowing the command line"
2011-02-07T19:44:00.000Z,ActionParsnip,induz,the sheer amount of possible commands makes it unfeasible
2011-02-07T19:44:00.000Z,induz,ActionParsnip,what is gnuddrescue??
2011-02-07T19:45:00.000Z,ActionParsnip,induz,sounds like a gui to ddrescue
2011-02-07T19:46:00.000Z,induz,ActionParsnip,it says to use gnuddrescue to image the drive first on tha webpage
2011-02-07T19:46:00.000Z,ActionParsnip,induz,"no need, the device is healthy enough to just use foremost on"
2011-02-07T19:47:00.000Z,induz,ActionParsnip,is my USB is /dev/sdf??
2011-02-07T19:47:00.000Z,ActionParsnip,induz,yes
2011-02-07T19:47:00.000Z,induz,ActionParsnip,i am going stepbystep
2011-02-07T19:48:00.000Z,ActionParsnip,induz,the commands only read the data so will be ok
2011-02-07T19:48:00.000Z,ActionParsnip,induz,"i gotta jet but just to re-iterate, if you had a backup, you wouldn't have an issue and be having to do all this stuff"
2011-02-10T20:20:00.000Z,ActionParsnip,induz,sudo lshw -C display
2011-02-10T20:22:00.000Z,induz,ActionParsnip,pksadiq  i get this http://paste.ubuntu.com/565411/
2011-02-10T20:27:00.000Z,ActionParsnip,induz,ok its an intel
2011-02-10T20:27:00.000Z,ActionParsnip,induz,https://wiki.ubuntu.com/X/Bugs/Lucidi8xxFreezes
2011-02-10T20:32:00.000Z,induz,ActionParsnip,what should i do for better look on my ubuntu with the intel dispaly
2011-02-10T20:32:00.000Z,ActionParsnip,induz,the guide will help
2011-02-10T20:36:00.000Z,induz,ActionParsnip,"what kind of chipset i have on my comp , could u find that or how can i find that??"
2011-02-11T18:05:00.000Z,ActionParsnip,induz,what are you trying to achieve?
2011-02-11T18:07:00.000Z,ActionParsnip,induz,http://email.about.com/od/mozillathunderbirdtips/qt/et_free_yahoo.htm
2011-02-11T18:07:00.000Z,ActionParsnip,induz,http://email.about.com/od/mozillathunderbirdtips/qt/et_free_hotmail.htm
2011-02-11T18:08:00.000Z,induz,ActionParsnip,"for yahoo, i have to install YOPs"
2011-02-15T18:48:00.000Z,ActionParsnip,induz,"not really, it just continues installs and fixes things"
2011-02-15T20:47:00.000Z,ActionParsnip,induz,'good theme' is completely flexible
2011-02-15T22:13:00.000Z,ActionParsnip,induz,"when you remove it from the system, what do you do? What filesystem do the partition(s) use"
2011-02-15T22:14:00.000Z,ActionParsnip,induz,so you don't use 'safetly remove'
2011-02-15T22:14:00.000Z,induz,ActionParsnip,how can i do on Lucid?
2011-02-15T22:14:00.000Z,ActionParsnip,induz,you right click the icon and select 'safetly remove' Windows has it in the bottom right of the taskbar
2011-02-15T22:14:00.000Z,ActionParsnip,induz,"that's why then, you are mistreating your hardware"
2011-02-15T22:15:00.000Z,ActionParsnip,induz,if you don't remove the device safetly then Ubuntu will not be able to mount it if it's NTFS
2011-02-15T22:16:00.000Z,ActionParsnip,induz,"plug it into a windows PC, then eject it PROPERLY. It will be fine. If you use your hardware  correctly you won't have an issue. If you abuse it you will get issues"
2011-02-15T22:16:00.000Z,ActionParsnip,induz,"asuming you havent damaged the device, yes"
2011-02-15T22:18:00.000Z,ActionParsnip,induz,it's not unmounted correctly so Ubuntu will have issues with it
2011-02-15T22:23:00.000Z,induz,ActionParsnip,i safely  ejected on Apple and now one usb is getting read on ubuntu
2011-02-15T22:23:00.000Z,ActionParsnip,induz,strange how when you use your ardware correctly it works.....don't you think??
2011-02-15T22:24:00.000Z,ActionParsnip,induz,right click the icon on the desktop or in the places menu and click 'safetly remove'
2011-02-15T22:24:00.000Z,induz,ActionParsnip,Thanks but I have alreday messed up one USB
2011-02-15T22:24:00.000Z,induz,ActionParsnip,I dont USB  icon get on Desktop
2011-02-15T22:25:00.000Z,ActionParsnip,induz,it may be in the places menu
2011-02-15T22:32:00.000Z,ActionParsnip,induz,http://t1.gstatic.com/images?q=tbn:ANd9GcRhrW0_dPtt57k75c6-rZxQQz1UmCOyrzihV8S4GnPBLz7153og&t=1
2011-02-15T22:34:00.000Z,induz,ActionParsnip,i dont have kind of appearance as i am using Lucid
2011-02-15T22:36:00.000Z,ActionParsnip,induz,or you can use CLI and run:  sudo umount /dev/partition_name; sudo eject /dev/disk_name
2011-02-15T22:40:00.000Z,ActionParsnip,induz,should be
2011-02-16T04:45:00.000Z,ActionParsnip,induz,http://techcityinc.com/2009/02/04/top-10-free-video-editors-for-ubuntu-linux/
2011-02-18T03:39:00.000Z,ActionParsnip,induz,sudo mkdir /media/iso; sudo mount -o loop /home/user/Desktop/file.iso /media/iso
2011-02-18T03:49:00.000Z,ActionParsnip,induz,cedega? CrossOver Office?
2011-02-20T06:05:00.000Z,ActionParsnip,induz,that is speculative and not concrete
2011-02-22T04:53:00.000Z,ActionParsnip,induz,connect them to the same subnet and they are networked
2011-02-22T04:54:00.000Z,induz,ActionParsnip,I guess subnet is 255.255.255.0
2011-02-22T06:42:00.000Z,ActionParsnip,induz,what video chip?
2011-02-22T07:40:00.000Z,ActionParsnip,induz,no the drivers is the same
2011-02-22T07:40:00.000Z,ActionParsnip,induz,the settings on the driver in the DE may be different
2011-02-22T07:40:00.000Z,induz,ActionParsnip,i liked KDE as i want to work on KDEnlive but now caz of this dsplay problem i can not
2011-02-22T07:41:00.000Z,ActionParsnip,induz,try a clean install of kubuntu
2011-02-22T07:41:00.000Z,induz,ActionParsnip,Iupgraded this from karmic?
2011-02-22T07:42:00.000Z,ActionParsnip,induz,from karmic kubuntu?
2011-02-22T07:44:00.000Z,induz,ActionParsnip,Then downloaded KDE desktop plasma
2011-03-01T19:33:00.000Z,ActionParsnip,induz,how much ram do you have?
2011-03-01T19:35:00.000Z,ActionParsnip,induz,is the ram healthy?
2011-03-01T19:35:00.000Z,ActionParsnip,induz,is the drive healthy?
2011-03-01T19:44:00.000Z,induz,ActionParsnip,as its dual boot when i run Xp on the same system it runs faster
2011-03-01T19:45:00.000Z,induz,ActionParsnip,maybe i have installed way too many applications including kubuntu
2011-03-01T19:45:00.000Z,ActionParsnip,induz,windows gets a lot better driver support in some cases so may explain the speed
2011-03-01T19:45:00.000Z,ActionParsnip,induz,as long as you have around 10% free on each partition you should be fine
2011-03-01T19:47:00.000Z,induz,ActionParsnip,out of 30Gb for Linux 12 gb is free
2011-03-01T19:47:00.000Z,ActionParsnip,induz,sounds fine
2011-03-01T19:48:00.000Z,ActionParsnip,induz,as long as all your apps don't have daemons chewing ram. You can test with: free -m   what is the righmost value on the second line?
2011-03-01T19:52:00.000Z,ActionParsnip,induz,"its your ram, if you pastebin the output I can explain"
2011-03-01T19:53:00.000Z,induz,ActionParsnip,here http://paste.ubuntu.com/573961/
2011-03-21T04:01:00.000Z,ActionParsnip,induz,gnomebaker....
2011-03-21T04:05:00.000Z,ActionParsnip,induz,doesn't it have a 'burn CD image' button
2011-03-21T04:07:00.000Z,ActionParsnip,induz,it also has a CD copy button....
2011-03-21T04:07:00.000Z,induz,ActionParsnip,it has CD copy button
2011-03-21T04:08:00.000Z,ActionParsnip,induz,http://files.fosswire.com/2008/01/k3bmainwindow.png
2011-03-21T04:11:00.000Z,induz,ActionParsnip,I am trying the copy Cd button and it fails due to some permission problems
2011-03-21T04:11:00.000Z,ActionParsnip,induz,try a different app then.
2011-03-21T04:15:00.000Z,induz,ActionParsnip,i get this error v
2011-03-21T04:16:00.000Z,ActionParsnip,induz,try:    kdesu k3b
2011-03-21T04:17:00.000Z,induz,ActionParsnip, kdesu k3b ??? what is that? is it a command?/
2011-03-21T04:18:00.000Z,ActionParsnip,induz,"indeed, you can fire it in ALT+F2 or konsole (I'm assuming KDE)"
2011-03-21T04:19:00.000Z,induz,ActionParsnip,is it a programme??
2011-03-21T04:20:00.000Z,ActionParsnip,induz,is WHAT a program??
2011-03-21T04:20:00.000Z,ActionParsnip,induz,paste the command in konsole and press ENTER
2011-03-21T04:21:00.000Z,induz,ActionParsnip,ok
2011-03-21T04:22:00.000Z,induz,ActionParsnip,it says kdesu command is not found
2011-03-21T04:22:00.000Z,ActionParsnip,induz,are you using KDE?
2011-03-21T04:23:00.000Z,induz,ActionParsnip,I am using gnome
2011-03-21T04:24:00.000Z,ActionParsnip,induz,then use:    gksudo k3b       don't you find te dependancies pulled down when you installed k3b a bit bloating. Just for a CD burner..?
2011-03-21T04:27:00.000Z,induz,ActionParsnip,its copying now ..lets see
2011-03-21T04:28:00.000Z,ActionParsnip,induz,if you install gnomebaker and uninstall k3b you will save a tonne of space
2011-03-21T04:28:00.000Z,induz,ActionParsnip,will it copy the extact copy of CD s this Cd is bootable
2011-03-21T04:29:00.000Z,induz,ActionParsnip,k3b came with the kubuntu
2011-03-21T04:29:00.000Z,ActionParsnip,induz,yes it will. Why install a KDE based app when gnome has fine burners which need a lot less space.
2011-03-21T04:29:00.000Z,ActionParsnip,induz,oh so you started with kde then installed gnome?
2011-03-21T04:30:00.000Z,induz,ActionParsnip,i started with gnome but then downloade KDE
2011-03-21T04:30:00.000Z,ActionParsnip,induz,i see
2011-03-21T04:30:00.000Z,induz,ActionParsnip,can i use a DVD to copy this CD
2011-03-21T04:31:00.000Z,induz,ActionParsnip,or it has to be a CD as its a copy
2011-03-28T04:42:00.000Z,ActionParsnip,induz,like a thesaurus?
2011-03-28T04:46:00.000Z,induz,ActionParsnip,like synonyms
2011-03-28T04:47:00.000Z,ActionParsnip,induz,let me search
2011-03-28T04:48:00.000Z,ActionParsnip,induz,http://user.services.openoffice.org/en/forum/viewtopic.php?f=7&t=7560
2011-03-28T04:48:00.000Z,induz,ActionParsnip,when i click clt F7  it does not give me many words
2011-03-28T04:50:00.000Z,ActionParsnip,induz,install openoffice.org-thesaurus-en-us
2011-03-28T04:57:00.000Z,induz,ActionParsnip,-thesaurus-en-us is installed
2011-03-28T04:59:00.000Z,ActionParsnip,induz,that's all I can suggest dude sorry
2011-03-28T05:05:00.000Z,induz,ActionParsnip,Thanks for helping though
2011-03-28T05:21:00.000Z,ActionParsnip,induz,do you have java installed?
2011-03-28T05:21:00.000Z,ActionParsnip,induz,"check, then in tools -> options make sure java is selected there"
2011-03-28T05:25:00.000Z,induz,ActionParsnip,after tool--.Option---> where?
2011-03-28T05:27:00.000Z,ActionParsnip,induz,the java lie..... I thought that was clear....
2011-04-23T05:30:00.000Z,ActionParsnip,induz,there are compiled binaries here: http://devices.natetrue.com/wiviz/wiviz-binaries.tar.gz
2011-04-23T05:50:00.000Z,induz,ActionParsnip,is WiViz a window MS application??
2011-08-01T00:32:00.000Z,ActionParsnip,induz,the kernel will be the one in the ISO. There is only one..
2011-08-01T00:35:00.000Z,ActionParsnip,induz,"xpud, puppy will run well :)"
2011-08-01T00:41:00.000Z,ActionParsnip,induz,natty will
2011-08-01T00:41:00.000Z,ActionParsnip,induz,lubuntu will give a more responsive OS
