date,from,to,text
2011-07-13T10:58:00.000Z,zykotick9,ActionParsnip,"FYI due to search 'bubbles', 'I'm feeling luck' will have different results for different users."
2011-07-13T11:00:00.000Z,ActionParsnip,zykotick9,"i thought it was consistent, what makes it change?"
2011-07-13T11:00:00.000Z,zykotick9,ActionParsnip,for DDG's explanation see http://dontbubble.us/
2011-07-13T11:01:00.000Z,ActionParsnip,zykotick9,thanks I didn't think pigeons liked bubbles
2011-07-13T11:09:00.000Z,ActionParsnip,zykotick9,filterbubbles sound pretty cool
2011-07-15T01:11:00.000Z,zykotick9,ActionParsnip,ExplodingPiglets Google Chrome probably has a different process name then chromium-browser!
2011-07-29T08:45:00.000Z,zykotick9,ActionParsnip,pardon?  what do you mean?
2011-07-29T08:45:00.000Z,ActionParsnip,zykotick9,the 64bit ubuntu will install 64bit apps from the repos each time you ask for a package to be installed
2011-07-29T08:46:00.000Z,zykotick9,ActionParsnip,"ok, was very confused by your statement"
2011-07-29T08:46:00.000Z,ActionParsnip,zykotick9,np man :)
2011-07-29T08:48:00.000Z,zykotick9,ActionParsnip,"is flashplugin-nonfree available as a package in ubuntu?  is so, is it auto installing Flash 11 64bit on 64bit systems?"
2011-07-29T10:03:00.000Z,zykotick9,ActionParsnip,thanks.  That apt-get line you just gave is obviously editing /etc/apt/apt.conf - that might come in handy for me.
2011-07-29T10:04:00.000Z,ActionParsnip,zykotick9,;)
2011-08-22T01:02:00.000Z,zykotick9,ActionParsnip,3.0.1 is a kernel
2011-08-22T01:03:00.000Z,ActionParsnip,zykotick9,"maybe not ;), just wanted to clarify"
2011-08-28T22:15:00.000Z,zykotick9,ActionParsnip,"good guess, amd64"
2011-08-28T22:15:00.000Z,ActionParsnip,zykotick9,boom
2011-08-28T23:10:00.000Z,zykotick9,ActionParsnip,not is use thing
2011-08-29T00:29:00.000Z,ActionParsnip,zykotick9,nice catch
2011-08-29T00:29:00.000Z,zykotick9,ActionParsnip,boom ;)
2011-08-30T22:06:00.000Z,zykotick9,ActionParsnip,"perhaps you could use gnote and simply place the data directory into an UbuntuOne sync?  Just throwing it out there, I haven't tried it."
2011-08-30T22:07:00.000Z,ActionParsnip,zykotick9,could try. Phone works with it fine :-)
2011-08-31T02:00:00.000Z,zykotick9,ActionParsnip,that PPA is now breaking copyright and should probably not be recommended :|
2011-08-31T02:03:00.000Z,zykotick9,ActionParsnip,Oracle has said not to distribute java anymore
2011-08-31T07:22:00.000Z,zykotick9,ActionParsnip,FYI 'lsb_release -sc' gets rid of the CodeName: part
2011-08-31T07:22:00.000Z,ActionParsnip,zykotick9,"oooh, nice"
2011-08-31T07:22:00.000Z,ActionParsnip,zykotick9,"ahhh, (s)imple :D"
