date,from,to,text
2007-08-22T09:15:00.000Z,Andrew250,,the files wern't deleted.
2007-08-22T09:16:00.000Z,Andrew250,,why not?
2007-08-22T09:17:00.000Z,CarlFK,Andrew250, is this what you want: http://packages.ubuntu.com/edgy/admin/recover
2007-08-22T09:18:00.000Z,Andrew250,CarlFK,thanks
2007-08-22T09:18:00.000Z,Andrew250,CarlFK,can a noob use this?
2007-08-22T09:19:00.000Z,CarlFK,Andrew250,sure.  do you know how to image the whole drive?
2007-08-22T09:19:00.000Z,Andrew250,CarlFK,not using Ubuntu
2007-08-22T09:20:00.000Z,CarlFK,Andrew250, how big is the drive that got trashed?
2007-08-22T09:20:00.000Z,CarlFK,Andrew250,weee!!!   got 160gb free somewhere?
2007-08-22T09:20:00.000Z,Andrew250,CarlFK,yep
2007-08-22T09:21:00.000Z,Andrew250,CarlFK,will this recover from ext3 aswell?
2007-08-22T09:21:00.000Z,CarlFK,Andrew250,yay.  dd if=/dev/hda of=/path/to/lots/of/space/hda.img
2007-08-22T09:22:00.000Z,Andrew250,CarlFK,ouch
2007-08-22T09:22:00.000Z,Andrew250,CarlFK,what?
2007-08-22T09:22:00.000Z,CarlFK,Andrew250,"hda.img will be a 160gig file, so make sure where ever you are storing that can hold it"
2007-08-22T09:22:00.000Z,Andrew250,CarlFK,the free space is a drive that I tryed to install ubuntu but it didn't work.
2007-08-22T09:23:00.000Z,Andrew250,CarlFK,yep
2007-08-22T09:23:00.000Z,Andrew250,CarlFK,got a 300 gb USB drive
2007-08-22T09:23:00.000Z,CarlFK,Andrew250,"hope it is usb2, else it is gonna take days or weeks :)"
2007-08-22T09:23:00.000Z,Andrew250,CarlFK,yes
2007-08-22T09:24:00.000Z,CarlFK,Andrew250,"there is something worth hours of time trying to save, right ?"
2007-08-22T09:24:00.000Z,Andrew250,CarlFK,how do I formate a drive so that I can use it for this purpose and then but the recovered files on to a NTFS drive.
2007-08-22T09:24:00.000Z,Andrew250,CarlFK,yes
2007-08-22T09:25:00.000Z,CarlFK,Andrew250,"format as ext2 (mke2fs), then use http://www.fs-driver.org to read/write from win"
2007-08-22T09:26:00.000Z,Andrew250,CarlFK,OK i KNOW HOW TO USE fs
