date,from,to,text
2005-02-16T10:30:00.000Z,crimsun,,"to be fair, alsa can't do hardware mixing, only hardware can. alsa is software."
2005-02-16T10:30:00.000Z,Dreamer3,crimsun,i finally gave up on dmix... my boards seems to do hardware mixing :)
2005-02-16T10:31:00.000Z,crimsun,Dreamer3,...not sure why you were messing with dmix in the first place!
2005-02-16T10:31:00.000Z,Dreamer3,crimsun,"well, i didn't know that it did till i was messing around with it"
2005-02-16T10:31:00.000Z,Dreamer3,crimsun,and 1.0.8 didn't help dmix any
2005-02-16T10:31:00.000Z,crimsun,Dreamer3,your symptoms are interesting; I'll have to look into it.
2005-02-16T10:32:00.000Z,Dreamer3,crimsun,"well, i might even say it was working, but if so the volume was 0... no way to tell with no sound :)"
2005-02-16T12:26:00.000Z,Dreamer3,crimsun,what did you use before ubuntu?
2005-02-16T12:27:00.000Z,crimsun,Dreamer3,"I still use Debian. In fact, my main machine is Sid+experimental+Hoary with enough chroots and pbuilders to drive one batty."
2005-02-16T12:28:00.000Z,Dreamer3,crimsun,pbuilder?
2005-02-16T12:28:00.000Z,crimsun,Dreamer3,apt-cache show pbuilder :-)
2005-02-16T12:40:00.000Z,Dreamer3,crimsun,"yeah, i should just google if my interenet weren't so darn slow"
2005-02-16T12:30:00.000Z,Dreamer3,crimsun,"interesting, so it's kinda like debootstrap?"
2005-02-16T12:30:00.000Z,Dreamer3,crimsun,except intender only for chroots?
2005-02-16T12:31:00.000Z,crimsun,Dreamer3,"it essentially automates that ordeal, yes"
2005-02-16T12:32:00.000Z,crimsun,Dreamer3,very effective and highly recommended if you want to build packages
2005-02-16T12:32:00.000Z,Dreamer3,crimsun,are you saying al ot of pacages are pulled out and then exclusively maintained by ubuntu?
2005-02-16T12:32:00.000Z,Dreamer3,crimsun,"hmmm, sid frozen?"
2005-02-16T12:33:00.000Z,crimsun,Dreamer3,only packages that are necessary and maintainable are moved from universe to main
2005-02-16T12:34:00.000Z,Dreamer3,crimsun,so... gnome is main?
2005-02-16T12:34:00.000Z,crimsun,Dreamer3,"yes, since it's the base of Ubuntu"
