date,from,to,text
2007-09-28T10:24:00.000Z,Evanlec,,oh lord can someone please help me...my drive has become locked 'read-only' after enabling the aname and writeback options on my root partition thru fstab
2007-09-28T10:25:00.000Z,MasterShrek,Evanlec,dont enable those options?
2007-10-09T09:43:00.000Z,MasterShrek,Evanlec,gentoo
2007-10-09T09:47:00.000Z,MasterShrek,Evanlec,i was just about to look into that
2007-10-09T10:03:00.000Z,MasterShrek,Evanlec,im installing it right now
2007-10-09T10:03:00.000Z,Evanlec,MasterShrek,but will u be able to benchmark it?
2007-10-09T10:04:00.000Z,MasterShrek,Evanlec,i suppose i could
2007-10-09T10:04:00.000Z,Evanlec,MasterShrek,well otherwise your results would be rather subjective dont u think?
2007-10-09T10:05:00.000Z,MasterShrek,Evanlec,"i suppose, but i like to think that it would run better with a low latency kernel, it would only make sense i suppose"
2007-10-09T10:06:00.000Z,Evanlec,MasterShrek,"i dont necessarily understand what a low-latency kernel does, and why default kernels aren't 'low-latency' to begin with"
2007-10-09T10:06:00.000Z,MasterShrek,Evanlec,what would i use to benchmark? ive never really done it before
2007-10-09T10:07:00.000Z,Evanlec,MasterShrek,"not sure lol, theres one called LMbench"
2007-10-09T10:21:00.000Z,Evanlec,MasterShrek,u using feisty or gutsy?
2007-10-09T10:22:00.000Z,MasterShrek,Evanlec,"probably not, apparently the mirrors have packages that will break your system, i havent upgraded in a couple days"
2007-10-09T10:22:00.000Z,Evanlec,MasterShrek,"yea, well i wasnt going to dist-upgrade, was just gonna get new kernel...but maybe thats a no no without upgrading distro"
2007-10-09T10:23:00.000Z,MasterShrek,Evanlec,"it can become complicated, but its possible"
2007-10-09T10:24:00.000Z,MasterShrek,Evanlec,"i always recommend a clean install, but ill prolly upgrade myself lol"
2007-10-09T10:25:00.000Z,Evanlec,MasterShrek,"heh yea....i dunno, im iffy about how to backup my /home folder and restore it on the new install...."
2007-10-09T10:25:00.000Z,MasterShrek,Evanlec,"im going to kill my xserver and try out those benchmarks, ill be back in a bit with a report :)"
2007-10-09T10:25:00.000Z,Evanlec,MasterShrek,plus i wanted to setup raid/lvm but frostburn tells me raid0 isnt worth the speed increase it gives
2007-10-09T10:25:00.000Z,Evanlec,MasterShrek,"sweet, i couldnt figure out how to run them from the man page but yea do that ;p"
2007-10-09T10:26:00.000Z,MasterShrek,Evanlec,"i konw nothing about raid0 lol, back in a flash..."
2007-10-10T09:18:00.000Z,MasterShrek,Evanlec,"ext3 journals, ext2 doesnt"
2007-10-10T09:18:00.000Z,Evanlec,MasterShrek,"right i know, but journaling isnt related to fragmentation correct?"
2007-10-10T09:19:00.000Z,Evanlec,MasterShrek,"hey by the way, did u ever test out that RT kernel last night?"
2007-10-10T09:19:00.000Z,MasterShrek,Evanlec,"it wouldnt boot, i was gonna compile one but i got lazy"
2007-10-10T09:20:00.000Z,Evanlec,MasterShrek,wouldn't boot? thats not good...it should be the same as the gutsy kernel just with the rt patch...
2007-10-10T09:21:00.000Z,MasterShrek,Evanlec,"yea, it was -13 tho, and i heard that was giving some people problems, im using -12 right now"
2007-10-10T09:21:00.000Z,Evanlec,MasterShrek,oh....well i hope i get a chance to try it out when i upgrade to gutsy
2007-10-10T08:47:00.000Z,MasterShrek,Evanlec,that loads modules right away when u choose your kernel so things like mounting your root partition work before modules for it would be loaded
2007-10-10T08:47:00.000Z,Evanlec,MasterShrek,"i see, isnt it possible to not use initrd?"
2007-10-10T08:48:00.000Z,Evanlec,MasterShrek,is there any implicit advantage in doing that?
2007-10-10T08:49:00.000Z,MasterShrek,Evanlec,"just to not have to make an initrd, i generally try to do that because its just one last step you have to do when compiling a kernel"
2007-10-10T08:49:00.000Z,Evanlec,MasterShrek,you try to avoid making an initrd?
2007-10-10T08:49:00.000Z,MasterShrek,Evanlec,"yes, as much as possible"
2007-10-10T08:50:00.000Z,Evanlec,MasterShrek,"I used to compile kernels way back on redhat 7 i believe, am interested in doing it here on ubuntu, not because im a developer by any means, but just wanted to tweak and make a lean & fast kernel"
2007-10-10T08:52:00.000Z,MasterShrek,Evanlec,just use a config from /boot and make sure to do a 'make oldconfig' first
2007-10-10T08:52:00.000Z,Evanlec,MasterShrek,are you compiling a Ubuntu kernel or a stock kernel from kernel.org
2007-10-10T08:53:00.000Z,MasterShrek,Evanlec,a vanilla kernel from kernel.org
2007-10-10T08:53:00.000Z,Evanlec,MasterShrek,im guessing the vanilla kernel is a lot leaner than the ubuntu one
2007-10-10T08:54:00.000Z,Evanlec,MasterShrek,is there any pitfalls i should watch out for when trying to do this myself?
2007-10-10T08:55:00.000Z,MasterShrek,Evanlec,"you shouldnt have any problems, just dont overwrite your other kernel images and boot options for them"
2007-10-10T08:55:00.000Z,Evanlec,MasterShrek,"right, well it has a lot of added hardware support, being those modules rite?"
2007-10-10T08:56:00.000Z,MasterShrek,Evanlec,"yes, its compiled for almost all kinds of hardware, obviously you dont have a need for all of them, but they are mostly modules, its not that the actual kernel image is bloated"
2007-10-10T08:56:00.000Z,Evanlec,MasterShrek,oh i see
2007-10-10T08:57:00.000Z,Evanlec,MasterShrek,do you have a link to a howto for compiling a linux kernel source ?
2007-10-10T08:58:00.000Z,MasterShrek,Evanlec,i think so lemme check...
2007-10-10T09:00:00.000Z,MasterShrek,Evanlec,"i dont really have a link for it i guess, i just kinda know how to do it lol"
2007-10-10T09:13:00.000Z,MasterShrek,Evanlec,im compiling it now :)
2007-10-10T09:15:00.000Z,Evanlec,MasterShrek,compiling 2.6.23 vanilla?
2007-10-10T09:17:00.000Z,Evanlec,MasterShrek,so far im planning to put in the latest nvidia driver and the RT2500 driver (my wifi card)
2007-10-10T09:29:00.000Z,Evanlec,MasterShrek,how long on the kernel compile you estimate?
2007-10-10T09:30:00.000Z,MasterShrek,Evanlec,"forever prolly lol, i didnt uncheck most of the modules, so its compiling almost all of them, but i wanna get a kernel running before i start trimming it down"
2007-10-10T09:30:00.000Z,Evanlec,MasterShrek,"Oh, i heard 3-4 hours was average...lol"
