date,from,to,text
2008-02-25T17:55:00.000Z,Fiskejohn,,"I tried Amarok, but it wouldent work! i Could see it was syncing on the Ipod display and it was useing my capacility but no songs where there?"
2008-02-25T17:57:00.000Z,Fiskejohn,,For my ipod what do i have to use: libgpod 0.6.0 og gtkpod ?
2008-02-25T17:58:00.000Z,bazhang,Fiskejohn,did you read the link I gave you?
2008-02-25T19:51:00.000Z,bazhang,Fiskejohn,with amarok or rhythm box or what
2008-02-25T19:52:00.000Z,Fiskejohn,bazhang,Ive installed Amarok and it was syncing and useing my ipods capacility but there were no songs on it?
2008-02-25T19:52:00.000Z,bazhang,Fiskejohn,this is the new nano?
2008-02-25T19:53:00.000Z,Fiskejohn,bazhang,No its a Ipod clasic 80 GB
2008-02-25T19:57:00.000Z,bazhang,Fiskejohn,did you mount the ipod via amarok? open amarok then plug in the device and you should see something about mount device top left of front amarok window
2008-02-25T19:58:00.000Z,Fiskejohn,bazhang,Yeah i did mount my ipod correctly and it is adding songs to my ipod. But i can't find them when iam on my ipod.
2008-02-25T19:58:00.000Z,Fiskejohn,bazhang,if i browse the ipod via system i can see all the songs are in ipod_Control
2008-02-25T19:58:00.000Z,bazhang,Fiskejohn,you transferred them how? by putting them in the transfer list? and then hitting transfer?
2008-02-25T19:59:00.000Z,Fiskejohn,bazhang,Yeah exacly
2008-02-25T20:01:00.000Z,Fiskejohn,bazhang,Yeah exacly
2008-02-25T20:01:00.000Z,bazhang,Fiskejohn,and when you turn on your ipod you have zero songs on it--is that correct
2008-02-25T20:02:00.000Z,Fiskejohn,bazhang,"Thats correct, i can't browse my songs on my ipod"
2008-02-25T20:02:00.000Z,bazhang,Fiskejohn,and you read that link I gave you earlier I suppose
2008-02-25T20:02:00.000Z,Fiskejohn,bazhang,Yeah the wiki link?
2008-02-25T20:03:00.000Z,bazhang,Fiskejohn,yeah did you read the wiki
2008-02-25T20:03:00.000Z,Fiskejohn,bazhang,Yeah i did
2008-02-25T20:04:00.000Z,bazhang,Fiskejohn,this is very odd--I have several models of ipod including that one and they all work with ubuntu gutsy
2008-02-25T20:04:00.000Z,Fiskejohn,bazhang,"Upgrading to at least libgpod 0.6.0 may solve your problems. Otherwise, have a look at the Gtkpod wiki or follow these steps"
2008-02-25T20:05:00.000Z,Fiskejohn,bazhang,"I have downloadet libgpod form source forge, but i don't know how to install. Do you think libgpod is a requrement ?"
2008-02-25T20:06:00.000Z,bazhang,Fiskejohn,not sure as I have never had to follow that wiki--by the time I started using the ipods with ubuntu gutsy it was already fixed
2008-02-25T20:06:00.000Z,Fiskejohn,bazhang,So you don't know what i can do ?
2008-02-25T20:07:00.000Z,Fiskejohn,bazhang,Well thanks alot for you time :)
2008-02-25T20:07:00.000Z,bazhang,Fiskejohn,that is very odd let me google for a moment
2008-02-25T20:08:00.000Z,Fiskejohn,bazhang,Thanks alot mate :)
2008-02-25T20:09:00.000Z,Fiskejohn,bazhang,Maybe i do something wrong but i can't see what :(
2008-02-25T20:10:00.000Z,bazhang,Fiskejohn,did you set your iPod to the correct version in Amarok?
2008-02-25T20:11:00.000Z,Fiskejohn,bazhang,Well i suppose i dident ? Can you explain how?
2008-02-25T20:11:00.000Z,bazhang,Fiskejohn,can you access the computer presently?
2008-02-25T20:12:00.000Z,Fiskejohn,bazhang,My computer? Well yeah i am useing it right now :) ?
2008-02-25T20:13:00.000Z,bazhang,Fiskejohn,can you insert the iPod?
2008-02-25T20:13:00.000Z,Fiskejohn,bazhang,Its already connected :)
2008-02-25T20:14:00.000Z,bazhang,Fiskejohn,do you see the drop down menu that asks you to identify the iPod model/name?
2008-02-25T20:14:00.000Z,Fiskejohn,bazhang,IN amarok ?
2008-02-25T20:14:00.000Z,bazhang,Fiskejohn,aye
2008-02-25T20:15:00.000Z,bazhang,Fiskejohn,just a moment let me get my iPod ;]
2008-02-25T20:15:00.000Z,Fiskejohn,bazhang,thanks :)
2008-02-25T20:19:00.000Z,bazhang,Fiskejohn,"sorry about that--been a while since I synched my iPod ;] ; over the left window there should be a window that shows collections, devices, etc--do you see that?"
2008-02-25T20:19:00.000Z,Fiskejohn,bazhang,Yeah i see :)
2008-02-25T20:19:00.000Z,bazhang,Fiskejohn,and what does that window say when you are in the devices for your iPod
2008-02-25T20:20:00.000Z,Fiskejohn,bazhang,Media Decive Browser
2008-02-25T20:21:00.000Z,Fiskejohn,bazhang,Configure you media device and then click the connect button to accses you media device. drag an drop bla bla bla
2008-02-25T20:21:00.000Z,bazhang,Fiskejohn,now go into settings and configure amarok
2008-02-25T20:21:00.000Z,Fiskejohn,bazhang,I am there
2008-02-25T20:22:00.000Z,bazhang,Fiskejohn,you need to correctly have amarok list the device or the songs will not show in the iPod as having been transferred--yours should be ipod (color) 80G classic
2008-02-25T20:23:00.000Z,Fiskejohn,bazhang,So how do i set amarok to detect my Ipod ? Or can i set it ?
2008-02-25T20:24:00.000Z,bazhang,Fiskejohn,try this--safely remove your ipod--quit amarok then open amarok once more and connect the ipod mounting it via desktop or the way you normally do then identify it again
2008-02-25T20:24:00.000Z,Fiskejohn,bazhang,Ok
2008-02-25T20:25:00.000Z,bazhang,Fiskejohn,and this is the crucial bit--it has to be the model you have or the songs will not show in the iPod
2008-02-25T20:26:00.000Z,bazhang,Fiskejohn,hehe does it identify it correctly?
2008-02-25T20:27:00.000Z,Fiskejohn,bazhang,Well it does not identify it at all ?
2008-02-25T20:27:00.000Z,Fiskejohn,bazhang,Do you think i can do this by manuel ?
2008-02-25T20:27:00.000Z,bazhang,Fiskejohn,go to settings and make sure that it is set to ipod media device
2008-02-25T20:28:00.000Z,Fiskejohn,bazhang,So i go to configure and click the button 'Media devices'
2008-02-25T20:29:00.000Z,bazhang,Fiskejohn,next to plugins should be a dropdown menu
2008-02-25T20:29:00.000Z,Fiskejohn,bazhang,I see
2008-02-25T20:30:00.000Z,Fiskejohn,bazhang,Its set to apple ipod media device
2008-02-25T20:30:00.000Z,bazhang,Fiskejohn,now close the settings window and make sure it is correctly identify at the top of the devices window
2008-02-25T20:31:00.000Z,Fiskejohn,bazhang,Can i tell you what stands there ?
2008-02-25T20:32:00.000Z,bazhang,Fiskejohn,please do ;]
2008-02-25T20:32:00.000Z,Fiskejohn,bazhang,Ipod at /dev/sdb1 (Mounted at /media/IPOD)
2008-02-25T20:33:00.000Z,Fiskejohn,bazhang,"It is the drop down windue you talks about, isen't it ?"
2008-02-25T20:34:00.000Z,bazhang,Fiskejohn,"aye, now close it"
2008-02-25T20:34:00.000Z,Fiskejohn,bazhang,Amarok ? Shall i close Amarok ?
2008-02-25T20:34:00.000Z,bazhang,Fiskejohn,no just the settings window--now the main window above devices what does it say
2008-02-25T20:35:00.000Z,Fiskejohn,bazhang,Well at the main window above devices it says Ipod at /dev/sdb1 (Mounted at /media/IPOD)
2008-02-25T20:38:00.000Z,Fiskejohn,bazhang,Well at the main window above devices it says Ipod at /dev/sdb1 (Mounted at /media/IPOD)
2008-02-25T20:41:00.000Z,Fiskejohn,bazhang,Well at the main window above devices it says Ipod at /dev/sdb1 (Mounted at /media/IPOD)baz
2008-02-25T20:42:00.000Z,bazhang,Fiskejohn,just a moment please--reading a long thread at ubuntuforums on this..
2008-02-25T20:44:00.000Z,Fiskejohn,bazhang,Thanks alot :) Sorry to disturb :D
2008-02-25T20:51:00.000Z,bazhang,Fiskejohn,"first of all, lets try one more thing--try transferring over some music that is not there yet"
2008-02-25T20:52:00.000Z,Fiskejohn,bazhang,Can i try with one track only?
2008-02-25T20:52:00.000Z,bazhang,Fiskejohn,aye
2008-02-25T20:53:00.000Z,Fiskejohn,bazhang,Okay its done :)
2008-02-25T20:54:00.000Z,bazhang,Fiskejohn,now disconnect the ipod safely and see if it shows up--then we have some other stuff to do if not
2008-02-25T20:55:00.000Z,Fiskejohn,bazhang,"The music still dont apper, but again it use my capacility :("
2008-02-25T20:56:00.000Z,bazhang,Fiskejohn,aha--that is what I feared--well the libgpod in gutsy is too old--we need the 0.6.0 and gutsy only has 0.5.2-2
2008-02-25T20:56:00.000Z,Fiskejohn,bazhang,So what i do?
2008-02-25T20:58:00.000Z,bazhang,Fiskejohn,now comes the fun part-- http://talkingincircles.net/2007/12/26/i-got-my-ipod-classic-to-work-with-amarok/
2008-02-25T20:58:00.000Z,Fiskejohn,bazhang,hehe :D
2008-02-25T20:58:00.000Z,bazhang,Fiskejohn,whatever you dont understand be sure to ask and we will help here
2008-02-25T20:59:00.000Z,Fiskejohn,bazhang,Okay :) Thanks
2008-02-25T21:00:00.000Z,Fiskejohn,bazhang,i type this in to terminal right: sudo apt-get install build-essential libglib2.0-dev libgtk2.0-dev libsgutils1-dev checkinstall
2008-02-25T21:00:00.000Z,bazhang,Fiskejohn,aye
2008-02-25T21:01:00.000Z,Fiskejohn,bazhang,"It checked if something was installed, it can get me some installitons i type in Yes ?"
2008-02-25T21:01:00.000Z,bazhang,Fiskejohn,aye
2008-02-25T21:01:00.000Z,Fiskejohn,bazhang,Ok
2008-02-25T21:03:00.000Z,bazhang,Fiskejohn,I have to step away for about two minutes--be right back
2008-02-25T21:03:00.000Z,Fiskejohn,bazhang,Okay cya in a minute :D
2008-02-25T21:05:00.000Z,Fiskejohn,bazhang,Seems like its done :)
2008-02-25T21:10:00.000Z,bazhang,Fiskejohn,you are reading from that link right? you finished downloading those packages?
2008-02-25T21:11:00.000Z,Fiskejohn,bazhang,"Yeah i do, and yes its done do i type in this now:  tar -zxvf libgpod-0.6.0.tar.gz"
2008-02-25T21:11:00.000Z,bazhang,Fiskejohn,right but you need to be in the same directory as that file you know
2008-02-25T21:13:00.000Z,Fiskejohn,bazhang,i downloadet the file to this place: /home/anton/desktop/Rod
2008-02-25T21:13:00.000Z,bazhang,Fiskejohn,then cd to that directory
2008-02-25T21:14:00.000Z,Fiskejohn,bazhang,And how is that done? Sorry for newbieneness :(
2008-02-25T21:14:00.000Z,bazhang,Fiskejohn,currently you should be in home--try a ls and see if the documents you see are familiar
2008-02-25T21:15:00.000Z,Fiskejohn,bazhang,Ohh yeah they are :)
2008-02-25T21:15:00.000Z,bazhang,Fiskejohn,now type cd Desktop
