date,from,to,text
2004-11-04T08:57:00.000Z,Gmail,,c# bob2
2004-11-04T08:58:00.000Z,Gmail,,i bet they even bought winblows off some kid which was making some stupid os
2004-11-04T08:58:00.000Z,bob2,Gmail,please?
2004-11-04T08:58:00.000Z,Gmail,bob2,lol
2004-11-02T12:55:00.000Z,bob2,Gmail,"it says 'wow, that's not a valid url, let's google it.'"
2004-11-02T13:01:00.000Z,bob2,Gmail,create a new user. can they login?
2004-11-02T13:04:00.000Z,Gmail,bob2,why cant i use nobody it not like he has a profile
2004-11-02T13:04:00.000Z,Gmail,bob2,and i can change id10t to what ever i want
2004-11-02T13:10:00.000Z,bob2,Gmail,how long do you want?
2004-11-02T13:12:00.000Z,bob2,Gmail,just chill out and leave it for a few minutes.
2004-11-02T13:13:00.000Z,bob2,Gmail,there's a bug with some sound cards where it can take a while.
2004-11-02T13:14:00.000Z,bob2,Gmail,"just chill, you need to stop panicking so much.  let it sit for a while."
2004-11-02T13:16:00.000Z,bob2,Gmail,are you on amd64?
2004-11-02T13:16:00.000Z,Gmail,bob2,on p4
2004-11-02T13:16:00.000Z,bob2,Gmail,then why do you think it's the same problem?
2004-11-02T13:19:00.000Z,Gmail,bob2,btw the error he is having is not a hardware related
2004-11-02T13:22:00.000Z,Gmail,bob2,it cound be a bug it he is login in as root i saw it since 2.4 but it just a gksu problem
2004-11-02T13:24:00.000Z,Gmail,bob2,gnome ******STILL******* hasnt started
2004-11-02T13:25:00.000Z,bob2,Gmail,"chill, dude, you don't need to panic"
2004-11-02T13:26:00.000Z,bob2,Gmail,"dude, really, calm down"
2004-11-02T13:27:00.000Z,bob2,Gmail,"modconf is broken, but in universe."
2004-11-02T13:28:00.000Z,Gmail,bob2,australia is mad up of wirod people i am one of them
2004-11-02T13:28:00.000Z,Gmail,bob2,no i need to modconf the driver
2004-11-02T13:29:00.000Z,Gmail,bob2,yes the house next door the people in there NEVER ware cothes if that not wirod then WTF
2004-11-02T13:30:00.000Z,Gmail,bob2,because i havent modconf the driver yet
2004-11-02T13:30:00.000Z,bob2,Gmail,"no, how do you know it isn't working?"
2004-11-02T13:31:00.000Z,bob2,Gmail,what driver does it use?
2004-11-02T13:31:00.000Z,Gmail,bob2,ubuntu is going to be the first distro to detech it
2004-11-02T13:31:00.000Z,Gmail,bob2,wirod one that i can remember is i cound use modconf
2004-11-02T13:35:00.000Z,bob2,Gmail,"dude, he's using ubuntu"
