date,from,to,text
2005-06-25T16:52:00.000Z,HappyFool,,good night ;)
2005-06-25T05:42:00.000Z,HappyFool,,there's nothing in the gdm logs (/var/log/gdm/*) or ~/.xsession-errors ?
2005-06-25T05:44:00.000Z,HappyFool,,hey Heimdall -- any luck with your modem?
2005-06-25T05:45:00.000Z,Heimdall,HappyFool,: well no... :(
2005-06-25T05:45:00.000Z,HappyFool,Heimdall,hm
2005-06-25T05:45:00.000Z,HappyFool,Heimdall,how far did you get?
2005-06-25T05:46:00.000Z,Heimdall,HappyFool,: well I didn't go so far... but I installed all we spoke about
2005-06-25T05:46:00.000Z,Heimdall,HappyFool,: I begin to have serious doubts
2005-06-25T05:47:00.000Z,HappyFool,Heimdall,why's that?
2005-06-25T05:47:00.000Z,Heimdall,HappyFool,": well... I think I have installed all, but it still dont detect the modem"
2005-06-25T05:50:00.000Z,Heimdall,HappyFool,:I installed the source and dameon package
2005-06-25T05:50:00.000Z,Heimdall,HappyFool,: and it seems to be successful
2005-06-25T05:50:00.000Z,HappyFool,Heimdall,ok. and the build? (make-kpkg) ?
2005-06-25T05:51:00.000Z,Heimdall,HappyFool,: hum... this I don't know very well what it does
2005-06-25T05:51:00.000Z,HappyFool,Heimdall,i'm actually just trying to install the created deb and it's refusing. odd
2005-06-25T05:51:00.000Z,HappyFool,Heimdall,"well, there's a build step"
2005-06-25T05:52:00.000Z,HappyFool,Heimdall,it's not enough to just install the source
2005-06-25T05:52:00.000Z,Heimdall,HappyFool,: I admit that I'm quite lost with all of these things to do
2005-06-25T05:52:00.000Z,HappyFool,Heimdall,"yeah, i guess it is a bit of an information overload"
2005-06-25T05:53:00.000Z,Heimdall,HappyFool,: I typed lspci and it told me SiS AC'97 modem controller
2005-06-25T05:53:00.000Z,HappyFool,Heimdall,ah
2005-06-25T05:53:00.000Z,HappyFool,Heimdall,heh. so all this might be for nothing ? ;)
2005-06-25T05:54:00.000Z,HappyFool,Heimdall,never fear! there is a neat little script available from here: http://linmodems.technion.ac.il/ that should tell you what driver you need
2005-06-25T05:54:00.000Z,Heimdall,HappyFool,": hummm I'm not sure, because... I search on the web with this reference, and I found something about smartlink modem too"
2005-06-25T05:55:00.000Z,Heimdall,HappyFool,: do u know windows ?
2005-06-25T05:55:00.000Z,HappyFool,Heimdall,"err, a little"
2005-06-25T05:55:00.000Z,Heimdall,HappyFool,: well; it tells me thah mymodem is a smartlink
2005-06-25T05:56:00.000Z,HappyFool,Heimdall,then it probably is a smart link
2005-06-25T05:56:00.000Z,Heimdall,HappyFool,": so, I did dpkg -i for the source and daemon .deb"
2005-06-25T05:58:00.000Z,HappyFool,Heimdall,"ok, you also need to install kernel-package and module-assistant (both downloaded debs)"
2005-06-25T05:59:00.000Z,Heimdall,HappyFool,": actually, now I can make tests, it is easier since I'm not on my laptop anymore"
2005-06-25T05:59:00.000Z,Heimdall,HappyFool,: I think it is done
2005-06-25T06:00:00.000Z,HappyFool,Heimdall,ok
2005-06-25T06:00:00.000Z,HappyFool,Heimdall,so you can work there now without leaving irc?
2005-06-25T06:00:00.000Z,Heimdall,HappyFool,": yes, I have my laptop right next to me"
2005-06-25T06:00:00.000Z,HappyFool,Heimdall,excellent
2005-06-25T06:00:00.000Z,HappyFool,Heimdall,let me know when you get to a command prompt
2005-06-25T06:01:00.000Z,HappyFool,Heimdall,heh -- good stuff
2005-06-25T06:03:00.000Z,Heimdall,HappyFool,: modify the grub command wasn't difficult with a good graphic editor ;)
2005-06-25T06:05:00.000Z,HappyFool,Heimdall,gedit?
2005-06-25T06:06:00.000Z,HappyFool,Heimdall,"yeah, package install thingy. System -> Administration -> Synaptic"
2005-06-25T06:07:00.000Z,HappyFool,Heimdall,synaptic is a little better when you have an internet connection though ;)
2005-06-25T06:07:00.000Z,HappyFool,Heimdall,ok
2005-06-25T06:07:00.000Z,HappyFool,Heimdall,cd /usr/src/linux-headers-2.6.10-5
2005-06-25T06:08:00.000Z,Heimdall,HappyFool,:ok
2005-06-25T06:08:00.000Z,HappyFool,Heimdall,now sudo make-kpkg modules_image
2005-06-25T06:09:00.000Z,HappyFool,Heimdall,might take a little while. you should see lots of exciting commands and stuff
2005-06-25T06:10:00.000Z,HappyFool,Heimdall,that last line should be: 'Module /usr/src/modules/sl-modem processed fine'
2005-06-25T06:11:00.000Z,HappyFool,Heimdall,"ok, now 'cd ..' and 'ls *.deb'"
2005-06-25T06:11:00.000Z,HappyFool,Heimdall,you should see a file 'sl-modem-modules-2.6.10.....deb' where ... probably depends on your precise kernel version
2005-06-25T06:12:00.000Z,HappyFool,Heimdall,ok
2005-06-25T06:12:00.000Z,HappyFool,Heimdall,"i tried to install this file earlier and it broke, but i think we can force it"
2005-06-25T06:12:00.000Z,HappyFool,Heimdall,stand-by
2005-06-25T06:13:00.000Z,HappyFool,Heimdall,can you hang on one second?
2005-06-25T06:14:00.000Z,HappyFool,Heimdall,i think maybe one needs to be in 'linux-headers-2.6.10-5-386' not 'linux-headers-2.6.10-5'
2005-06-25T06:14:00.000Z,HappyFool,Heimdall,hmm
2005-06-25T06:14:00.000Z,HappyFool,Heimdall,what's the other one called?
2005-06-25T06:16:00.000Z,HappyFool,Heimdall,"hmm, i think that one might be the better one to install"
2005-06-25T06:17:00.000Z,HappyFool,Heimdall,"i don't know why i keep getting a 'Custm.deb', but nevermind"
2005-06-25T06:17:00.000Z,HappyFool,Heimdall,'sudo dpkg -i <that-file>'
2005-06-25T06:17:00.000Z,HappyFool,Heimdall,err
2005-06-25T06:18:00.000Z,HappyFool,Heimdall,"well, let's try it anyway"
2005-06-25T06:19:00.000Z,Heimdall,HappyFool,": creating /dev/modem symlink, pointing to /dev/ttySL0"
2005-06-25T06:19:00.000Z,HappyFool,Heimdall,excellent
2005-06-25T06:19:00.000Z,Heimdall,HappyFool,: I ahd this already many times
2005-06-25T06:19:00.000Z,HappyFool,Heimdall,oh
2005-06-25T06:19:00.000Z,HappyFool,Heimdall,so not so excellent
2005-06-25T06:20:00.000Z,HappyFool,Heimdall,does lsmod|grep sl-modem show anything
2005-06-25T06:20:00.000Z,HappyFool,Heimdall,"yeah, we can check that in a moment"
2005-06-25T06:20:00.000Z,HappyFool,Heimdall,"you've installed it, right? sl-modem-daemon?"
2005-06-25T06:22:00.000Z,Heimdall,HappyFool,": lsmod|grep sl-modem does nothing, what was it for ?"
2005-06-25T06:22:00.000Z,HappyFool,Heimdall,lsmod lists loaded kernel modules
2005-06-25T06:23:00.000Z,HappyFool,Heimdall,"| is a 'pipe' , and grep is a text search utility"
2005-06-25T06:23:00.000Z,HappyFool,Heimdall,don't despair yet
2005-06-25T06:23:00.000Z,HappyFool,Heimdall,"you don't remember what the command you gave to build the non-custom deb was, by any chance?"
2005-06-25T06:24:00.000Z,Heimdall,HappyFool,: you mean the custom one ?
2005-06-25T06:25:00.000Z,Heimdall,HappyFool,": maybe we would spend more time to re-do all from the begining, now that I can type the command it shouldn't be too long ?"
2005-06-25T06:25:00.000Z,HappyFool,Heimdall,i think everything is ok
2005-06-25T06:25:00.000Z,HappyFool,Heimdall,we probably just need to start the daemon and load the module
2005-06-25T06:28:00.000Z,HappyFool,Heimdall,and what did it say?
2005-06-25T06:28:00.000Z,Heimdall,HappyFool,: to install the daemon I did dpkg -i sl-modem-daemon....deb
2005-06-25T06:29:00.000Z,HappyFool,Heimdall,"right, but when you did /etc/init.d/slmodemd (or whatever) what did it say?"
2005-06-25T06:30:00.000Z,HappyFool,Heimdall,the command?
2005-06-25T06:30:00.000Z,HappyFool,Heimdall,try 'sudo /etc/init.d/sl-modem-daemon restart'
2005-06-25T06:31:00.000Z,HappyFool,Heimdall,i'm not sure of the precise command name -- you can use tab completion
2005-06-25T06:31:00.000Z,HappyFool,Heimdall,otherwise maybe 'sudo invoke-rc.d sl-modem-daemon restart'
2005-06-25T06:31:00.000Z,HappyFool,Heimdall,i believe those two commands are equivalent
2005-06-25T06:32:00.000Z,Heimdall,HappyFool,: look at this : https://wiki.ubuntu.com//BinaryDriverHowto at the end of the page
2005-06-25T06:32:00.000Z,Heimdall,HappyFool,": his driver seems rather finicky. Basically, if it works, a file called /dev/ttySL0 will exist. If it doesn't work, running sudo /etc/init.d/sl-modem-daemon restart may help, as might running modprobe slamr, but it seems somewhat random. A reboot may help too."
2005-06-25T06:33:00.000Z,HappyFool,Heimdall,ah-ha
2005-06-25T06:34:00.000Z,Heimdall,HappyFool,yes ?
2005-06-25T06:34:00.000Z,HappyFool,Heimdall,is this how you got that .deb ? the one that wasn't custom?
2005-06-25T06:34:00.000Z,HappyFool,Heimdall,ok
2005-06-25T06:34:00.000Z,HappyFool,Heimdall,"standby, let me run this quick. I wonder how i did it before *puzzlement*"
2005-06-25T06:36:00.000Z,Heimdall,HappyFool,: sudo /etc/init.d/sl-modem-daemon restart tells :
2005-06-25T06:36:00.000Z,HappyFool,Heimdall,hrm. i think that might be for warty - the 'Depends' field is already updated
2005-06-25T06:37:00.000Z,HappyFool,Heimdall,"i guessed the module name wrong earlier, btw"
2005-06-25T06:37:00.000Z,HappyFool,Heimdall,try 'lsmod|grep slamr'
2005-06-25T06:37:00.000Z,Heimdall,HappyFool,": shutting down samrtlink modem driver normmallu, loading ALSA modem driver into kernel... done. Starting smartlnk modem driver for : hw:0. creating /dev/modem smylink, pointing to /dev/ttySL0."
2005-06-25T06:38:00.000Z,HappyFool,Heimdall,and ls -l /dev/modem shows?
2005-06-25T06:38:00.000Z,Heimdall,HappyFool,: slamr 376004 0
2005-06-25T06:38:00.000Z,HappyFool,Heimdall,good stuff
2005-06-25T06:39:00.000Z,Heimdall,HappyFool,: lrwxrwxrwx l root root 6 2005-06-18 14:35 /dev/modem -> ttySL0
2005-06-25T06:39:00.000Z,HappyFool,Heimdall,"ok, it looks like it might be working"
2005-06-25T06:40:00.000Z,HappyFool,Heimdall,"well, let's see if we can test it"
2005-06-25T06:40:00.000Z,HappyFool,Heimdall,try in your home directory typing 'wvdialconf wvdial.conf' and see what happens
2005-06-25T06:40:00.000Z,HappyFool,Heimdall,"you might need to sudo that, but try it without first"
2005-06-25T06:41:00.000Z,Heimdall,HappyFool,: I don't need sudo
2005-06-25T06:41:00.000Z,Heimdall,HappyFool,: it writes a lot of stuff
2005-06-25T06:42:00.000Z,HappyFool,Heimdall,does it look like good or bad news?
2005-06-25T06:42:00.000Z,Heimdall,HappyFool,: everything seems to be OK
2005-06-25T06:42:00.000Z,HappyFool,Heimdall,yay
2005-06-25T06:42:00.000Z,Heimdall,HappyFool,: as it is written on each end line
2005-06-25T06:42:00.000Z,Heimdall,HappyFool,: and at the end : 'found a modem on /dev/ttySL0'
2005-06-25T06:43:00.000Z,HappyFool,Heimdall,"ok, that sounds promising"
2005-06-25T06:43:00.000Z,Heimdall,HappyFool,: ok so looks like it was the good driver for the modem right ?
2005-06-25T06:43:00.000Z,HappyFool,Heimdall,"yeah, looks like it's a go"
2005-06-25T06:43:00.000Z,HappyFool,Heimdall,"you need to setup ppp now (i.e., dial-up settings)"
2005-06-25T06:43:00.000Z,Heimdall,HappyFool,: ok so now I go to SSYTEM->ADMINISTRATION->NETWORK
2005-06-25T06:44:00.000Z,HappyFool,Heimdall,"try first the gnome ppp thing. yeah, there exactly"
2005-06-25T06:44:00.000Z,Heimdall,HappyFool,:: I wrote the parameters already
2005-06-25T06:44:00.000Z,HappyFool,Heimdall,at some point you'll need a phone line to test this with ;)
2005-06-25T06:44:00.000Z,HappyFool,Heimdall,ok
2005-06-25T06:46:00.000Z,HappyFool,Heimdall,the phone line might have to be plugged in
2005-06-25T06:46:00.000Z,Heimdall,HappyFool,: proprieties -> modem-> auto-detect ok ?
2005-06-25T06:46:00.000Z,HappyFool,Heimdall,"and try pointing it to /dev/ttySL0 instead of /dev/modem, though that shouldn't matter"
2005-06-25T06:46:00.000Z,HappyFool,Heimdall,"ag, i wouldn't bother with that"
2005-06-25T06:46:00.000Z,HappyFool,Heimdall,just tell it to use /dev/modem
2005-06-25T06:46:00.000Z,Heimdall,HappyFool,: ok wait
2005-06-25T06:47:00.000Z,Heimdall,HappyFool,: nw the phone line isn't on my laptop... in order to talk to you
2005-06-25T06:47:00.000Z,Heimdall,HappyFool,": I'll try to detect the modem without, it normally should be okay"
2005-06-25T06:47:00.000Z,HappyFool,Heimdall,i figured as much ;)
2005-06-25T06:48:00.000Z,Heimdall,HappyFool,": ok, can I try to detect the port whitout type anything ?"
2005-06-25T06:48:00.000Z,HappyFool,Heimdall,let me see if i can access that dialog with shutting down my connection...
2005-06-25T06:49:00.000Z,Heimdall,HappyFool,: ok in the same time I try on my side
2005-06-25T06:49:00.000Z,HappyFool,Heimdall,just type in /dev/modem for 'Modem port'
2005-06-25T06:49:00.000Z,HappyFool,Heimdall,don't use the autodetect button
2005-06-25T06:49:00.000Z,Heimdall,HappyFool,:
2005-06-25T06:49:00.000Z,HappyFool,Heimdall,and?
2005-06-25T06:50:00.000Z,HappyFool,Heimdall,"ok, that's good"
2005-06-25T06:50:00.000Z,HappyFool,Heimdall,i couldn't get it to find my winmodem
2005-06-25T06:50:00.000Z,HappyFool,Heimdall,"now setup the phone number, user/password options and try it out"
2005-06-25T06:50:00.000Z,Heimdall,HappyFool,": ok, now how can I test ?"
2005-06-25T06:50:00.000Z,HappyFool,Heimdall,only one way really ;) dial-up
2005-06-25T06:50:00.000Z,Heimdall,HappyFool,: I've already done that; but how to connect ?
2005-06-25T06:51:00.000Z,HappyFool,Heimdall,go back to the first dialog box ('Network settings') and 'activate' the interface
2005-06-25T06:51:00.000Z,HappyFool,Heimdall,button just below properties
2005-06-25T06:51:00.000Z,HappyFool,Heimdall,there's also a gnome applet you can use
2005-06-25T06:52:00.000Z,HappyFool,Heimdall,"well, if sl-modem-modules wasn't installed, it wouldn't work before"
2005-06-25T06:52:00.000Z,Heimdall,HappyFool,: well... I have to disconnect ti test
2005-06-25T06:52:00.000Z,HappyFool,Heimdall,yip
2005-06-25T06:52:00.000Z,HappyFool,Heimdall,one moment
2005-06-25T06:53:00.000Z,HappyFool,Heimdall,you can look in /var/log/messages and /var/log/syslog for pppd messages
2005-06-25T06:53:00.000Z,HappyFool,Heimdall,"might be useful if something goes wrong (e.g., wrong password or something)"
2005-06-25T06:53:00.000Z,HappyFool,Heimdall,"otherwise, good luck"
2005-06-25T06:54:00.000Z,HappyFool,Heimdall,hopefully in ubuntu ;)
2005-06-25T06:58:00.000Z,HappyFool,Heimdall,success?
2005-06-25T07:01:00.000Z,HappyFool,Heimdall,"hmm. the modem works under windows, right? and the line was properly plugged in?"
2005-06-25T07:02:00.000Z,HappyFool,Heimdall,hrm
2005-06-25T07:05:00.000Z,HappyFool,Heimdall,i'm stumped
2005-06-25T07:07:00.000Z,HappyFool,Heimdall,"i really don't think it'll help, but you could try rebooting"
