date,from,to,text
2007-02-26T09:53:00.000Z,IndyGunFreak,Pelo,to what forum?
2007-02-26T09:54:00.000Z,Pelo,IndyGunFreak," the ubuntu forum,  great resource for hardware installation,  ppl put how they got their stuff to work in there"
2007-02-26T09:54:00.000Z,IndyGunFreak,Pelo,"oh, you can never send to many people there."
2007-02-26T09:54:00.000Z,IndyGunFreak,Pelo,i really like hte Ubuntu forum at LQ
2007-02-26T09:55:00.000Z,IndyGunFreak,Pelo,"i probably learned more on searching LQ, than probably most other sites"
2007-02-26T09:55:00.000Z,Pelo,IndyGunFreak, got a link ?
2007-02-26T09:55:00.000Z,IndyGunFreak,Pelo,  http://www.linuxquestions.org
2007-02-26T10:01:00.000Z,IndyGunFreak,Pelo,later
2007-03-04T08:47:00.000Z,IndyGunFreak,Pelo,guess he didn't appreciate our advice..lol
2007-03-04T08:47:00.000Z,Pelo,IndyGunFreak, no one ever listens to me
2007-03-04T08:48:00.000Z,IndyGunFreak,Pelo,you were right on.... i always presume people have played with the menus enough to know where synaptic is
2007-03-04T08:48:00.000Z,Pelo,IndyGunFreak, is the symlink command ln -s or ls -n ?
2007-03-31T05:39:00.000Z,IndyGunFreak,Pelo,i agree 100%
2007-03-31T10:08:00.000Z,IndyGunFreak,Pelo,is there one?
2007-03-31T10:08:00.000Z,Pelo,IndyGunFreak, not my problem
2007-03-31T10:13:00.000Z,IndyGunFreak,Pelo,i don't think he's smart...lol
2007-03-31T10:22:00.000Z,IndyGunFreak,Pelo,"why is it when i post that link, i'm vilified?...lol"
2007-03-31T10:22:00.000Z,Pelo,IndyGunFreak, post better links
2007-03-31T10:23:00.000Z,IndyGunFreak,Pelo,i do.. i've just been told its not a safe FAQ
2007-03-31T10:23:00.000Z,Pelo,IndyGunFreak,"  freenode has very strict rules ,  howtos are usualy fine"
2007-03-31T10:24:00.000Z,IndyGunFreak,Pelo,"well, i've been vilified many times for posting that link"
2007-03-31T10:24:00.000Z,Pelo,IndyGunFreak, tell them to pissoff
2007-03-31T10:29:00.000Z,IndyGunFreak,Pelo,says LinuxMint is temporarily unavailable
2007-03-31T10:30:00.000Z,Pelo,IndyGunFreak," the link on the page is rather crappy,  it wouldn,t surprise me if it was a fake and they expected us to do their supportfor them"
2007-03-31T10:30:00.000Z,IndyGunFreak,Pelo,"yeah, those Mint freaks...lol"
2007-03-31T10:31:00.000Z,IndyGunFreak,Pelo,"yeah, but its inevitable."
2007-04-29T06:01:00.000Z,Pelo,IndyGunFreak, what with ?
2007-04-29T06:01:00.000Z,IndyGunFreak,Pelo,"nothing..lol, i just couldn't remember the command to do that.."
2007-05-14T07:26:00.000Z,Pelo,IndyGunFreak,we each have our strenghts
2007-06-06T07:29:00.000Z,Pelo,IndyGunFreak," I simpatise, my last one I had that feeling from the moment I got the call I got hired"
2007-06-06T07:48:00.000Z,IndyGunFreak,Pelo,have a good night
2007-06-10T09:15:00.000Z,IndyGunFreak,Pelo,bitter huh?..lol
2007-06-10T09:15:00.000Z,Pelo,IndyGunFreak," they get like that after a while,  not sure why :-)"
2007-06-11T06:02:00.000Z,IndyGunFreak,Pelo,why the anger towards new2linx?..lol
2007-06-11T06:03:00.000Z,Pelo,IndyGunFreak," he's a gaim user ,  this is an irc channel,  it's not right"
2007-06-11T06:03:00.000Z,IndyGunFreak,Pelo,"oh, ok i see... i think..lol...  i'm gonna start telling KDE users not to talk to me...lol"
2007-06-11T06:04:00.000Z,Pelo,IndyGunFreak,"they have their own channel I donT, know why they keep invading ours"
2007-06-11T06:04:00.000Z,IndyGunFreak,Pelo,"lol, ok"
2007-06-13T07:27:00.000Z,Pelo,IndyGunFreak,"AznDinner2  wants to install  x86 on his 64 bit mach but only the 65 bit installer will work on his comp, for some reason"
2007-06-13T07:27:00.000Z,IndyGunFreak,Pelo,"ohhhhh, ok.."
2007-06-15T06:12:00.000Z,Pelo,IndyGunFreak, take the high road
2007-06-25T06:45:00.000Z,IndyGunFreak,Pelo,lol
2007-08-13T07:23:00.000Z,IndyGunFreak,Pelo,isn't realplayer in the medibuntu repo?
2007-08-13T07:24:00.000Z,Pelo,IndyGunFreak, how the heck would I knwo what is in the mediubuntu repos
2007-08-13T07:25:00.000Z,IndyGunFreak,Pelo,"i wasn't suggesting yuou should/shouldn't, was just thinking that it would be an easier way to install realplayer"
2007-08-13T07:25:00.000Z,Pelo,IndyGunFreak,"sorry , I'm getting a bit frazzled and I needed to take it out on someone, I knew you could handle it"
2007-08-13T07:26:00.000Z,IndyGunFreak,Pelo,lol... no sweat
2007-08-13T07:28:00.000Z,IndyGunFreak,Pelo,its in the canonical commercial repo.. from the looks of it.
2007-08-13T07:29:00.000Z,Pelo,IndyGunFreak,"realy I had to get it online ... who cares anyway, it's realplayer , only good for cheap porn"
2007-08-13T07:29:00.000Z,IndyGunFreak,Pelo,now that i agree with...lol
2007-08-16T16:32:00.000Z,Pelo,IndyGunFreak, he said he tought it got installed
2007-08-16T16:32:00.000Z,IndyGunFreak,Pelo,"if its installed, it will show up in synaptic via the search feature"
2007-08-16T16:33:00.000Z,Pelo,IndyGunFreak,he didn't say it was a deb file
2007-08-16T16:33:00.000Z,IndyGunFreak,Pelo,"true, i was thinking he downloaded a .deb"
2007-08-19T11:27:00.000Z,Pelo,IndyGunFreak,"if he only has ubuntu on that computer the grub menu maybe hidden,  he might hve to hit esc right after the bios info screen, or even while"
2007-08-19T11:28:00.000Z,IndyGunFreak,Pelo,i just told him that
2007-08-19T11:28:00.000Z,Pelo,IndyGunFreak,I meant he won'T see a count down
2007-08-19T11:28:00.000Z,IndyGunFreak,Pelo,"no, ifyou only have ubuntu, it will give you a countdown, at least it always has for me."
2007-08-19T11:29:00.000Z,IndyGunFreak,Pelo,whats thsat command to reconfigure X?
2007-08-19T11:30:00.000Z,Pelo,IndyGunFreak,sudo dpkg-reconfigure xserver-xorg
2007-08-19T11:32:00.000Z,IndyGunFreak,Pelo,all day?
2007-08-19T11:33:00.000Z,IndyGunFreak,Pelo,maybe a weekend...lol
2007-08-19T11:34:00.000Z,IndyGunFreak,Pelo,lol
2007-08-19T11:35:00.000Z,Pelo,IndyGunFreak, so do my goldfishes
