date,from,to,text
2006-07-26T08:33:00.000Z,Paddy_EIRE,,hi guys I burned the contents of /var/cache/apt/archives/ to dvd and want to know if i take this to my friends machine how i would go about installing them all at once
2006-07-26T08:35:00.000Z,Paddy_EIRE,,<frogzoo> i didnt do anything fancy when burning i just copied and pasted then burned to dvd i didnt zip or compress in any way
2006-07-26T08:35:00.000Z,Paddy_EIRE,,<frogzoo> do i just type this in a terminal while in dvd directory
2006-07-26T08:36:00.000Z,Jack_Sparrow,Paddy_EIRE,To identify all installed packages I use...    dpkg --get-selections >out.txt  to save the list of installed items  and <out.txt  to restore all installed apps
2006-07-26T08:41:00.000Z,Jack_Sparrow,Paddy_EIRE, DOnt you just want to duplicate your installation on another box/install?
2006-07-26T08:43:00.000Z,Jack_Sparrow,Paddy_EIRE,write the one I gave you down..
2006-07-27T10:29:00.000Z,Jack_Sparrow,Paddy_EIRE,I use gdesklets
2006-07-27T10:32:00.000Z,Jack_Sparrow,Paddy_EIRE,"We talked about that yesterday, that was not my suggestion correct?"
2006-07-27T10:33:00.000Z,Jack_Sparrow,Paddy_EIRE,You didnt use my suggestion because you had made changes after you burned the cd
2006-07-27T10:34:00.000Z,Jack_Sparrow,Paddy_EIRE,Did you write that down
2006-07-27T10:35:00.000Z,Jack_Sparrow,Paddy_EIRE,dpkg --get-packages > out.txt   then <out.txt
2006-07-27T10:38:00.000Z,Jack_Sparrow,Paddy_EIRE,What are you typning on the command line
2006-07-27T10:39:00.000Z,Jack_Sparrow,Paddy_EIRE,and it gives you that error?
2006-07-27T10:42:00.000Z,Jack_Sparrow,Paddy_EIRE,My fault... --get-selections
2006-07-27T10:43:00.000Z,Jack_Sparrow,Paddy_EIRE,Sorry complete brain fart
2006-07-27T10:46:00.000Z,Jack_Sparrow,Paddy_EIRE,Did it finish creating the out.txt file?
2006-07-27T10:49:00.000Z,Jack_Sparrow,Paddy_EIRE, Once you do the install on the other machine use    <out.txt to install everything
2006-07-27T10:49:00.000Z,Jack_Sparrow,Paddy_EIRE,Check home folder
2006-07-27T10:52:00.000Z,Jack_Sparrow,Paddy_EIRE,You will find it in /home/'User Name'
2006-07-27T10:53:00.000Z,Jack_Sparrow,Paddy_EIRE, Copy to the other machine and run   dpkg --get-selections < out.txt
2006-07-27T10:54:00.000Z,Jack_Sparrow,Paddy_EIRE, Are you happy camper now?
2006-07-27T10:57:00.000Z,Jack_Sparrow,Paddy_EIRE,"It should do everything, if not come back with whatever the prob may be"
2006-07-27T10:57:00.000Z,Jack_Sparrow,Paddy_EIRE,np glad to help
2006-07-27T10:58:00.000Z,Jack_Sparrow,Paddy_EIRE,SOmetimes stretched a little thin
2006-07-27T11:01:00.000Z,Jack_Sparrow,Paddy_EIRE, Check out RealBasic and Kbasic for Linux as a start..
2006-07-27T11:01:00.000Z,Jack_Sparrow,Paddy_EIRE,Both are free
2006-07-29T07:48:00.000Z,Jack_Sparrow,Paddy_EIRE,do you also have an onboard card?
2006-07-29T07:49:00.000Z,Jack_Sparrow,Paddy_EIRE,then what makes you think it is sharing ram
2006-07-29T07:52:00.000Z,Jack_Sparrow,Paddy_EIRE,but why do you think it is your video card sharing it
2006-07-29T07:53:00.000Z,Jack_Sparrow,Paddy_EIRE,You cant assume that.. you are on the wrong path
2006-08-01T12:31:00.000Z,Jack_Sparrow,Paddy_EIRE,did you know the last security update from MS told all computers to call microsoft every 24 hours and report what MS products were installed
2006-08-01T12:35:00.000Z,Jack_Sparrow,Paddy_EIRE,glad to have you here
2006-08-01T12:36:00.000Z,Jack_Sparrow,Paddy_EIRE,Kubuntu or Mepis 6
2006-08-01T12:37:00.000Z,Jack_Sparrow,Paddy_EIRE,that is the fun of it.. explore them all.
2006-08-23T09:33:00.000Z,Jack_Sparrow,Paddy_EIRE,Alien is gonna get you one of these days
