date,from,to,text
2010-11-22T00:48:00.000Z,magicjoe,,ANYONE: know anything abut Wubi?
2010-11-22T00:48:00.000Z,magicjoe,,sorry
2010-11-22T00:50:00.000Z,magicjoe,,"ok, sorry, let me clarify. I have a wubi installation on an xp maching. everything was working fine, until, i just now did an update. it froze up in the middle of that. so i had to manually restart the computer. when i try to boot up now, i only have windows in grub"
2010-11-22T00:50:00.000Z,magicjoe,,any way to get that back?
2010-11-22T00:52:00.000Z,magicjoe,,"basically i have a folder in xp called ubuntu, and it has large files that are my ubuntu installation, but there is a folder called boot, which has a folder called grub, which is now empty. can i rebuild a 'grub' file in windows through notepad, that will bring this partition back alive?"
2010-11-22T00:53:00.000Z,magicjoe,,"or basically , i screwed the pooch?"
2010-11-22T00:54:00.000Z,Jordan_U,magicjoe,You should be able to just add this to your boot.ini (add a new line to the end of the file):        c:\wubildr.mbr='Ubuntu'
2010-11-22T01:01:00.000Z,Jordan_U,magicjoe,You should be able to just add this to your boot.ini (add a new line to the end of the file):        c:\wubildr.mbr='Ubuntu'
2010-11-22T01:02:00.000Z,magicjoe,Jordan_U,"so if that ini file is gone, can i create that in notepad, and add that line in? or do i need more data than that line?"
2010-11-22T01:07:00.000Z,Jordan_U,magicjoe,"To edit the boot.ini, 1: Right-click My Computer, and then click Properties. 2: On the Advanced tab, click Settings under Startup and Recovery."
2010-11-22T01:07:00.000Z,Jordan_U,magicjoe,"3: Under System Startup, click Edit.  (from http://support.microsoft.com/kb/289022 )"
2010-11-22T01:08:00.000Z,magicjoe,Jordan_U,that line is in that file from the instructions you just gave me.
2010-11-22T01:09:00.000Z,magicjoe,Jordan_U,I have a Wubi installation. so thats what the difference is
2010-11-22T01:10:00.000Z,magicjoe,Jordan_U,"I created a blank file, with that line in it, and put it into the boot/grub folder in the dir created by the wubi installer. hoping that will solve on reboot"
2010-11-22T01:10:00.000Z,magicjoe,Jordan_U,"called it boot.ini, and added the line you told me to put in."
2010-11-22T01:10:00.000Z,Jordan_U,magicjoe,"boot.ini is a windows configuration file, it's not contained in boot/grub or any wubi specific directory. It's in the root of the partition (but it's hidden and read only by default, so follow the instructions I gave to open it)."
2010-11-22T01:11:00.000Z,magicjoe,Jordan_U,i did that and the line was already there.
2010-11-22T01:12:00.000Z,magicjoe,Jordan_U,I guess what i need then is what do i need to put into the boot/grub folder under the wubi directory to get the ubuntu option back when i boot up?
2010-11-22T01:13:00.000Z,magicjoe,Jordan_U,"thats why im backing up the .disk files with all my settings and whatnot, then will reinstall wubi and replace the default .disk files with my old ones."
2010-11-22T01:13:00.000Z,Jordan_U,magicjoe,Odd. Can you take a picture of the menu(s) you see at boot?
2010-11-22T01:13:00.000Z,magicjoe,Jordan_U,"sigh. no. it happened because i was updating, and it froze"
2010-11-22T01:14:00.000Z,Jordan_U,magicjoe,No to what? You can't take a picture of the menus you see at boot?
2010-11-22T01:14:00.000Z,magicjoe,Jordan_U,i get the windows xp or Ubuntu
2010-11-22T01:15:00.000Z,magicjoe,Jordan_U,"when i click ubuntu, there is no linux option in the grub loader"
2010-11-22T01:15:00.000Z,Jordan_U,magicjoe,Ok. Can you boot an Ubuntu LiveCD?
2010-11-22T01:15:00.000Z,magicjoe,Jordan_U,"the updates removed a lot of the files, and was going to install new files, but froze up. i had to hard restart"
2010-11-22T01:16:00.000Z,magicjoe,Jordan_U,I have Helix 3
2010-11-22T01:16:00.000Z,Jordan_U,magicjoe,"That's a problem within the root.dsk file, so re-installing won't help."
2010-11-22T01:16:00.000Z,magicjoe,Jordan_U,so is there a fix for this?
2010-11-22T01:17:00.000Z,Jordan_U,magicjoe,"Yes, but it's hard to fix from within windows."
2010-11-22T01:17:00.000Z,magicjoe,Jordan_U,"well, i have helix 3. its forensics tools built on ubuntu....will that work?"
2010-11-22T01:17:00.000Z,Jordan_U,magicjoe,Yes.
2010-11-22T01:18:00.000Z,magicjoe,Jordan_U,"ok, so im going to boot up to that, and then you can help me fix my wubi?"
2010-11-22T01:18:00.000Z,Jordan_U,magicjoe,Yes.
2010-11-22T01:19:00.000Z,magicjoe,Jordan_U,thank you for this. booting up now
2010-11-22T01:20:00.000Z,Jordan_U,magicjoe,You're welcome.
2010-11-22T01:20:00.000Z,magicjoe,Jordan_U,can i go smoke a cig real quick while this reboots?
2010-11-22T01:20:00.000Z,magicjoe,Jordan_U,"im talking to you on my laptop, my desktop has the problem"
2010-11-22T01:21:00.000Z,Jordan_U,magicjoe,I'm not going to stop you (and I will still be here when you get back :)
2010-11-22T01:21:00.000Z,magicjoe,Jordan_U,thanks again. brb. helix is loading
2010-11-22T01:24:00.000Z,magicjoe,Jordan_U,"back. thanks again for your patience and time, and help. helix is up and running"
2010-11-22T01:25:00.000Z,Jordan_U,magicjoe,Do you know how to mount partitions and how to loop mount files?
2010-11-22T01:26:00.000Z,magicjoe,Jordan_U,"sort of. i am a noob, but have taken linux classes in college. i catch on quick. i have a terminal open, and have su to root"
2010-11-22T01:27:00.000Z,magicjoe,Jordan_U,my windows partition is mounted
2010-11-22T01:27:00.000Z,Jordan_U,magicjoe,Can you pastebin the output of 'blkid'?
2010-11-22T01:27:00.000Z,magicjoe,Jordan_U,"i cant past it to here because this is my laptop, and the wubi is on my destop, but i can type in what it says...let me run that"
2010-11-22T01:28:00.000Z,Jordan_U,magicjoe,If you've already mounted your windows partition (and you know the mount point) then I don't need that output.
2010-11-22T01:29:00.000Z,magicjoe,Jordan_U,yeah its dev/hda1
2010-11-22T01:31:00.000Z,magicjoe,Jordan_U,are you there?
2010-11-22T01:31:00.000Z,Jordan_U,magicjoe,Yes.
