date,from,to,text
2007-01-09T15:41:00.000Z,LjL,,"Ubotu, tell ikonia about build-essential | ikonia, see the private message from Ubotu"
2007-01-09T15:41:00.000Z,ikonia,LjL,I'm aware of that package
2007-01-09T15:41:00.000Z,LjL,ikonia,then what's the problem? you can compile C fine if you have that installed
2007-01-09T15:42:00.000Z,ikonia,LjL,I don't have a problem building programs
2007-01-09T15:46:00.000Z,ikonia,LjL,certainly
2007-01-09T15:49:00.000Z,LjL,ikonia,"not necessarly, but most existing factoids are one word indeed"
2007-01-09T15:49:00.000Z,ikonia,LjL,"really, I've never seen it respond to a two worder"
2007-01-09T15:50:00.000Z,LjL,ikonia,"it works, you can toy with it in #ubuntu-bots if you like"
2007-01-09T15:50:00.000Z,ikonia,LjL,thats still one word (no space)
2007-01-09T15:51:00.000Z,LjL,ikonia,"err, what i meant is that you can check that it works in the #ubuntu-bots channel =) try '!msg the bot' for instance"
2007-01-09T15:51:00.000Z,ikonia,LjL,ooooh sorry
2007-01-09T15:51:00.000Z,ikonia,LjL,though you where saying thats a key word
2007-01-22T17:35:00.000Z,ikonia,LjL,its stack-smash protection
2007-01-22T17:35:00.000Z,ikonia,LjL,part of the HCL security options
2007-01-22T16:50:00.000Z,ikonia,LjL,that works normally
2007-01-22T16:55:00.000Z,LjL,ikonia,"to be honest, i don't believe 'read some basic docs' is a sensible answer to any questions"
2007-01-23T17:10:00.000Z,LjL,ikonia,"i believe it's still only the beta version that's in backports. it's been in there for quite long. the release version (it's been released now, right?), i don't know"
2007-01-23T17:10:00.000Z,ikonia,LjL,any day now
2007-01-23T14:11:00.000Z,ikonia,LjL,impressive
2007-01-23T14:11:00.000Z,LjL,ikonia,"not too hard, i'm italian"
2007-01-26T15:04:00.000Z,ikonia,LjL,I thought he was trying to install to a usb device
2007-01-26T15:16:00.000Z,LjL,ikonia,"i suppose it would be the installer's fault, given gparted doesn't quite seem to be working either, if i got that right"
2007-01-26T15:16:00.000Z,ikonia,LjL,nah at gparted if he's not marked a partition as swap it won't 'create' swap
2007-01-26T15:16:00.000Z,LjL,ikonia,"and if you look at the screenshot, it does say hda, but cfdisk /dev/hda says it cannot read from it apparently"
2007-01-26T15:16:00.000Z,LjL,ikonia,are you talking about actual gparted or the gparted section in the installer?
2007-01-26T15:17:00.000Z,LjL,ikonia,"the latter does create a swap partition automatically, if you don't tell it 'i'm wise and i'll do it manually'"
2007-01-26T15:17:00.000Z,LjL,ikonia,still anyway there's the cfdisk to explain
2007-01-26T15:18:00.000Z,LjL,ikonia,"i kept saying cfdisk, i meant fdisk"
2007-01-26T15:18:00.000Z,ikonia,LjL,fancy a bet ;)
2007-01-26T15:19:00.000Z,LjL,ikonia,"not really, right now i'm not sure of anything, he's confused me too much =)"
2007-01-26T15:20:00.000Z,LjL,ikonia,i really think it's just that gparted doesn't like drives that have no partition table... i think someone had this before today
2007-01-26T15:20:00.000Z,ikonia,LjL,looks like it can't even see the drives
2007-01-26T15:22:00.000Z,LjL,ikonia,well you win the bet
2007-01-26T15:23:00.000Z,ikonia,LjL,I wish I hadn't
2007-01-26T15:32:00.000Z,LjL,ikonia,"by the way... *some* preemption is enabled, yes, but not quite the whole of it. only, ahem, cooperative preemption is - i'll look up the actual option. what do you make of that?"
2007-01-26T15:33:00.000Z,LjL,ikonia,  # CONFIG_PREEMPT_NONE is not set     CONFIG_PREEMPT_VOLUNTARY=y     # CONFIG_PREEMPT is not set    CONFIG_PREEMPT_BKL=y
2007-01-26T15:33:00.000Z,ikonia,LjL,sorry the screen scrolled so I only got part of your message
2007-01-26T15:33:00.000Z,LjL,ikonia,"by the way... *some* preemption is enabled, yes, but not quite the whole of it. only, ahem, cooperative preemption is - i'll look up the actual option. what do you make of that?"
2007-01-26T15:34:00.000Z,ikonia,LjL,that doesn't make sense CONFIG_PREEMPT_VOLUNTARY=y     # CONFIG_PREEMPT then why is it set to 'y2
2007-01-26T15:35:00.000Z,LjL,ikonia,"well, that's the way it's set... i'm not entirely sure what it means, but from what i read, CONFIG_PREEMPT being set would mean *anything* in the kernel can be preempted at *any* time, while CONFIG_PREEMPT_VOLUNTARY would mean that only code that calls something that says 'yes, from now on i will accept to be preempted' will be. or something."
2007-01-26T15:36:00.000Z,ikonia,LjL,that means normally that the application has to support/request pre-emp
2007-01-26T15:36:00.000Z,LjL,ikonia,"someone said CONFIG_PREEMPT=y created problems with something-i-don't-remember, so i was curious as to the actual differences and advantages/disadvantages"
2007-01-26T15:36:00.000Z,ikonia,LjL,pre-emp  can cause problem
2007-01-26T15:36:00.000Z,LjL,ikonia,oh. so the Ubuntu kernel *never* preempts unless there is an userlevel process asking it to?
2007-01-26T15:36:00.000Z,ikonia,LjL,although its always been VERY positive for me
2007-01-26T15:36:00.000Z,ikonia,LjL,almost spot on
2007-01-26T15:39:00.000Z,LjL,ikonia,"erUSUL: well, i gave two different descriptions, 1) only when a piece of *kernel* code says 'yes i'm OK with being preempted', it gets preempted and 2) when a *userland* process ask 'kernel, please, can you preempt yourself?', it gets preempted.    i believed the correct one was 1"
2007-01-26T15:42:00.000Z,ikonia,LjL,yes games would be a good example actually
2007-01-26T15:43:00.000Z,LjL,ikonia,could or is?
2007-01-26T15:43:00.000Z,ikonia,LjL,not to many games out ofr linux
2007-01-26T15:43:00.000Z,LjL,ikonia,"uh... well, that's a point ;)"
2007-01-26T15:43:00.000Z,ikonia,LjL,so if games /where/ written it would be a good application
2007-01-26T15:44:00.000Z,LjL,ikonia,well come on there is a few... :)
2007-01-26T15:44:00.000Z,ikonia,LjL,"yes, but as a rule of thumb....I was suggesting"
2007-01-26T15:48:00.000Z,ikonia,LjL,via irda - strange
2007-01-26T15:48:00.000Z,ikonia,LjL,"normally means no network route, but irda isn't ip standards normally"
2007-01-26T15:48:00.000Z,LjL,ikonia,"no, but it does present itself as a network interface - as in ifconfig irda0"
2007-01-26T15:48:00.000Z,ikonia,LjL,ahhhh
2007-01-26T15:49:00.000Z,LjL,ikonia,"though, the ifconfig looks alright to me. and no it doesn't use IP"
2007-01-26T15:49:00.000Z,ikonia,LjL,is it possible traffic is going out of the wrong interface
2007-01-26T15:50:00.000Z,LjL,ikonia,"have thought of that... what do you propose to try if that were the case? i don't think i can do a 'route add'... or, well, if i do i have no idea what to put in it"
2007-01-26T15:50:00.000Z,LjL,ikonia,i'll pastebin an ifconfig
2007-01-26T15:50:00.000Z,ikonia,LjL,and netstat -rn please
2007-01-26T15:53:00.000Z,LjL,ikonia,http://paste.ubuntu-nl.org/3013/
2007-01-26T15:53:00.000Z,ikonia,LjL,looking
2007-01-26T15:54:00.000Z,ikonia,LjL,looks good in that there is no routing information for irda0
