date,from,to,text
2004-11-04T16:49:00.000Z,ogra,Matt|,sudo apt-get install prelink in a terminal probably ?
2004-11-04T16:50:00.000Z,Matt|,ogra,that doesn't work: it can't find the package
2004-11-04T16:54:00.000Z,ogra,Matt|,http://wiki.ubuntulinux.org/SynapticHowto
2004-11-04T16:58:00.000Z,ogra,Matt|,it's described there too :)
2004-11-05T17:45:00.000Z,ogra,Matt|,http://wiki.ubuntulinux.org/RestrictedFormats
2004-11-05T17:58:00.000Z,Matt|,ogra,you could put that link in the topic
2004-11-07T16:27:00.000Z,Matt|,ogra,i wanna know how many times you have posted that link in the last week :) it must be the most requested info lol
2004-11-07T16:28:00.000Z,ogra,Matt|,lol
2004-11-07T16:28:00.000Z,ogra,Matt|,i actually got a vi window open with the handfull of links by default....
2004-11-07T16:29:00.000Z,Matt|,ogra,can you recommend your favourite cd ripper to me?
2004-11-07T16:32:00.000Z,Matt|,ogra,can you recommend your favourite cd ripper to me?
2004-11-07T16:33:00.000Z,ogra,Matt|,i dont rip cds ;) but i'd take sound juicer if youre not addicted to mp3
2004-11-07T16:33:00.000Z,Matt|,ogra,fraid i need mp3 :(
2004-11-07T16:34:00.000Z,ogra,Matt|,"there is a way to rip mp3 with SJ, i just dunno how"
2004-11-07T16:34:00.000Z,Matt|,ogra,gives me the message that the codec is not installed
2004-11-07T16:40:00.000Z,ogra,Matt|,mybe because ubuntu isnt utf8
2004-11-07T16:40:00.000Z,Matt|,ogra,ok cool. So what should I put?
2004-11-07T16:41:00.000Z,ogra,Matt|,dpkg-reconfigure locale
2004-11-07T16:41:00.000Z,Matt|,ogra,what does that do?
2004-11-07T16:41:00.000Z,ogra,Matt|,"or locales , i'm not sure"
2004-11-07T16:43:00.000Z,ogra,Matt|,i'd take de_DE@UTF-8 *g*
2004-11-07T16:44:00.000Z,ogra,Matt|,but that wont help if youre not german
2004-11-07T16:44:00.000Z,Matt|,ogra,en_GB.UTF-8 UTF-8 then i guess ;)
2004-11-07T16:44:00.000Z,Matt|,ogra,do you recommend i set that as default?
2004-11-07T16:45:00.000Z,ogra,Matt|,"you can, but there are still smoe minor bugs..... bash i think"
