date,from,to,text
2007-07-26T16:16:00.000Z,Quinton_,howlingmadhowie,howlingmadhowie: if thats what sony says
2007-07-26T16:09:00.000Z,howlingmadhowie,Quinton_,"what tells you to enter a command? does some sort of graphical interface start, or does it look like an old dos window?"
2007-07-26T16:10:00.000Z,howlingmadhowie,Quinton_,please don't use <enter> for punctuation :)
2007-07-26T16:12:00.000Z,howlingmadhowie,Quinton_,"then you are now on the command line. what sort of graphics card do you have, and what command did it suggest exactly?"
2007-07-26T16:12:00.000Z,Quinton_,howlingmadhowie,fixable?
2007-07-26T16:13:00.000Z,howlingmadhowie,Quinton_,don't know yet. probably. if you saw a windowing environment when you installed (i.e. you installed from a standard live cd) then it most definately is fixable
2007-07-26T16:13:00.000Z,Quinton_,howlingmadhowie,installed from text mode
2007-07-26T16:14:00.000Z,howlingmadhowie,Quinton_,so what's your graphics card? 'lspci | grep VGA'
2007-07-26T16:14:00.000Z,Quinton_,howlingmadhowie,nvidia
2007-07-26T16:14:00.000Z,howlingmadhowie,Quinton_,which model?
2007-07-26T16:15:00.000Z,Quinton_,howlingmadhowie,no clue.... sony vaio vgn-ar520e
2007-07-26T16:15:00.000Z,Quinton_,howlingmadhowie,is the computer model number
2007-07-26T16:16:00.000Z,howlingmadhowie,Quinton_,GeForce 8400M GT
2007-07-26T16:16:00.000Z,Quinton_,howlingmadhowie,but thats supported isnt it?
2007-07-26T16:17:00.000Z,howlingmadhowie,Quinton_,"i'd suggest changing the video driver back to something very simple. like 'vesa'. can you manage that yourself, or should i tell you how to do that?"
2007-07-26T16:18:00.000Z,Quinton_,howlingmadhowie,please tell
2007-07-26T16:18:00.000Z,howlingmadhowie,Quinton_,"okay. from where you are now, type the following: cp /etc/X11/xorg.conf /etc/X11/xorg.conf.old"
2007-07-26T16:20:00.000Z,Quinton_,howlingmadhowie,/etc/X11/xorg.conf permission denied
2007-07-26T16:20:00.000Z,howlingmadhowie,Quinton_,"oh, sorry. my bad: 'sudo cp /etc/X11/xorg.conf /etc/X11/xorg.conf.old' then enter your password when it asks for it"
2007-07-26T16:21:00.000Z,Quinton_,howlingmadhowie,do i type all of that in one enter?
2007-07-26T16:21:00.000Z,howlingmadhowie,Quinton_,"yep. hangon, i'll paste something on pastebin"
2007-07-26T16:23:00.000Z,Quinton_,howlingmadhowie,it says the commands not found
2007-07-26T16:23:00.000Z,Quinton_,howlingmadhowie,guide me through how to enter all this.... lol
2007-07-26T16:26:00.000Z,howlingmadhowie,Quinton_,http://paste.ubuntu-nl.org/31377/
2007-07-26T16:26:00.000Z,Quinton_,howlingmadhowie,i will try
2007-07-26T16:27:00.000Z,howlingmadhowie,Quinton_,let me know how far you get
2007-07-26T16:27:00.000Z,Quinton_,howlingmadhowie,stuck
2007-07-26T16:27:00.000Z,Quinton_,howlingmadhowie,i enter >sudo -i and it says command not found
2007-07-26T16:30:00.000Z,howlingmadhowie,Quinton_,enter 'which sudo'. does it say something or does the prompt come straight back?
2007-07-26T16:31:00.000Z,Quinton_,howlingmadhowie,now it says root@ubuntu:~# so what do i type now?
2007-07-26T16:31:00.000Z,Quinton_,howlingmadhowie,they didnt work... i dont know what im doing wrong.... what exactly do i type after that?
2007-07-26T16:32:00.000Z,howlingmadhowie,Quinton_,"after you have root access (which you now have), type 'cd /etc/X11'"
2007-07-26T16:34:00.000Z,Quinton_,howlingmadhowie,cp /etc/X11  CP: missing destination file operand after '/etc/X11
2007-07-26T16:34:00.000Z,howlingmadhowie,Quinton_,"'cd /etc/X11', not 'cp /etc/X11...' this time. i'm just moving you to the directory so the filenames are shorter"
2007-07-26T16:35:00.000Z,howlingmadhowie,Quinton_,"cd = change directory, cp = copy"
2007-07-26T16:35:00.000Z,Quinton_,howlingmadhowie,ok now what?
2007-07-26T16:36:00.000Z,howlingmadhowie,Quinton_,"type 'ls'. do you see an xorg.conf? do you see any other files starting with xorg.conf (for example xorg.conf.backup)? if so, what are they called?"
