date,from,to,text
2011-02-25T20:16:00.000Z,Roasted_,,"If I were to roll out Ubuntu in a network environment with a Windows server, is there a way to make Ubuntu 'read' LDAP so users can log in with domain accounts?"
2011-02-25T20:16:00.000Z,ikonia,Roasted_,"sure, but it is a read only connection, not read/write for password updates"
2011-02-25T20:17:00.000Z,ikonia,Roasted_,you need an ldap proxy or a service such as redhats directory service to do updates
2011-02-25T20:17:00.000Z,Roasted_,ikonia,I'm not sure I understand what you just said there...
2011-02-25T20:17:00.000Z,Roasted_,ikonia,what updates?
2011-02-25T20:17:00.000Z,ikonia,Roasted_,to users passwords for example
2011-02-25T20:17:00.000Z,Roasted_,ikonia,I'm not following what you're referring to in regard to user password updates. What gets updated? What needs updated?
2011-02-25T20:18:00.000Z,ikonia,Roasted_,"when a user changes their password it is updated in the ldap schema, if you are using AD only windows machines can update it, the Linux ones can auth against it, but not update it"
2011-02-25T20:18:00.000Z,Roasted_,ikonia,are you talking in reference to when passwords expire?
2011-02-25T20:19:00.000Z,ikonia,Roasted_,"no, just any reason for a user to change their password, eg: they just want to"
2011-02-25T20:19:00.000Z,Roasted_,ikonia,"oh, we're in a school district here. We don't allow users to just change passwords, however we force automatic password changes every 90 days."
2011-02-25T20:19:00.000Z,Roasted_,ikonia,excluding students.
2011-02-25T20:19:00.000Z,Roasted_,ikonia,all teachers/staff get the auto change.
2011-02-25T20:19:00.000Z,ikonia,Roasted_,"ok, so they would have to change that from a windows machine, or you'd have to have a linux ldap-> windows AD proxy"
2011-02-25T20:20:00.000Z,Roasted_,ikonia,so it COULD work - they just wouldnt auto-change the passwords when prompted through ubuntu.
2011-02-25T20:20:00.000Z,Roasted_,ikonia,"however, we're talking ubuntu for students, so they would never see password changes on the ubuntu systems."
2011-02-25T20:20:00.000Z,ikonia,Roasted_,sounds fine
2011-02-25T20:21:00.000Z,Roasted_,ikonia,"my main concern is in windows, we auto-redirect their my documents to be the \\server\student\john_smith. I'm wondering if there's a way to re-direct their home folder, or at least a folder on the desktop to do the same thing."
2011-02-25T20:23:00.000Z,Roasted_,ikonia,do you by chance know if thats a possibility?
2011-02-25T20:23:00.000Z,ikonia,Roasted_,"yes, that should be do-able, the AD-ldap schema is quite configurable"
2011-03-07T21:27:00.000Z,ikonia,Roasted_,you set the PS1 variable to what ever you want the prompt to be
2011-03-07T21:22:00.000Z,ikonia,Roasted_,need what changed
2011-03-07T21:22:00.000Z,Roasted_,ikonia,"I ran a gvfs-mount command in terminal, and now it changed my prompt to a simple $"
2011-03-07T21:23:00.000Z,ikonia,Roasted_,"ok, why is the prompt being $ a problem"
2011-03-07T21:24:00.000Z,Roasted_,ikonia,"because this may be a production machine, and I do not want $ as the prompt."
2011-03-07T21:24:00.000Z,ikonia,Roasted_,"the prompt being $ is not an issue, it doesn't change anything"
2011-03-07T21:24:00.000Z,Roasted_,ikonia,I would like my prompt changed to default. Do you know how? If not I will ask somebody else.
2011-03-07T21:24:00.000Z,ikonia,Roasted_,use the PS1 varible to change the prompt to whatever you want
2011-03-07T21:25:00.000Z,ikonia,Roasted_,"however, again it makes no difference to the machines use"
2011-03-07T21:25:00.000Z,Roasted_,ikonia,PS1?
2011-03-07T21:26:00.000Z,ikonia,Roasted_,"yes, the PS1 environment variable"
2011-03-07T21:26:00.000Z,Roasted_,ikonia,"I apologize, I have no idea what that means."
2011-03-07T21:26:00.000Z,ikonia,Roasted_,"it's just an environment variable, like PATH for example"
