date,from,to,text
2005-03-24T08:29:00.000Z,crimsun,,why is roey here? ;-)
2005-03-24T08:30:00.000Z,Roey,crimsun, I wanted to find evdev support for X
2005-03-24T08:30:00.000Z,Roey,crimsun, :)
2005-03-24T08:30:00.000Z,crimsun,Roey,"yeah, it's nice. :-)"
2005-03-24T08:31:00.000Z,Roey,crimsun, I'm wondering whether to install alioth's debian-amd64 repo or ubuntu
2005-03-24T08:31:00.000Z,Roey,crimsun," see, I'm done with this xfree86.  I don't want it."
2005-04-01T10:06:00.000Z,crimsun,Roey,"hey now, I'm checking lastlog"
2005-04-01T10:06:00.000Z,Roey,crimsun, :)
2005-04-01T10:06:00.000Z,crimsun,Roey,pfft. You're supposed to pass --initrd
2005-04-01T10:07:00.000Z,Roey,crimsun,"to what, the kernel building process? :)"
2005-04-01T10:07:00.000Z,crimsun,Roey,to fakeroot make-kpkg
2005-04-01T10:07:00.000Z,Roey,crimsun,that's a command?!
2005-04-01T10:07:00.000Z,crimsun,Roey,see make-kpkg(1) !
2005-04-01T10:08:00.000Z,Roey,crimsun,thanks!!!!
2005-04-01T10:11:00.000Z,Roey,crimsun,I read the make-kpkg docs but I don't understand what 'fakeroot' refers to. How do I know which files to put in that fakeroot directory???
2005-04-01T10:11:00.000Z,crimsun,Roey,use fakeroot instead of running it as root or as a user
2005-04-01T10:11:00.000Z,Roey,crimsun,upon boot you mean?
2005-04-01T10:11:00.000Z,Roey,crimsun,and that 'fakeroot' is a flag
2005-04-01T10:11:00.000Z,crimsun,Roey,"nope, when you run make-kpkg"
2005-04-01T10:12:00.000Z,Roey,crimsun,ok.. so it's a flag?
2005-04-01T10:12:00.000Z,crimsun,Roey,it's a command
2005-04-01T10:12:00.000Z,Roey,crimsun,aaah.
2005-04-01T10:12:00.000Z,Roey,crimsun,so I'd do:  make-kpkg fakeroot --initrd vmlinuz-2.6.11.5
2005-04-01T10:12:00.000Z,crimsun,Roey,"no, fakeroot make-kpkg --initrd ...."
2005-04-01T10:12:00.000Z,Roey,crimsun,then what about System.map-2.6.11.5 ?
2005-04-01T10:13:00.000Z,Roey,crimsun,ah.
2005-04-01T10:13:00.000Z,crimsun,Roey,I'm fairly certain you want fakeroot make-kpkg --initrd             make-kpkg --rootcmd fakeroot kernel_image
2005-04-01T10:13:00.000Z,crimsun,Roey,"err, fakeroot make-kpkg --initrd kernel_image"
2005-04-01T10:14:00.000Z,crimsun,Roey,"sorry, paste went wonky there"
2005-04-01T10:14:00.000Z,Roey,crimsun,ok
2005-04-01T10:14:00.000Z,Roey,crimsun,how does make-kpkg know where the System.map file is for the corresponding kernel_image ?
2005-04-01T10:15:00.000Z,crimsun,Roey,they're named matching the respective uname -r
2005-04-01T10:15:00.000Z,Roey,crimsun,aaaah ok.
2005-04-01T10:15:00.000Z,Roey,crimsun,"hmm, I dunno what the uname -r name of this fresh bzImage is.. how can I find out?"
2005-04-01T10:16:00.000Z,crimsun,Roey,look at Makefile's VERSION+PATCHLEVEL+SUBLEVEL+EXTRAVERSION
2005-04-01T10:19:00.000Z,Roey,crimsun,that fakeroot command gave this error:
2005-04-01T10:19:00.000Z,Roey,crimsun,Error: unknown target vmlinuz-2.6.11.5
2005-04-01T10:20:00.000Z,crimsun,Roey,don't pass it that.
2005-04-01T10:20:00.000Z,Roey,crimsun,that's what strings showed me.
2005-04-01T10:20:00.000Z,Roey,crimsun,will look in makefile now.
2005-04-01T10:20:00.000Z,crimsun,Roey,"your uname -r will be '2.6.11.5', yes"
2005-04-01T10:20:00.000Z,crimsun,Roey,but you don't pass that to make-kpkg
2005-04-01T10:21:00.000Z,Roey,crimsun,then how does it know which image to generate the rdinit on???
2005-04-01T10:21:00.000Z,crimsun,Roey,"when you build a kernel, it uses that one"
2005-04-01T10:22:00.000Z,Roey,crimsun,how does it know where this newly built kernel image is?
2005-04-01T10:22:00.000Z,crimsun,Roey,that's what kernel-package does
2005-04-01T10:22:00.000Z,crimsun,Roey,"if you want to run mkinitrd manually, then don't use make-kpkg"
2005-04-01T10:22:00.000Z,crimsun,Roey,i.e. for an already-compiled (manually) vmlinuz
2005-04-01T10:23:00.000Z,Roey,crimsun,"I have no idea how to do this then.  All I want to do is to add a kernel image to grub, and I understand that I need an initrd.img..."
2005-04-01T10:23:00.000Z,Roey,crimsun,"yes, my linux is already compiled."
2005-04-01T10:23:00.000Z,crimsun,Roey,you don't necessarily need an initrd if you compiled the root fs in as 'y'
2005-04-01T10:24:00.000Z,Roey,crimsun,it's whatever ubuntu's 2.6.10-5-amd64-generic  says
2005-04-01T10:24:00.000Z,Roey,crimsun,also I have raid
2005-04-01T10:24:00.000Z,Roey,crimsun,/ and /boot are on raid.
2005-04-01T10:25:00.000Z,Roey,crimsun,grub chokes on startup and thinks that it can't open /dev/md2 because it cannot read an ext2 superblock or something
2005-04-01T10:25:00.000Z,Roey,crimsun,"(but I end up mounting /dev/md2 onto /boot manually, and mount is fine with that)"
2005-04-01T10:27:00.000Z,crimsun,Roey,"hmm, it would have been easiest to apt-get source linux-image-2.6.10-5-amd64-generic, modify the arches built and the config, and proceed"
2005-04-01T10:28:00.000Z,crimsun,Roey,does the default ubuntu image work?
2005-04-01T10:31:00.000Z,Roey,crimsun,didn't try yet.
2005-04-01T10:32:00.000Z,Roey,crimsun,I actually built all the modules as per the default ubuntu kernel's /proc/config.gz states (I used that as a base for my .config).  How the heck am I gonna stuff all those modules into mkinitrd.img ;)
2005-04-01T10:43:00.000Z,Roey,crimsun,"ok, this is not working:"
2005-04-01T10:43:00.000Z,Roey,crimsun,I give this command:
