date,from,to,text
2005-10-25T15:50:00.000Z,gnomefreak,Seveas,im assuming that the us.arcive source is running again?
2005-10-25T15:50:00.000Z,Seveas,gnomefreak,"no, but the dns record is pointing to the swedish server :)"
2005-10-28T16:36:00.000Z,gnomefreak,Seveas,is vim easier than emacs?
2005-10-28T16:36:00.000Z,Seveas,gnomefreak,"no, but it isn't harder either"
2005-10-28T16:36:00.000Z,Seveas,gnomefreak,in 30 minutes you're goof to go with vimtutor
2005-10-31T15:03:00.000Z,gnomefreak,Seveas,is there a way to take my ubuntu system as is and burn it to be installable with all the programs on it now?
2005-10-31T15:03:00.000Z,Seveas,gnomefreak,dpkg --get-selections will help :0
2005-10-31T15:05:00.000Z,gnomefreak,Seveas,omfg what was that? ok wait i know what that was is there a way to burn it all together tho?
2005-10-31T15:05:00.000Z,Seveas,gnomefreak,not that i know od
2005-11-02T14:51:00.000Z,gnomefreak,Seveas,do you happen to have the wiki on the nvdia drivers?
2005-11-22T17:04:00.000Z,gnomefreak,Seveas,is booting himself?:(
2005-11-22T17:18:00.000Z,gnomefreak,Seveas,i had updates today
2005-11-22T17:20:00.000Z,Seveas,gnomefreak,why such a weird site for official backports?
2005-11-22T17:26:00.000Z,Seveas,gnomefreak,python looks NOTHING like java...
2005-11-29T16:48:00.000Z,gnomefreak,Seveas, mirc isnt free you can get x-chat free on windows
2005-11-29T16:48:00.000Z,Seveas,gnomefreak,nope
2005-11-29T16:50:00.000Z,gnomefreak,Seveas, hold on im getting you the x-chat download site
2005-11-30T08:44:00.000Z,Seveas,gnomefreak,ls -l /proc/self/fd/0
2005-11-30T08:46:00.000Z,gnomefreak,Seveas,is there a site for backgrounds for gnome terminal?
2005-11-30T13:02:00.000Z,gnomefreak,Seveas,is there a way to configure biff?
2005-12-05T13:14:00.000Z,Seveas,gnomefreak,no tutorial could be large enough for that...
2005-12-05T14:29:00.000Z,Seveas,gnomefreak,that one does not exist in breezy
2005-12-05T15:59:00.000Z,gnomefreak,Seveas,i told him to drop the mirrormax ones
2005-12-05T16:01:00.000Z,gnomefreak,Seveas,by the way the gconf command doesnt work here with or without sudo
2005-12-14T16:18:00.000Z,Seveas,gnomefreak,"a) It's windows, not winblows b) 'partition issues' is very descriptive..."
2005-12-14T16:28:00.000Z,Seveas,gnomefreak,apply /dev/screwdriver /dev/case && watch
2005-12-14T13:13:00.000Z,Seveas,gnomefreak,ext3 == ext2+journal
2005-12-16T17:04:00.000Z,gnomefreak,Seveas,we give up on ubotu all together?
2005-12-16T17:05:00.000Z,Seveas,gnomefreak,"no, I just don't know where he is on when he comes back"
2005-12-16T17:32:00.000Z,Seveas,gnomefreak,I manually imported ubotus databse into this one :)
2005-12-16T17:32:00.000Z,gnomefreak,Seveas, alright ty
2005-12-16T06:03:00.000Z,Seveas,gnomefreak,it resets the $HOME variable
2005-12-16T06:03:00.000Z,gnomefreak,Seveas, ok ty
2005-12-16T06:03:00.000Z,Seveas,gnomefreak,sudo -i is the shortcut for sudo -sH
2005-12-16T06:46:00.000Z,Seveas,gnomefreak,gperiodic - periodic table application
2005-12-16T07:16:00.000Z,gnomefreak,Seveas,do you have one of those in english by chance?
2005-12-16T07:16:00.000Z,Seveas,gnomefreak,"it's just one python thing, the 3-line palindrome checker. Shows a few of the nicenesses of python"
2005-12-28T08:02:00.000Z,gnomefreak,Seveas, is there a ubuntu-dev channel?
2005-12-28T08:02:00.000Z,Seveas,gnomefreak,what do you need it for?
2005-12-28T08:03:00.000Z,Seveas,gnomefreak,newer versions and possibly more drivers
2005-12-30T15:25:00.000Z,gnomefreak,Seveas,is your server down or is it just me :(
2006-01-02T06:57:00.000Z,Seveas,gnomefreak,system -> admin -> language-selector
2006-01-02T08:00:00.000Z,gnomefreak,Seveas, its at bottom http://paste.ubuntu-nl.org/6261
2006-01-02T08:01:00.000Z,Seveas,gnomefreak,dapper?
2006-01-02T16:36:00.000Z,Seveas,gnomefreak,never assume too much :)
2006-01-04T07:01:00.000Z,Seveas,gnomefreak,everything :)
2006-01-04T07:08:00.000Z,Seveas,gnomefreak,"they're both not too easy to grasp, but I find the vim commands more intuitive"
2006-01-04T07:09:00.000Z,gnomefreak,Seveas,ty i will look for a guide on vim :)
2006-01-04T07:09:00.000Z,Seveas,gnomefreak,vimtutor :)
2006-01-04T11:06:00.000Z,Seveas,gnomefreak,I guess he understands that now
2006-01-05T10:42:00.000Z,Seveas,gnomefreak,"with some people, indeed"
2006-01-05T14:16:00.000Z,Seveas,gnomefreak,you can use upgrade or install
2006-01-06T12:57:00.000Z,gnomefreak,Seveas,3 days with the same person same issue
2006-01-06T13:05:00.000Z,Seveas,gnomefreak,#flood
2006-01-07T16:14:00.000Z,Seveas,gnomefreak,"I gave up on asking, in 99% of the cases it does not help. Don't take it too personal :)"
2006-01-07T16:15:00.000Z,gnomefreak,Seveas,im sorry didnt know it bothered people
2006-01-08T16:17:00.000Z,Seveas,gnomefreak,couldn't have done it without the people that reported good repos :)
2006-01-08T16:26:00.000Z,Seveas,gnomefreak,bon apetit
2006-01-12T12:51:00.000Z,gnomefreak,Seveas,hes saying your repos dont work they were working fine for me :(
2006-01-12T16:24:00.000Z,Seveas,gnomefreak,not yet
2006-01-13T13:35:00.000Z,Seveas,gnomefreak,w32codecs? yes
2006-01-16T07:26:00.000Z,gnomefreak,Seveas,i told him to try it cause he was looking for an op
2006-01-16T07:26:00.000Z,Seveas,gnomefreak,bad idea
2006-01-16T11:25:00.000Z,Seveas,gnomefreak,no
2006-01-18T16:46:00.000Z,Seveas,gnomefreak,whipped or sour?
2006-01-20T07:05:00.000Z,gnomefreak,Seveas,is there a xgospel type app in deb form?
2006-01-20T07:58:00.000Z,Seveas,gnomefreak,"_jason, sudo -i resets $HOME and $USER, sudo -s does not - this is the cause of all those lockouts when running eg. k3b as root"
2006-01-20T10:43:00.000Z,Seveas,gnomefreak,came from hell :p
2006-01-20T12:11:00.000Z,Seveas,gnomefreak,.zip can be read on sevreal operating systems
2006-01-23T09:59:00.000Z,Seveas,gnomefreak,"I know, the sigh was aimed at him :)"
2006-01-26T13:48:00.000Z,Seveas,gnomefreak,glxinfo
2006-02-20T17:19:00.000Z,gnomefreak,Seveas,its not in any of the official or unofficial repos
2006-02-20T17:20:00.000Z,Seveas,gnomefreak,which is exactly what that line of mine is saying :)
2006-02-24T12:38:00.000Z,gnomefreak,Seveas,you still have the packaged .deb for skype dont you?
2006-02-24T12:38:00.000Z,Seveas,gnomefreak,of course
2006-02-24T12:38:00.000Z,Seveas,gnomefreak,"that's the problem with users, they never listen "
2006-02-26T17:06:00.000Z,gnomefreak,Seveas,is there a date set to get  xubuntu-desktop back yet?
2006-02-28T15:57:00.000Z,gnomefreak,Seveas,did they finish the xubuntu upgrade yet?
2006-02-28T15:57:00.000Z,Seveas,gnomefreak,?
2006-02-28T15:58:00.000Z,gnomefreak,Seveas,i was told that the reason they pulled xubuntu out of dapper was upgrading to newest version and mine still isnt right (unless its that different)
2006-02-28T15:58:00.000Z,Seveas,gnomefreak,"xubuntu-desktop should be installable right now, otherwise poke janimo in #xubuntu"
2006-02-28T16:34:00.000Z,Seveas,gnomefreak,you need to purge all apps
2006-02-28T16:34:00.000Z,Seveas,gnomefreak,little tip: dpkg -l | grep '^rc'
2006-02-28T16:34:00.000Z,gnomefreak,Seveas,ty
2006-02-28T16:35:00.000Z,Seveas,gnomefreak,if that output only package you have removed and want purged: dpkg -l | grep '^rc' | xargs sudo dpkg -P
2006-03-01T17:25:00.000Z,Seveas,gnomefreak,nonsense 
2006-03-01T17:25:00.000Z,gnomefreak,Seveas,sudo apt-get upgrade will hold back kernel
2006-03-02T07:27:00.000Z,Seveas,gnomefreak,.net
2006-03-02T07:28:00.000Z,Seveas,gnomefreak,"yes, but not right now"
2006-03-02T15:54:00.000Z,gnomefreak,Seveas,you busy?
2006-03-02T16:10:00.000Z,Seveas,gnomefreak,too slow :p
2006-03-02T16:12:00.000Z,Seveas,gnomefreak,"ok, compared to automatix autopackage is holy "
2006-03-03T06:17:00.000Z,Seveas,gnomefreak,many servers ban people who run open proxies
2006-03-03T06:17:00.000Z,gnomefreak,Seveas,thats what i thought too but Munich says gopi isnt running a proxy
2006-03-03T07:49:00.000Z,gnomefreak,Seveas,have you seen anything about downloads on dapper?
2006-03-03T07:50:00.000Z,gnomefreak,Seveas,i download gaim to desktop and it puts it in / and the archive manager opens
2006-03-03T07:59:00.000Z,Seveas,gnomefreak,yeah
2006-03-03T14:54:00.000Z,gnomefreak,Seveas,do you know the name of the debian menu package for ubuntu off hand?
2006-03-03T14:54:00.000Z,Seveas,gnomefreak,it should be
2006-03-03T14:54:00.000Z,Seveas,gnomefreak,poke at alacarte/smeg
2006-03-03T14:55:00.000Z,gnomefreak,Seveas,been there too alacarte wont add it
2006-03-05T16:10:00.000Z,gnomefreak,Seveas,thank god your here  (can i safely remove hal and reinstall it?
2006-03-05T16:12:00.000Z,Seveas,gnomefreak,"hmm, that's quite tricky..."
2006-03-05T16:13:00.000Z,gnomefreak,Seveas,i figured as much
2006-03-05T16:13:00.000Z,Seveas,gnomefreak,It *may* work but you should absolutely install it immediately afterwards and don't mess with hardware (and don't even think about rebooting
2006-03-05T16:14:00.000Z,gnomefreak,Seveas,ok ill try it and pray it works if not ill be re-installing i guess lol
2006-03-05T16:14:00.000Z,gnomefreak,Seveas,sudo apt-get remove --reinstall hal    will that work?
2006-03-05T16:17:00.000Z,Seveas,gnomefreak,hal has very little to do with the gnome panel...
2006-03-06T17:55:00.000Z,Seveas,gnomefreak,/msg nickserv set unfiltered on
2006-03-06T17:55:00.000Z,gnomefreak,Seveas,yeah see i know better than that now i learned my lesson
2006-03-06T17:57:00.000Z,gnomefreak,Seveas,to set it back just use unfiltered off?
2006-03-06T06:47:00.000Z,gnomefreak,Seveas,i like that faq but is that to get rid of some of the normal commands?
2006-03-06T06:47:00.000Z,Seveas,gnomefreak,not at all
2006-03-06T06:48:00.000Z,Seveas,gnomefreak,thanks 
2006-03-06T09:55:00.000Z,gnomefreak,Seveas,its the su thing that scrrews up sudo
2006-03-09T07:48:00.000Z,Seveas,gnomefreak,'startkeylog[g] er' or 'DCC S[E] ND' exploits
2006-03-09T08:12:00.000Z,gnomefreak,Seveas,you bored?
2006-03-09T08:15:00.000Z,Seveas,gnomefreak,?
2006-03-09T08:16:00.000Z,Seveas,gnomefreak,thanks for paying so much attention all the time
2006-03-10T17:57:00.000Z,gnomefreak,Seveas,is your server down or is it just me? its timing out
2006-03-10T17:57:00.000Z,Seveas,gnomefreak,which?
2006-03-10T17:58:00.000Z,gnomefreak,Seveas,users.lichtsnel.nl breezy-seveas
2006-03-10T17:58:00.000Z,Seveas,gnomefreak,that mirror seems down indeed - pick another
2006-03-11T07:25:00.000Z,gnomefreak,Seveas,does breezy do that too?
2006-03-11T07:27:00.000Z,Seveas,gnomefreak,"yeah, only about 150 more to go before the channel is fully back"
2006-03-15T16:33:00.000Z,gnomefreak,Seveas,dns = dynamic name server?
2006-03-16T07:56:00.000Z,gnomefreak,Seveas,libdvdcss is a package in ubuntu isnt it?
2006-03-16T07:56:00.000Z,Seveas,gnomefreak,no
2006-03-16T13:51:00.000Z,Seveas,gnomefreak,2.6.8 2.6.10 2.6.12 2.6.15 (warty hoary breezy dapper)
2006-03-17T06:22:00.000Z,Seveas,gnomefreak,dapper has mysql 5
2006-03-17T06:23:00.000Z,gnomefreak,Seveas,this person is on breezy
2006-03-22T17:51:00.000Z,gnomefreak,Seveas,= good bouncer ;)
2006-03-22T17:52:00.000Z,Seveas,gnomefreak,that's not the point
2006-03-22T14:31:00.000Z,Seveas,gnomefreak,"no, just a few of the older bans"
2006-03-29T16:15:00.000Z,gnomefreak,Seveas,themesforums?
2006-03-29T16:16:00.000Z,gnomefreak,Seveas,ubotu doesnt have the wiki for dualhead does he?
2006-04-03T11:11:00.000Z,Seveas,gnomefreak,I heard skype fixed their .deb
2006-04-03T11:14:00.000Z,gnomefreak,Seveas,is playboy repo still down?
2006-04-03T11:14:00.000Z,Seveas,gnomefreak,not down at all
2006-04-03T11:15:00.000Z,Seveas,gnomefreak,errors->pastebin
2006-04-03T11:15:00.000Z,gnomefreak,Seveas,i will when i get them again
2006-04-06T16:51:00.000Z,gnomefreak,Seveas,are you on breezy or dapper atm?
2006-04-06T16:52:00.000Z,Seveas,gnomefreak,dapper
2006-04-07T07:22:00.000Z,gnomefreak,Seveas,you have a few more rooms to go
2006-04-15T09:29:00.000Z,Seveas,gnomefreak,scp for windows 
2006-04-21T13:45:00.000Z,Seveas,gnomefreak,?
2006-04-21T13:59:00.000Z,gnomefreak,Seveas,you ever done the instructions for lexmark printer z600?
2006-04-21T13:59:00.000Z,Seveas,gnomefreak,no
2006-04-22T07:48:00.000Z,Seveas,gnomefreak,?
2006-04-25T05:26:00.000Z,gnomefreak,Seveas,what word did you say to get kicked? was it p.o.r.n?
2006-04-25T05:26:00.000Z,Seveas,gnomefreak,"no, I said 'ubugtu is a freak' ;)"
2006-04-27T15:31:00.000Z,Seveas,gnomefreak,"no need for !ops, he already left"
2006-04-27T15:31:00.000Z,gnomefreak,Seveas,i was gonna say ban him
2006-04-28T05:28:00.000Z,gnomefreak,Seveas,is there a way to translate on pastebin?
2006-05-01T15:35:00.000Z,Seveas,gnomefreak,"no, _jason is a good guy "
2006-05-12T07:34:00.000Z,Seveas,gnomefreak,?
2006-05-12T07:34:00.000Z,gnomefreak,Seveas,you know about that one
2006-05-15T16:07:00.000Z,gnomefreak,Seveas,/me scared to tell people to add your repos (i thought daryl was on dapper) i never know anymore
2006-05-15T16:07:00.000Z,Seveas,gnomefreak,breezy-seveas/java works on dapper as well
2006-05-23T15:33:00.000Z,gnomefreak,Seveas,you have time for a fast pm?
2006-05-23T15:33:00.000Z,Seveas,gnomefreak,always
2006-05-23T15:34:00.000Z,gnomefreak,Seveas,ty
2006-05-26T05:58:00.000Z,Seveas,gnomefreak,just ignore crap PMs ;)
2006-05-27T12:13:00.000Z,gnomefreak,Seveas,ive been working on them
2006-05-29T07:11:00.000Z,gnomefreak,Seveas,thank you for adding that topic to the agenda
2006-05-31T15:19:00.000Z,gnomefreak,Seveas,theres a problem with line #166 data is nto defined
2006-05-31T15:19:00.000Z,Seveas,gnomefreak,line 166 of what?
2006-05-31T15:19:00.000Z,gnomefreak,Seveas,the pastebin code
2006-05-31T15:20:00.000Z,gnomefreak,Seveas,i used wget and got it but running echo command it gave me that error
2006-05-31T15:21:00.000Z,Seveas,gnomefreak,fixed
2006-06-01T16:18:00.000Z,gnomefreak,Seveas,they are getting that from fridge
2006-06-01T16:43:00.000Z,gnomefreak,Seveas,in #ubuntu+1?
2006-06-01T16:43:00.000Z,Seveas,gnomefreak,just did it there 
2006-06-01T16:53:00.000Z,gnomefreak,Seveas,?
2006-06-01T16:54:00.000Z,gnomefreak,Seveas,cant go by that ubuntu has alot of users with 2-3 names in channels at all times :(
2006-06-01T16:56:00.000Z,Seveas,gnomefreak,debian too 
2006-06-01T05:00:00.000Z,Seveas,gnomefreak,/cycle
2006-06-01T05:00:00.000Z,Seveas,gnomefreak,how'bout that? 
2006-06-01T05:05:00.000Z,gnomefreak,Seveas,you care to explain this?
2006-06-01T05:40:00.000Z,gnomefreak,Seveas,its really just a few that the server caught by the looks of it
2006-06-01T06:29:00.000Z,gnomefreak,Seveas,they are like a bunch of wolves after a cat
