date,from,to,text
2005-05-25T16:14:00.000Z,nalioth,,howdy y'all
2005-05-25T16:15:00.000Z,nalioth,,howdy synd
2005-05-25T16:16:00.000Z,nalioth,,"i do speak german, some french, spanish and english (i drive a taxicab)"
2005-05-25T16:17:00.000Z,nalioth,,"Houston, Tx. driving a cab 3 years now"
2005-05-25T16:18:00.000Z,Seveas,nalioth,seedorf?
2005-05-25T16:18:00.000Z,nalioth,Seveas,what?
2005-05-25T16:19:00.000Z,Seveas,nalioth,"that's a base in germany, was wondering if you were stationed there :)"
2005-05-25T16:19:00.000Z,nalioth,Seveas,was stationed near Nurenburg
2005-05-31T07:33:00.000Z,Seveas,nalioth,so is xchat :)
2005-05-31T07:34:00.000Z,nalioth,Seveas,just showing that there are numerous options out there
2005-06-01T09:37:00.000Z,Seveas,nalioth,not quite
2005-06-01T09:38:00.000Z,nalioth,Seveas,"you mean since i installed kubuntu-desktop, i'm not running ubuntu any more?"
2005-06-01T09:38:00.000Z,Seveas,nalioth,"ubuntu is the complete system, includeing gnome and gnome-centered tools"
2005-06-01T09:39:00.000Z,nalioth,Seveas,"yes, and when you install kubuntu-desktop, its the same as if you went out and got KDEbase and other support debs.."
2005-06-01T09:39:00.000Z,nalioth,Seveas,"it is still ubuntu, just with KDE"
2005-06-01T09:40:00.000Z,nalioth,Seveas,"yes, i have multiple WMs"
2005-06-01T09:40:00.000Z,Seveas,nalioth,i know
2005-06-01T09:41:00.000Z,nalioth,Seveas,what is the diff? i was understanding that kubuntu was basically KDE on top of ubuntu
2005-06-01T09:42:00.000Z,Seveas,nalioth,"well, it isn't: as i said, if you install from a kubuntu cd you get lots of things a standard ubuntu install does not have. And you don't get lots of things a standard ubuntu install has. So it's not KDE on top of ubuntu, but a KDE-centered version of ubuntu"
2005-06-01T09:44:00.000Z,nalioth,Seveas,i was not aware there was a 'kubuntu install cd'
2005-06-01T09:45:00.000Z,Seveas,nalioth,"there is, see www.kubuntu.org"
2005-06-01T09:45:00.000Z,nalioth,Seveas,which is why i am of the thought that kubuntu is 'on top' of ubuntu (as it is on most everyone who installs from an ubuntu install cd)
2005-06-14T15:47:00.000Z,Seveas,nalioth,we have established that his english is just as bad :)
2005-06-14T15:48:00.000Z,nalioth,Seveas,ah
2005-06-16T08:21:00.000Z,nalioth,Seveas,it all depends on what you want the end result to be
2005-06-16T08:22:00.000Z,Seveas,nalioth,of course
2005-06-16T08:33:00.000Z,Seveas,nalioth,smartmontools
2005-06-18T13:04:00.000Z,nalioth,Seveas,"not only to stay away from the RPM hell, either"
2005-06-18T13:06:00.000Z,Seveas,nalioth,very valuable lessons in how not to design a packaging system
2005-06-18T13:06:00.000Z,nalioth,Seveas,mandrake and redhat taught me a lot about linux
2005-06-18T13:07:00.000Z,nalioth,Seveas,a lot of 'use debian instead' lessons
2005-06-19T09:00:00.000Z,Seveas,nalioth,mkfs
2005-06-19T10:43:00.000Z,nalioth,Seveas,"talks more than i do, lol"
2005-06-19T12:55:00.000Z,nalioth,Seveas,"doesnt the ubuntu live or knoppix CDs have the fdisk capability, also?"
2005-06-20T14:23:00.000Z,nalioth,Seveas,"VESA should enable scott_'s system to display 1280x1024, correct?"
2005-06-20T14:23:00.000Z,Seveas,nalioth,ENOCLUE
2005-06-25T09:35:00.000Z,nalioth,Seveas,there are exceptions to all rules
2005-06-25T13:29:00.000Z,Seveas,nalioth,completely back to windows mbr..?
2005-06-25T13:30:00.000Z,nalioth,Seveas,"he wants NO mbr, so it loads ntldr instead"
2005-06-25T13:31:00.000Z,Seveas,nalioth,fdisk /mbr will make it use NTLDR again...
2005-06-25T13:31:00.000Z,nalioth,Seveas,we've been discussing all the ways for a few hours now
2005-06-25T13:31:00.000Z,nalioth,Seveas,"he's kinda limited on his software (cds, floppys, etc)"
2005-06-25T13:32:00.000Z,nalioth,Seveas,know the command to follow 'dd' taht will clean his mbr?
2005-06-25T13:32:00.000Z,Seveas,nalioth,dd can restore the mbr if you have a good one
2005-06-25T13:34:00.000Z,nalioth,Seveas,no way to wipe a mbr from within knoppix/ubuntu?
2005-06-25T13:35:00.000Z,Seveas,nalioth,"you can wipe it with dd, but that won't restore it for windows..."
2005-06-25T13:35:00.000Z,nalioth,Seveas,"in knoppix, would 'fdisk /dev/hd(#)/mbr work?"
2005-06-25T13:35:00.000Z,Seveas,nalioth,nope
2005-06-25T13:36:00.000Z,Seveas,nalioth,"i think he means access, spelling is difficult for some people ;)"
2005-06-25T15:55:00.000Z,nalioth,Seveas,kewl! can we get a play-by-play?
2005-06-25T15:56:00.000Z,Seveas,nalioth,"if it works, i'll publish it"
2005-06-25T15:57:00.000Z,nalioth,Seveas,we want to hear you scream when it doesnt.. .. ..:P
2005-06-25T15:57:00.000Z,Seveas,nalioth,lol :)
2005-06-27T11:56:00.000Z,nalioth,Seveas,bob2 how/where do you change the point where this looks? >>>checking build system type... powerpc-unknown-linux-gnu
2005-06-27T11:56:00.000Z,Seveas,nalioth,looks like part of the outpuf of ./configure
2005-06-27T11:57:00.000Z,nalioth,Seveas,"yes it is, and i'm tired of being 'unknown powerpc'  what/where to i change the line so i become whatever"
2005-06-27T11:57:00.000Z,Seveas,nalioth,what's wrong with powerpc-unknown-linux-gnu..?
2005-06-27T12:56:00.000Z,Seveas,nalioth,not so much a case of early adoption but of sanity :)
2005-06-27T12:57:00.000Z,nalioth,Seveas,whats the diff tween the source at kernel.org and ubuntu kernel source?
2005-06-27T12:58:00.000Z,Seveas,nalioth,the debian/ubuntu patches and of course the nice deb buildsystem to create packages
2005-06-27T14:20:00.000Z,Seveas,nalioth,let them use woody to avoid dependency problems..
2005-06-27T14:21:00.000Z,nalioth,Seveas,"woody, sarge, godzilla, 'traci lords', all these debian names i'm cluesless about"
2005-06-27T14:22:00.000Z,nalioth,Seveas,is there a 'make floppy image' thing in the ubuntu install cd?
2005-06-27T14:22:00.000Z,Seveas,nalioth,not yet
2005-06-27T14:27:00.000Z,nalioth,Seveas,is that a gtk-wget thang or gnome-wget?
2005-06-27T14:29:00.000Z,Seveas,nalioth,it uses gtk2 :)
2005-06-27T14:29:00.000Z,nalioth,Seveas,ok just wondering (i'll stick with my website pounding CLI wget)
