date,from,to,text
2005-06-10T15:56:00.000Z,Seveas,,"ztonzy, for hoary: never"
2005-06-10T15:57:00.000Z,Seveas,,i play dvd's on my stand-alone dvd player :)
2005-06-10T05:01:00.000Z,Seveas,,make sure it is loaded then...
2005-06-10T05:01:00.000Z,Seveas,,in php.ini
2005-06-10T05:01:00.000Z,Seveas,,hmm
2005-06-10T05:01:00.000Z,Seveas,,with the correct path?
2005-06-10T05:02:00.000Z,Seveas,,any other errors from apache logs (iirc php will spit out errors there about modules it cannot load)
2005-06-10T05:02:00.000Z,Seveas,,i think that a config file has been changed
2005-06-10T05:03:00.000Z,Seveas,,"of course, with reinstalling after that"
2005-06-10T05:05:00.000Z,selinium,Seveas,"That was my point, it seems to work from other linux machines as well :("
2005-06-10T05:06:00.000Z,Seveas,selinium,what does dig www.phpfreaks.net say?
2005-06-10T05:07:00.000Z,selinium,Seveas,it is www.phpfreaks.com... I will look.
2005-06-10T05:08:00.000Z,selinium,Seveas,results at #flood
2005-06-10T05:08:00.000Z,Seveas,selinium,"i'm not in #flood, use a pastebin please"
2005-06-10T05:12:00.000Z,selinium,Seveas,schasi: Result of dig at http://pastebin.com/294506
2005-06-10T05:13:00.000Z,Seveas,selinium,and if you go to http://72.29.78.113
2005-06-10T05:15:00.000Z,selinium,Seveas,http://72.29.78.113 is hung on  'Connecting'
2005-06-10T05:15:00.000Z,selinium,Seveas,can you see the page?
2005-06-10T05:15:00.000Z,Seveas,selinium,"yes, not a problem at all"
2005-06-10T05:16:00.000Z,selinium,Seveas,&& schasi: AAAaarrgh! These thuings are sent to torment me! :)
2005-06-10T05:27:00.000Z,selinium,Seveas,"I forgot I had switched on ICMP filtering, so now my pings work!"
2005-06-10T05:27:00.000Z,selinium,Seveas,but still no freaks!
2005-06-24T16:19:00.000Z,Seveas,selinium,it doesn't exist on hoary if you upgraded from warty
2005-06-24T16:19:00.000Z,Seveas,selinium,but you can easily add it
2005-06-24T16:20:00.000Z,selinium,Seveas,Cheers
2005-06-24T16:23:00.000Z,selinium,Seveas,where would we be able to see this new version. Or can't we yet?
2005-06-24T16:23:00.000Z,Seveas,selinium,"not yet, it'll be released soon i guess"
2005-06-24T16:25:00.000Z,Seveas,selinium,why?
2005-06-28T10:48:00.000Z,Seveas,selinium,/home/james/.music is not allowed to exist if you want to create a link with that name
2005-06-28T10:50:00.000Z,selinium,Seveas,how would I 'connect' the music file so they appear in the Imcoming folder?
2005-06-28T10:50:00.000Z,Seveas,selinium,what do you mean with connect?
2005-06-28T10:50:00.000Z,Seveas,selinium,making 2 folders appear as one..?
2005-06-28T10:51:00.000Z,Seveas,selinium,not possible
2005-06-28T10:52:00.000Z,Seveas,selinium,move all files in .music to the incoming folder
2005-06-28T10:53:00.000Z,selinium,Seveas,I was hoping not to have to do that.. So I cannot create a hard link or something like that then? I do not wish to have two identicle folders..
2005-06-28T10:53:00.000Z,Seveas,selinium,"no, not possible.."
2005-06-28T10:54:00.000Z,selinium,Seveas,cheers for letting me know! When would you create a hard link then? [curious]  :)
2005-06-28T10:54:00.000Z,Seveas,selinium,to make 2 folders really appear like one and you have a reason not to use a softlink
2005-06-28T10:56:00.000Z,selinium,Seveas,Can i create a soft link then... Sorry to be so stupid! :)
2005-06-28T10:56:00.000Z,Seveas,selinium,ln -s IS the softlink
2005-06-28T10:56:00.000Z,Seveas,selinium,you might have misunderstoof me
2005-06-28T10:56:00.000Z,selinium,Seveas,I thoght so... Learnign by trail and error... Thanks again for all your help!
2005-06-28T10:57:00.000Z,selinium,Seveas,Thanks for your help.
2005-06-28T11:17:00.000Z,Seveas,selinium,ifdown eth0 && ifup eth0-
2005-06-28T12:08:00.000Z,selinium,Seveas,"i tried to copy all 6.6MB of files to the other directory, but nautilus crashed. Now i cannot locate the files. Any ideas?"
2005-07-02T11:51:00.000Z,Seveas,selinium,please put a good cd rom in the drive :)
2005-07-02T11:52:00.000Z,selinium,Seveas,cheers! it creates that error message when a music cd is put in. It works ok for data.
2005-07-02T11:52:00.000Z,Seveas,selinium,lol :) music cd's can't be mounted
2005-07-02T11:53:00.000Z,selinium,Seveas,When a music cd is put in I cannot acces it either? (Feeling a little sheepish! :P )
2005-07-02T11:54:00.000Z,Seveas,selinium,just playing with a music player doesn't work?
2005-07-02T11:56:00.000Z,selinium,Seveas,Arrghhh It works.... I have been wasting soooo much time trying to fix something that wasn't broke.. THankyou for showing me the light.
2005-07-02T11:58:00.000Z,selinium,Seveas,this all started when i put a data cd in the drive and tried to view the contents. DO i need to mount the cd before I can? Does ubuntu not mount a data cd automatically?
2005-07-02T11:58:00.000Z,Seveas,selinium,it should automount...
2005-07-02T12:00:00.000Z,selinium,Seveas, Any reason i can check why it isn't?
2005-07-02T12:00:00.000Z,Seveas,selinium,check if D-BUS is running...
2005-07-02T12:04:00.000Z,selinium,Seveas,it appears to be running.
2005-07-02T12:05:00.000Z,Seveas,selinium,maybe you disabled it in system -> prefs -> removable media
2005-07-02T12:12:00.000Z,selinium,Seveas,"I have just placed a data disc in to cdrom0, it does not show up in /dev/cdrom0. After manually sudo mounting it the files are shown. Have I lost the rights to access the drives?"
2005-07-02T12:12:00.000Z,Seveas,selinium,"hmm, are you running breezy or kernel 2.12 perhaps?"
2005-07-02T12:13:00.000Z,selinium,Seveas,No i am running hoary 5.04 I believe. I switched a little while ago to the K7 version.
2005-07-02T12:14:00.000Z,selinium,Seveas,"I have yes... It is a bit strange! I have cdrom in my groups! It is not too much of a problem now I know i can still listen to music and get files, but it is just a bit of a pain having to manually mount things... :)"
2005-07-02T12:15:00.000Z,Seveas,selinium,plugdev should be there too iirc
2005-07-02T12:15:00.000Z,selinium,Seveas,GOt plugdec as well.   iirc?
2005-07-02T12:18:00.000Z,selinium,Seveas,"Thank for all your help. I will be rebuilding the pc soon anyway, I am sure the problems will disappear after a fresh install. Thanks again. :)"
2005-07-05T05:28:00.000Z,Seveas,selinium,it's not what he is doing :)
2005-07-05T05:55:00.000Z,selinium,Seveas,is there a way of opening a application in a particular workspace?
2005-07-05T05:55:00.000Z,Seveas,selinium,afaik that's onging work...
2005-07-05T05:56:00.000Z,selinium,Seveas,cheers.
2005-07-05T06:58:00.000Z,Seveas,selinium,sudo su to that user and issue a kill -9 -1 :)
2005-07-05T06:59:00.000Z,selinium,Seveas,Cheers!
2005-07-16T08:40:00.000Z,selinium,Seveas,"You once said about ubuntuguide.org that it wasn't very informative, and you mentioned an alternative.. Can you remember what page?"
2005-07-16T08:40:00.000Z,Seveas,selinium,wiki.ubuntu.com
2005-07-16T08:41:00.000Z,selinium,Seveas,is there a particular section? I have been looing for some time... :)
2005-07-16T08:41:00.000Z,Seveas,selinium,there is the searchpage and the titleindex :)
2005-07-16T08:41:00.000Z,Seveas,selinium,what are you looking for in particular?
2005-07-16T08:44:00.000Z,selinium,Seveas,"I have just installed a clean version of Ubuntu, I used the ubuntuguide to carry on with the configuration. I was looking for a more instructive page in a similar theme. If you see what I mean!:)"
2005-07-16T08:44:00.000Z,Seveas,selinium,don't fix a thing that isn't broken
2005-07-16T08:44:00.000Z,Seveas,selinium,"if it works, you don't need to configure it"
