date,from,to,text
2012-08-24T04:06:00.000Z,TJ-,mamece2,"Ad-Hoc wireless is a point-to-point connection. Access Points (AP) are managed mode, and you'd need hostapd installing and configuring to operate an AP"
2012-08-24T04:11:00.000Z,TJ-,mamece2,"This is a much better guide, and the recommended one https://help.ubuntu.com/community/WifiDocs/MasterMode"
2012-08-24T04:12:00.000Z,mamece2,TJ-,i have an atheros one!
2012-08-24T04:14:00.000Z,TJ-,mamece2,"I run an Ubuntu server here configured as the access point, it was quick to set up"
2012-08-24T04:15:00.000Z,mamece2,TJ-,so you can set a wireless network and share internet? i want to have internet through my external wireless dongle and send internet to my ihpone thought the internal wifi card
2012-08-24T04:16:00.000Z,TJ-,mamece2,"That's exactly how its used here - the server has 6 wired ethernet ports, the Wireless, and an embedded xDSL"
2012-08-24T04:17:00.000Z,mamece2,TJ-,do u know where can i read how to set up this laptop taht way?
2012-08-24T04:17:00.000Z,TJ-,mamece2,Is the laptop connecting to the Internet via  wired connection?
2012-08-24T04:18:00.000Z,mamece2,TJ-,"no, via wireless external adapter"
2012-08-24T04:18:00.000Z,TJ-,mamece2,So does the laptop have *TWO* wifi adapters?
2012-08-24T04:18:00.000Z,mamece2,TJ-,yes
2012-08-24T04:18:00.000Z,TJ-,mamece2,"OK, you can do it then"
2012-08-24T04:19:00.000Z,TJ-,mamece2,I've uploaded my server's hostpapd.conf file for you to see. If you 'sudo apt-get install hostapd' and copy/edit my config to your PC you're almost ready to go. http://iam.tj/files/
2012-08-24T04:20:00.000Z,TJ-,mamece2,*hostapd.conf* ... typo!
2012-08-24T04:21:00.000Z,TJ-,mamece2,You'll need to configure it for your atheros driver of course
2012-08-24T04:21:00.000Z,mamece2,TJ-,everywhere i see a tutorial is for the following configuration: wired internet and wireless sharing interface.
2012-08-24T04:21:00.000Z,TJ-,mamece2,"Well, think slightly laterally. All those tutorials assume you've only got ONE wifi ... what they should say is 'how to configure for TWO separate interfaces'"
2012-08-24T04:22:00.000Z,mamece2,TJ-,yeah.. my internal wifi is called eth1 (weird) and the external one is wlan0
2012-08-24T04:22:00.000Z,TJ-,mamece2,"Think of your existing wireless connection to the Internet as being the 'wired' connection in those tutorials, and it makes sense"
2012-08-24T04:23:00.000Z,mamece2,TJ-, im afraid that if i configure that way my connection I wont be able to connect to another wifi. is that true? is easy to deactivate all that config im about to do?
2012-08-24T04:24:00.000Z,TJ-,mamece2,Do you use the 2nd Wifi (wlan0) as a roaming connection then?
2012-08-24T04:25:00.000Z,mamece2,TJ-,"yes, sometimes i connect to another wireless networks"
2012-08-24T04:25:00.000Z,TJ-,mamece2,I've copied the entries you'd need in /etc/network/interfaces to my server too ... the file's called 'interfaces'
2012-08-24T04:25:00.000Z,TJ-,mamece2,Could you change your procedures so you connect to those other WiFi networks using the internal wireless?
2012-08-24T04:26:00.000Z,mamece2,TJ-," i cant, my internal adapter doesnt have enough gain, just to connect my mobile phone"
2012-08-24T04:27:00.000Z,TJ-,mamece2,"OK, well then can't you swap things around so the external Wifi connects to the Internet router and roams, and you configure the internal WiFi as the AP for your phone?"
2012-08-24T04:27:00.000Z,mamece2,TJ-, correct
2012-08-24T04:27:00.000Z,TJ-,mamece2,As an aside... if the internal wifi signal is that bad... it's likely that the antenna connectors inside the laptop have become disconnected. You might consider opening it up and checking on that!
2012-08-24T04:29:00.000Z,mamece2,TJ-,"im kinda lost, first i should install hostapd?"
2012-08-24T04:30:00.000Z,TJ-,mamece2,make sure you have the correct drivers for the internal wifi adapter first
