date,from,to,text
2007-07-23T13:29:00.000Z,YANP,,"I am trying to play an audio cd, however, ubuntu wont even recognize I have a cd in the cdrom.  How do I fix this?"
2007-07-23T13:30:00.000Z,YANP,,It doesn't even show a cdrom...
2007-07-23T13:30:00.000Z,YANP,,"just shows: desktop, filesystem"
2007-07-23T13:30:00.000Z,YANP,,I can press the button on the cd rom to eject the cd...and I put it back in and still nothing..
2007-07-23T13:31:00.000Z,dominussuus,YANP,- run cdeject from the console
2007-07-23T13:31:00.000Z,dominussuus,YANP,- a terminal
2007-07-23T13:31:00.000Z,dominussuus,YANP,- command prompt in Windows language
2007-07-23T13:33:00.000Z,dominussuus,YANP,- so type in sudo apt-get install cdtool
2007-07-23T13:35:00.000Z,dominussuus,YANP,- with Linux you'll be using terminals and typing commands a lot more than you did in Windows - there are a lot of reasons for the difference which I won't bore you with at the moment :P
2007-07-23T13:36:00.000Z,dominussuus,YANP,- I'm unfamilar with guild wars so you'll have to walk me through how you played it on Windows
2007-07-23T13:37:00.000Z,dominussuus,YANP,- so you need to run it from CDZ
2007-07-23T13:38:00.000Z,dominussuus,YANP,"- sorry, I meant to type CD?"
2007-07-23T13:38:00.000Z,dominussuus,YANP,- are you trying to run guild wars from a CD or from the Internet?
2007-07-23T13:39:00.000Z,dominussuus,YANP,"- back in your console, type 'sudo apt-get install wine'"
2007-07-23T13:40:00.000Z,dominussuus,YANP,- so let's see if I can have you up and running in 15 minutes :P
2007-07-23T13:42:00.000Z,dominussuus,YANP,"- right, okay... just a sec"
2007-07-23T13:43:00.000Z,dominussuus,YANP,- CD? are you having troubles with the CD again?
2007-07-23T13:44:00.000Z,dominussuus,YANP,- and lemmie know when you have Wine installed
2007-07-23T13:46:00.000Z,dominussuus,YANP,- well if you invested 3 hours already into setting it up you must have SOME patience...
2007-07-23T13:48:00.000Z,dominussuus,YANP,- the popular saying about Linux and Windows is that Linux is impossible to set up but easy to maintain whereas Windows is easy to set up but impossible to maintain
2007-07-23T13:49:00.000Z,dominussuus,YANP,- and the eggheads over in development are working on fixing the former issue
2007-07-23T13:49:00.000Z,dominussuus,YANP,- well let's see if I can get guildwars working first...
2007-07-23T13:49:00.000Z,dominussuus,YANP,- then we'll deal with the cd issue
2007-07-23T13:49:00.000Z,dominussuus,YANP,- now do you have guild wars on CD or do you download it?
2007-07-23T13:50:00.000Z,dominussuus,YANP,"- okay, pop the CD in and see what happens"
2007-07-23T13:52:00.000Z,dominussuus,YANP,"- okay, that's probably because Linux tends not always to support autoruns for Windows... no matter.  See if you can open a file explorer (Windows Explorer in Windows world)"
2007-07-23T13:55:00.000Z,dominussuus,YANP,- are you able to find your CD?
2007-07-23T13:56:00.000Z,YANP,dominussuus,I put the Guild Wars CD into the CD-ROM and Ubuntu doesn't even say the CD is in the CD-ROM.
2007-07-23T13:56:00.000Z,dominussuus,YANP,- not at the moment
2007-07-23T13:57:00.000Z,dominussuus,YANP,- look at the top menu and click on 'Places'
2007-07-23T13:57:00.000Z,dominussuus,YANP,- open your terminal up again
2007-07-23T13:59:00.000Z,dominussuus,YANP,"- in the prompt, type mount... a bunch of things should pop up"
2007-07-23T14:00:00.000Z,dominussuus,YANP,"- just checking on that... okay, now type 'sudo mount /dev/cd0 /mnt/'"
2007-07-23T14:02:00.000Z,dominussuus,YANP,- make sure there's a space between cd0/ and /mnt/
2007-07-23T14:04:00.000Z,dominussuus,YANP,"- my mistake, /dev/cd0 should have been /dev/cdrom"
2007-07-23T14:24:00.000Z,dominussuus,YANP,- does clicking on it not work?
2007-07-23T14:06:00.000Z,dominussuus,YANP,- excellent.  Now type 'cd /mnt'
2007-07-23T14:07:00.000Z,dominussuus,YANP,"- okay, so that probably means Ubuntu has found the CD"
2007-07-23T14:08:00.000Z,dominussuus,YANP,- so were you able to 'cd /mnt/'?
2007-07-23T14:09:00.000Z,dominussuus,YANP,- sweet.  Type 'ls' I want to know what the setup executable is
2007-07-23T14:10:00.000Z,dominussuus,YANP,- type 'wine setup.exe'
2007-07-23T14:11:00.000Z,dominussuus,YANP,- yessir.  The setup program should run like it was in Windows
2007-07-23T14:13:00.000Z,dominussuus,YANP,- what did it complain about?
2007-07-23T14:13:00.000Z,dominussuus,YANP,- how big is the dump?
2007-07-23T14:14:00.000Z,dominussuus,YANP,- stand by... can you file transfer it over?
2007-07-23T14:14:00.000Z,dominussuus,YANP,- not entirely sure :S
2007-07-23T14:16:00.000Z,dominussuus,YANP,- that's not my specialty
2007-07-23T14:21:00.000Z,dominussuus,YANP,- stand by... posting a fix
2007-07-23T14:23:00.000Z,dominussuus,YANP,- pick up a script from http://rhodes.awardspace.info/winebuild.sh
2007-07-23T14:23:00.000Z,dominussuus,YANP,- and run it :D
2007-07-23T14:25:00.000Z,dominussuus,YANP,- as in save it to your desktop and click on the icon?
2007-07-23T14:25:00.000Z,dominussuus,YANP,- did you save it to your desktop or your home folder?
2007-07-23T14:26:00.000Z,dominussuus,YANP,- in console type 'sh ~/Destop/winebuild.sh'
2007-07-23T14:27:00.000Z,dominussuus,YANP,"- my bad, I misspelt 'Desktop'"
2007-07-23T14:28:00.000Z,dominussuus,YANP,- y to everything
2007-07-23T14:29:00.000Z,dominussuus,YANP,- it looks like it will take a few minutes to straighten itself out
2007-07-23T14:30:00.000Z,dominussuus,YANP,"- my pleasure.  Linux has it's quirks but I believe in it far more than Windows.  The good news from all of this is that once you get it running, you'll never have to fix it"
2007-07-23T14:32:00.000Z,YANP,dominussuus,How come you can get this far but the other people who helped me couldn't?
2007-07-23T14:33:00.000Z,dominussuus,YANP,"- probably not :P  Seriously, my job is tech support so my survival relies entirely upon ingenuity and patience :P"
2007-07-23T14:33:00.000Z,dominussuus,YANP,- http://www.youtube.com/watch?v=77LBQxa5o5w
2007-07-23T14:33:00.000Z,dominussuus,YANP,- just so you know that success IS possible
2007-07-23T14:34:00.000Z,dominussuus,YANP,"- right, there's a fix for that too 'sudo apt-get install flashplayer-nonfree'"
2007-07-23T14:35:00.000Z,dominussuus,YANP,- well I don't want to spoil it but it looks like it works perfectly :D
2007-07-23T14:36:00.000Z,dominussuus,YANP,"- you're on a highspeed Internet connection, right?"
2007-07-23T14:37:00.000Z,dominussuus,YANP,"- sadly, yes.. but I'm trying to convert my clients to Linux :D"
2007-07-23T14:38:00.000Z,dominussuus,YANP,"- no, I work for myself and have nothing for contempt for Microsoft"
2007-07-23T14:40:00.000Z,dominussuus,YANP,- how are we looking?
2007-07-23T14:41:00.000Z,dominussuus,YANP,- what is it downloading?
2007-07-23T14:42:00.000Z,dominussuus,YANP,- sounds good
2007-07-23T14:43:00.000Z,dominussuus,YANP,- ubuntu has some very addictive free games
2007-07-23T14:43:00.000Z,dominussuus,YANP,- I've always been a tetris addict myself
2007-07-23T14:47:00.000Z,dominussuus,YANP,- make sure you spell my name correctly ;)
2007-07-23T14:48:00.000Z,YANP,dominussuus,ah
2007-07-23T14:53:00.000Z,dominussuus,YANP,- and how!
2007-07-23T14:53:00.000Z,dominussuus,YANP,- like you won't believe
2007-07-23T14:54:00.000Z,dominussuus,YANP,"- you can use Synaptec, Add/Remove Programs, or apt-get"
2007-07-23T14:58:00.000Z,dominussuus,YANP,familiarise yourself with Synaptic... it gets you everything you could ever need
2007-07-23T14:58:00.000Z,YANP,dominussuus,ok
2007-07-23T14:59:00.000Z,dominussuus,YANP,Synaptic is the easiest way to install things without messing about with apt-gets
2007-07-23T14:59:00.000Z,dominussuus,YANP,but jetscreamer's way works too
2007-07-23T15:00:00.000Z,dominussuus,YANP,try CTRL + ALT + Backspace.  It restarts the windowing system (and eliminates most problems) without having to restart the program
2007-07-23T15:01:00.000Z,YANP,dominussuus,oh ok
2007-07-23T15:01:00.000Z,dominussuus,YANP,you can always google or go to UbuntuForums.org to find out how to make CTRL+ALT+Delete work
