date,from,to,text
2007-03-21T13:59:00.000Z,eternaljoy,,i did an update and upgrade and now I have no sound.  How can I fix this please?
2007-03-21T13:59:00.000Z,billy,eternaljoy,the kernel must have updated.  Did you have to tweak stuff before to get the sound owrking?
2007-03-21T13:59:00.000Z,eternaljoy,billy,no
2007-03-21T14:00:00.000Z,eternaljoy,billy,what can I do now?
2007-03-21T14:00:00.000Z,billy,eternaljoy,"what sort of audio device do you have?  If you don't know, type `lspci` in a terminal and look for your audio device."
2007-03-21T14:02:00.000Z,billy,eternaljoy,there's a link in ubuntuforums.org.  just a sec.
2007-03-21T14:02:00.000Z,eternaljoy,billy,whats pastebin can I use to show you?
2007-03-21T14:02:00.000Z,eternaljoy,billy,http://paste.ubuntu-nl.org/11398/
2007-03-21T14:03:00.000Z,eternaljoy,billy,shold I update to alsa-driver 1.0.13?
2007-03-21T14:03:00.000Z,billy,eternaljoy," you just need to download the latest alsa drivers, that's all.  worked for me at least."
2007-03-21T14:03:00.000Z,billy,eternaljoy, 1.0.12 worked for me.
2007-03-21T14:03:00.000Z,eternaljoy,billy, how?
2007-03-21T14:03:00.000Z,billy,eternaljoy,one sec.
2007-03-21T14:03:00.000Z,eternaljoy,billy,download them from where?
2007-03-21T14:04:00.000Z,eternaljoy,billy, ok ty
2007-03-21T14:04:00.000Z,eternaljoy,billy,did you see my pastebin result?
2007-03-21T14:04:00.000Z,billy,eternaljoy,yeah.  you have the identical one that i have.
2007-03-21T14:05:00.000Z,billy,eternaljoy,https://help.ubuntu.com/community/HdaIntelSoundHowto
2007-03-21T14:05:00.000Z,eternaljoy,billy,so that website worked for you?
2007-03-21T14:05:00.000Z,billy,eternaljoy,like a charm.
2007-03-21T14:06:00.000Z,eternaljoy,billy,do I type: sudo apt-get install build-essential ncurses-dev ?
2007-03-21T14:07:00.000Z,billy,eternaljoy,"yeah.  just follow those instructions.  be sure not to mix the 1.0.12 stuff with the 1.0.13 stuff, and be sure to adjust the commands for 1.0.12.  it's only a matter of changing one number."
2007-03-21T14:10:00.000Z,eternaljoy,billy,"i rebooted for the third time and now sound works.  I didnt even have to follow that website.  What on earth causes this?  Why does sond work sometimes, and not other times?"
2007-03-21T14:11:00.000Z,billy,eternaljoy,does the sound die when you try to adjust the volume?
2007-03-21T14:11:00.000Z,eternaljoy,billy,what adhjustment?
2007-03-21T14:11:00.000Z,billy,eternaljoy,"when you increase the volume or anything, does it die?"
2007-03-21T14:12:00.000Z,eternaljoy,billy, no it doesnt
2007-03-21T14:12:00.000Z,eternaljoy,billy, any ideas?
2007-03-21T14:13:00.000Z,billy,eternaljoy, the sound just dies for not explicable reason?
2007-03-21T14:13:00.000Z,billy,eternaljoy,oh.  you're running Feisty.  Could be anything.
2007-03-21T14:13:00.000Z,billy,eternaljoy,may be a bug in Feisty.  give it time (the 19th) and see if everything is squared away by then.
2007-03-21T14:14:00.000Z,eternaljoy,billy,"never!  the sound works great therought the wholw day edgy is running.  Its just that no sound happens when I first turn on my PC in the morning, and I ghave to reboot 3-5 times to get sound workoing"
2007-03-21T14:14:00.000Z,billy,eternaljoy,"I don't know.  Since Feisty is still in alpha, it may be anything."
2007-03-21T14:14:00.000Z,eternaljoy,billy,im using Edgy
2007-03-21T14:15:00.000Z,eternaljoy,billy, I never said I use feisty
2007-03-21T14:15:00.000Z,billy,eternaljoy,"oh.  sorry.   try following the instructions on that link anyway.  it'll probably help.  it's been updated, too, so just follow them verbatim, i.e. copy/paste them into a terminal."
2007-03-21T14:15:00.000Z,eternaljoy,billy,im worried that link may make sound totally stop working for good
2007-03-21T14:16:00.000Z,billy,eternaljoy, try not to worry.  it won't do that.
2007-03-21T14:16:00.000Z,eternaljoy,billy,you cant guratntee that :P
2007-03-21T14:16:00.000Z,eternaljoy,billy,is there any way of taking a snapshot of his system is now and rollback in case it does?
2007-03-21T14:16:00.000Z,billy,eternaljoy,"and you're not guaranteed your sound issue will ever be resolved, either."
2007-03-21T14:17:00.000Z,billy,eternaljoy,I think so.  watch the bot.
2007-03-21T14:17:00.000Z,eternaljoy,billy, that website says: f your boot hangs on loading the module for snd-hda-intel.  But this doesnt apply to me
2007-03-21T14:17:00.000Z,eternaljoy,billy, I know how to back up the whole system
2007-03-21T14:17:00.000Z,billy,eternaljoy,neither did mine.  but it resolved my sound issue.
2007-03-21T14:17:00.000Z,eternaljoy,billy,im talking about a little snapshot
