date,from,to,text
2010-05-13T03:04:00.000Z,calibre,,"Ok, link please."
2010-05-13T03:06:00.000Z,calibre,,onetinsolider: what would be the difference?
2010-05-13T03:08:00.000Z,calibre,,Well I wanted ubuntu.
2010-05-13T03:09:00.000Z,sebsebseb,calibre,"Wubi puts Ubuntu inside Windows, and does the boot loader stuff,  and does not work exactly like a partitioned install from the Live CD.  For example if something was to go wrong with Ubuntu when it's partitioned, resulting in you not being able to just boot it up,  which is not that likely at all.  You could stick in the Live CD access the partition and the data.  If you have used Wubi it's not that easy to access data if boot up mess's"
2010-05-13T03:11:00.000Z,sebsebseb,calibre,"it's not a big deal to set up a a proper partitioend dual boot from the Live CD,  as someone here is making it sound"
2010-05-13T03:11:00.000Z,sebsebseb,calibre,"first of all before you do this though, your data should be backed up else where, that you want to keep,  in the unlikely event that data loss happens"
2010-05-13T03:12:00.000Z,calibre,sebsebseb,"Ok I will backup my files, then what?"
2010-05-13T03:12:00.000Z,sebsebseb,calibre,"also you don't have to install Ubuntu to try it,  just sort yourself out with a Live CD, and boot your computer up from it,  then when your ready and if you want to, you can install it onto the hard disk for real creating a dual boot.  or use Wubi, but in the long run it's better to use real partitions"
2010-05-13T03:13:00.000Z,sebsebseb,calibre,Right so you never done anything like this before?  Never done a Linux distro before?
2010-05-13T03:13:00.000Z,calibre,sebsebseb,I just dont want to suffer from memory loss and stuff if  I end up installing it and then do not want it.
2010-05-13T03:13:00.000Z,calibre,sebsebseb,no.
2010-05-13T03:13:00.000Z,sebsebseb,calibre,ok
2010-05-13T03:14:00.000Z,calibre,sebsebseb,I am new to this.
2010-05-13T03:14:00.000Z,sebsebseb,calibre,"can guide you through how to  download Ubuntu and install it, but so can this manual, as well as Ubuntu basics"
2010-05-13T03:15:00.000Z,sebsebseb,calibre,Which version of Windows you got on there at the moment?
2010-05-13T03:15:00.000Z,calibre,sebsebseb,win 7
2010-05-13T03:16:00.000Z,sebsebseb,calibre,"with Vista people are meant to let it re size itself,  or data loss might happen,  with Windows 7 I don't know.  However just back up the data else where, and installing Ubuntu the usual way,  well is likely to go fine anyway"
2010-05-13T03:16:00.000Z,sebsebseb,calibre,first of all you need a Live CD though
2010-05-13T03:17:00.000Z,calibre,sebsebseb,"I will backup my files, and I do have a live CD"
2010-05-13T03:17:00.000Z,sebsebseb,calibre,offical CD or one you made?
2010-05-13T03:17:00.000Z,calibre,sebsebseb,made
2010-05-13T03:17:00.000Z,sebsebseb,calibre,"if you still got the ISO,  it's a good idea to check that your download is ok"
2010-05-13T03:18:00.000Z,calibre,sebsebseb,"I have it, and it installed fine."
2010-05-13T03:18:00.000Z,sebsebseb,calibre,intalled fine?
2010-05-13T03:18:00.000Z,calibre,sebsebseb,to the CD it installed to the
2010-05-13T03:18:00.000Z,calibre,sebsebseb,The ISO file is ok.
2010-05-13T03:18:00.000Z,sebsebseb,calibre,"it's probably fine, good idea to still check though, but you don't have to"
2010-05-13T03:19:00.000Z,calibre,sebsebseb,I will check.
2010-05-13T03:19:00.000Z,sebsebseb,calibre,"anyway right, so you have already tried the Live session from the CD?"
2010-05-13T03:19:00.000Z,calibre,sebsebseb,yes.
2010-05-13T03:19:00.000Z,sebsebseb,calibre,"it's easier to check in Ubuntu, but  pretty easy to do on WIndows as well"
