date,from,to,text
2005-06-23T13:04:00.000Z,pfp,cary,"try clicking on the desktop (to give it keyboard focus), then Ctrl-R (if using gnome)"
2005-06-25T13:07:00.000Z,cary,pfp,you around?
2005-06-25T13:08:00.000Z,pfp,cary,yep
2005-06-25T13:08:00.000Z,cary,pfp,sweet. someone i sort of know!
2005-06-25T13:08:00.000Z,pfp,cary,:) everything ok?
2005-06-25T13:08:00.000Z,cary,pfp,whats going on. how are things. or something
2005-06-25T13:09:00.000Z,cary,pfp,"life wise yeah, linux wise, i have some issues -=)"
2005-06-25T13:09:00.000Z,cary,pfp,in the mood to try to field some quetions?
2005-06-25T13:09:00.000Z,pfp,cary,"in the mood yes, in the condition, almost - hit me :)"
2005-06-25T13:10:00.000Z,cary,pfp,"hah. well i guess i should boot into lnx to better figure out my questions. one is man..my audio BLows. it works fine in theory, but is very quite and if sounds are repeating they keep fading lower and lower."
2005-06-25T13:11:00.000Z,cary,pfp,"i found a patch on some website, but its basically raw code. its a kernel patch and i have no idea at all what to do with it"
2005-06-25T13:12:00.000Z,pfp,cary,"sounds very strange... (no pun intended), probably a driver problem like you thought"
2005-06-25T13:12:00.000Z,pfp,cary,"patching the kernel is not very difficult, do you know what version teh patch is for?"
2005-06-25T13:12:00.000Z,cary,pfp,"and also..hha...i started trying to mess with installing MOL, and i navigated to something like etc/blah/somefile and i tried to open it to modify a couple of lines just to see if i could do it and i tried 'ed' to edit. is that at all right?"
2005-06-25T13:13:00.000Z,cary,pfp,"i know basically nothing. i THINK it is for hoary 5.04, which is what i am running"
2005-06-25T13:13:00.000Z,cary,pfp,i have no idea where to even start on patching the kernel though
2005-06-25T13:13:00.000Z,pfp,cary,hmm a bit vague eh?
2005-06-25T13:13:00.000Z,cary,pfp,hold. let  me find the dilly
2005-06-25T13:14:00.000Z,pfp,cary,"hoary/5.0.4 is ubuntu's release number, but linux's (= the kernel's) release is a separate thing"
2005-06-25T13:14:00.000Z,pfp,cary,aight
2005-06-25T13:14:00.000Z,cary,pfp,"for reference, where woudl i find that info?"
2005-06-25T13:14:00.000Z,cary,pfp,(so i can come packing when i come back)
2005-06-25T13:14:00.000Z,pfp,cary,type 'uname -r' in a shell
2005-06-25T13:15:00.000Z,cary,pfp,cool. brb
2005-06-25T13:15:00.000Z,pfp,cary,altough i can tell that your hoary has kernel 2.6.10-something
2005-06-25T13:19:00.000Z,cary,pfp,2.6.10-5
2005-06-25T13:20:00.000Z,cary,pfp,the url for these patches is this:  http://seehuhn.de/comp/powerbook/index
2005-06-25T13:20:00.000Z,cary,pfp,is there some need i have of updating my kernel?
2005-06-25T13:21:00.000Z,pfp,cary,"yep, you need to get the source code, apply that patch, compile & install"
2005-06-25T13:21:00.000Z,cary,pfp,no idea how to do that
2005-06-25T13:22:00.000Z,pfp,cary,hopefuly you will soon
2005-06-25T13:22:00.000Z,cary,pfp,"i just changed my audio thing to alsa instead of oss and it started out okay, but it sounds muted and crappy now. like..its maxed out but so soft i can barely hear it"
2005-06-25T13:22:00.000Z,cary,pfp,"i am at your mercy, if you feel so inclinded as to help me"
2005-06-25T13:22:00.000Z,pfp,cary,suresure .)
2005-06-25T13:23:00.000Z,cary,pfp,"the first like..half second of the song sounds fine, then it starts sounding more or less like the ass of a mad bear"
2005-06-25T13:23:00.000Z,pfp,cary,"so, you need the kernel sources, and you need a .tar.gz of those most probably, since ubuntu only carries 2.6.10"
2005-06-25T13:23:00.000Z,cary,pfp,is there some linux site i need to find that will have this kernel?
2005-06-25T13:24:00.000Z,pfp,cary,"http://www.kernel.org/pub/linux/kernel/v2.6/ , take 2.6.11.8"
2005-06-25T13:24:00.000Z,pfp,cary,about 35 MB
2005-06-25T13:26:00.000Z,pfp,cary,that's equivalent to searching w/ synaptic
2005-06-25T13:26:00.000Z,pfp,cary,"aah, ubuntu carries sources for 2.6.11 too, great"
2005-06-25T13:27:00.000Z,cary,pfp,in english/linuxdummie
2005-06-25T13:27:00.000Z,pfp,cary,"cancel the kernel.org d/l, also, it's worth playing with alsamixer first, if that doesn't help, we'll compile a kernel"
2005-06-25T13:28:00.000Z,cary,pfp,so i should search for the kernel in apt-cache?
2005-06-25T13:29:00.000Z,pfp,cary,"yep, you can get the kernel sources with apt"
2005-06-25T13:29:00.000Z,cary,pfp,nowi dont knwo where i am looking for this kernel
2005-06-25T13:30:00.000Z,cary,pfp,apt..is that through synaptic?
2005-06-25T13:30:00.000Z,pfp,cary,you need package called linux-source-2.6.11
2005-06-25T13:30:00.000Z,pfp,cary,"yep, synaptic is (the easiest) frontend for APT"
2005-06-25T13:30:00.000Z,cary,pfp,found it
2005-06-25T13:30:00.000Z,cary,pfp,marking it now
2005-06-25T13:31:00.000Z,cary,pfp,woohoo..its downloading
2005-06-25T13:33:00.000Z,cary,pfp,okay i thoguht i applied the new kernel but terminal still says 2.6.10.5
2005-06-25T13:33:00.000Z,cary,pfp,"(i applied, then reloaded everything)"
2005-06-25T13:33:00.000Z,pfp,cary,there's still work to be done... have you ever compiled software / are you familiar with that concept?
2005-06-25T13:34:00.000Z,cary,pfp,"many many moons ago i programmed in like...VB. i compiled there, but it was all visual"
2005-06-25T13:34:00.000Z,cary,pfp,"r0d, i downloaded and applied the thing in synaptic"
2005-06-25T13:35:00.000Z,cary,pfp,"yeah, thats what i used it for. .exes for windows, back in the day"
2005-06-25T13:37:00.000Z,pfp,cary,do you have that 010-sound.patch file around?
2005-06-25T13:38:00.000Z,pfp,cary,"yep, i read that page..  you should save it to a file, eg. in your home directory"
2005-06-25T13:38:00.000Z,cary,pfp,"the code? like, a text doc?"
2005-06-25T13:38:00.000Z,pfp,cary,"yep, it's plain text"
2005-06-25T13:39:00.000Z,pfp,cary,"or right-click on the link -> save as, end result is same"
2005-06-25T13:41:00.000Z,pfp,cary,that package you installed with synaptic created a file called /usr/src/linux-source-2.6.11.tar.bz2
2005-06-25T13:43:00.000Z,cary,pfp,okay...
