date,from,to,text
2007-04-23T08:29:00.000Z,chamunks,,I understand it was just all i could do at the time
2007-04-23T08:30:00.000Z,chamunks,,i mean my lanparty nf4-ut expert mobo has raid aswell supported by the nf4 chip
2007-04-23T08:31:00.000Z,chamunks,,ok well i need to be able to tell ubuntu that these two drives arent seperate drives and are in a stripe
2007-04-23T08:31:00.000Z,chamunks,,not a mirror
2007-04-23T08:31:00.000Z,chamunks,,I would have liked to do it in the install phase but seeing as i was pinched for time its gonna have to be post install :S
2007-04-23T08:32:00.000Z,chamunks,,thats fine
2007-04-23T08:32:00.000Z,chamunks,,the rate of transfere boost that this will give will make things better
2007-04-23T08:32:00.000Z,chamunks,,Ok well im using 64 bit if that complicates things any
2007-04-23T08:33:00.000Z,chamunks,,Yep 250's
2007-04-23T08:33:00.000Z,chamunks,,beautiful!
2007-04-23T08:33:00.000Z,xtknight,chamunks,cool.  ok what are the block devices/
2007-04-23T08:26:00.000Z,xtknight,chamunks,i might be able to help.  i'm using a raid0 root right now
2007-04-23T08:27:00.000Z,xtknight,chamunks,i also have a /home raid0 ;)
2007-04-23T08:27:00.000Z,xtknight,chamunks,i love the performance so far
2007-04-23T08:28:00.000Z,xtknight,chamunks,"i'm using RAID0(md0): /, ext3, 80G; RAID0(md1): /home, xfs, 180G"
2007-04-23T08:28:00.000Z,xtknight,chamunks,ah so what does raid0 have to do with that?  i dont completely understand
2007-04-23T08:29:00.000Z,xtknight,chamunks,ah ok.  wait is this SW raid or HD raid?
2007-04-23T08:29:00.000Z,xtknight,chamunks,warning: i am insanely biased towards SW raid.
2007-04-23T08:29:00.000Z,xtknight,chamunks,"in a good way, that is.  SW raid is so much better"
2007-04-23T08:30:00.000Z,xtknight,chamunks,so what's your question?
2007-04-23T08:30:00.000Z,xtknight,chamunks,"nforce raid isnt supported in linux, to my knowledge.  slower than SW raid too"
2007-04-23T08:31:00.000Z,xtknight,chamunks,okay have you already installed and you would like to do this?  or do you want to do this during the install phase?
2007-04-23T08:32:00.000Z,xtknight,chamunks,"you dont care about ANY of the data on these partitions you want to stripe, right at the moment, correct?  it will be wiped when the array is created"
2007-04-23T08:32:00.000Z,xtknight,chamunks,well if it makes you feel better you can only do it during-install with the Alternate CD
2007-04-23T08:32:00.000Z,xtknight,chamunks,alright so you know the block devices of these two disks right?  250gb each disks?
2007-04-23T08:32:00.000Z,xtknight,chamunks,nope
