date,from,to,text
2006-02-21T08:19:00.000Z,pianoboy3333,,Anyone know where I can get bpmx?
2006-02-21T08:19:00.000Z,crimsun,pianoboy3333,from bmpx's wiki
2006-02-21T08:19:00.000Z,crimsun,pianoboy3333,"otherwise, wait til it passes Debian NEW"
2006-02-21T08:31:00.000Z,pianoboy3333,crimsun,will bmpx play m4p's?
2006-02-21T08:31:00.000Z,crimsun,pianoboy3333,not if its backend doesn't
2006-02-21T08:32:00.000Z,pianoboy3333,crimsun,backend meaning encoded?
2006-02-21T08:32:00.000Z,crimsun,pianoboy3333,"no, I mean if xine or gst packages supporting faad"
2006-02-21T08:33:00.000Z,crimsun,pianoboy3333,are{n't} installed
2006-02-22T09:44:00.000Z,crimsun,pianoboy3333,I use jHymn to unfetter the songs that I purchase from iTMS.
2006-02-22T09:45:00.000Z,crimsun,pianoboy3333,then I use gstreamer0.8-faad to play them through quod libet
2006-02-22T09:45:00.000Z,pianoboy3333,crimsun,"ok, I just downloaded the jhymn source, what do I do next?"
2006-02-22T09:45:00.000Z,crimsun,pianoboy3333,"you don't need the source, get the java [binary]  package"
2006-02-22T09:45:00.000Z,pianoboy3333,crimsun,frm where?
2006-02-22T09:46:00.000Z,crimsun,pianoboy3333,from the jHymn Web site
2006-02-22T09:46:00.000Z,crimsun,pianoboy3333,I'm happy to continue this discussion in #ubuntu-offtopic if you need
2006-02-22T10:24:00.000Z,pianoboy3333,crimsun,I used https://wiki.ubuntu.com/RestrictedFormats for java
2006-02-23T09:01:00.000Z,pianoboy3333,crimsun,"ok, where do I get the java thing"
2006-02-23T09:01:00.000Z,crimsun,pianoboy3333,?
2006-02-23T09:02:00.000Z,pianoboy3333,crimsun,"remeber, yesterday, jhymn, needed java, but devel kit?"
2006-02-23T09:02:00.000Z,crimsun,pianoboy3333,didn't you install the sun jdk?
2006-02-23T09:02:00.000Z,pianoboy3333,crimsun,what is that?
2006-02-23T09:03:00.000Z,pianoboy3333,crimsun,"ok, i'll get that now"
2006-02-23T09:03:00.000Z,pianoboy3333,crimsun,I used that page to get java
2006-02-23T09:04:00.000Z,pianoboy3333,crimsun,or do I need to now get the jdk from java.com?
2006-02-23T09:05:00.000Z,crimsun,pianoboy3333,did you install a jdk or a jre?
2006-02-23T09:05:00.000Z,pianoboy3333,crimsun,what's the difference? I don't think I have the development kit....
2006-02-23T09:06:00.000Z,crimsun,pianoboy3333,dpkg -l \*j2sdk\*|grep ^ii
2006-02-23T09:06:00.000Z,pianoboy3333,crimsun,no packages matched
2006-02-23T09:07:00.000Z,pianoboy3333,crimsun,http://www.java.com/en/download/linux_manual.jsp here?
2006-02-23T09:08:00.000Z,pianoboy3333,crimsun,do I want the SDK?
2006-02-23T09:08:00.000Z,pianoboy3333,crimsun,do I want the SDK?
2006-02-23T09:14:00.000Z,crimsun,pianoboy3333,"no, follow the directions on restrictedformats to install a java sdk"
2006-02-23T09:42:00.000Z,pianoboy3333,crimsun,"I installed JDK, where/how do I find out where it is?"
2006-02-23T09:55:00.000Z,pianoboy3333,crimsun,"about JHymn, i got the JDK but where is it, what folder do I give the run script"
2006-03-03T12:28:00.000Z,crimsun,pianoboy3333,what are you trying to do?
2006-03-03T12:28:00.000Z,pianoboy3333,crimsun,remove xfce and all that came with it
2006-03-03T12:29:00.000Z,crimsun,pianoboy3333,sudo aptitude purge libxfce\* libexo\*
2006-03-03T12:29:00.000Z,crimsun,pianoboy3333,which may not be precise. What you probably want is: sudo aptitude purge $(dpkg -l libxfce\* libexo\* |grep ^ii |awk '{ print $2 }')
2006-03-03T12:30:00.000Z,pianoboy3333,crimsun,Isn't there something that doesn't ask me questions?
2006-03-03T12:31:00.000Z,crimsun,pianoboy3333,it will always ask you to confirm a set of removals
2006-03-03T12:31:00.000Z,pianoboy3333,crimsun,but it still wants to keep mouse pad and stuff... can't I just remove everything that came with xubuntu-desktop?
2006-03-03T12:32:00.000Z,crimsun,pianoboy3333,"if you used aptitude to install xubuntu-desktop, yes"
2006-03-03T12:32:00.000Z,pianoboy3333,crimsun,I used apt-get to install it
2006-03-03T12:32:00.000Z,crimsun,pianoboy3333,then you'll have to do some of the leg work
2006-03-03T12:32:00.000Z,pianoboy3333,crimsun,so what command?
2006-03-03T12:33:00.000Z,crimsun,pianoboy3333,you can iterate through the dependency list of xfce4 and remove them
