date,from,to,text
2005-04-19T13:16:00.000Z,ztonzy,delire,compiled moments ago
2005-04-19T13:04:00.000Z,delire,ztonzy,i know that name ;)
2005-04-19T13:04:00.000Z,ztonzy,delire,long time no see
2005-04-19T13:04:00.000Z,ztonzy,delire,where have you been ?
2005-04-19T13:05:00.000Z,delire,ztonzy,all around the planet since we last spoke ;)
2005-04-19T13:05:00.000Z,ztonzy,delire,and now in DK ?
2005-04-19T13:05:00.000Z,ztonzy,delire,world citizen !
2005-04-19T13:05:00.000Z,ztonzy,delire,I use Kubuntu these days
2005-04-19T13:05:00.000Z,delire,ztonzy,yep now working in DK
2005-04-19T13:06:00.000Z,ztonzy,delire,CPH ?
2005-04-19T13:06:00.000Z,delire,ztonzy,ahah good for you! how are you finding it?
2005-04-19T13:06:00.000Z,delire,ztonzy,yep
2005-04-19T13:06:00.000Z,ztonzy,delire,quite easy :)
2005-04-19T13:06:00.000Z,delire,ztonzy,great ;) (k)ubuntu is a good distribution of linux
2005-04-19T13:07:00.000Z,ztonzy,delire,"used Fedora, shortly debian, then Ubuntu,  had some issues filesystem errors+network...concluded it was my mainboard...so used XP during two mpnths"
2005-04-19T13:07:00.000Z,delire,ztonzy,you made a good choice (either this or Mepis)..
2005-04-19T13:07:00.000Z,ztonzy,delire,now with new mobo (old one was nforce2ultra) VIA KT600  rocks!
2005-04-19T13:07:00.000Z,delire,ztonzy,"ahah, well you're still using Debian now.."
2005-04-19T13:07:00.000Z,delire,ztonzy,hehe KT600 is a good board
2005-04-19T13:08:00.000Z,ztonzy,delire,"thanks, I met Jono Bacon at last years Blender Conference, very shortly we spoke, he tipped me about Ununtu then :D"
2005-04-19T13:08:00.000Z,ztonzy,delire,yes :)  but I am getting hang of 'debian behavior' now
2005-04-19T13:08:00.000Z,delire,ztonzy,ahah Jono's a good chap
2005-04-19T13:09:00.000Z,delire,ztonzy,apt is pretty addictive.. i've been a junkie for around 7 years ;)
2005-04-19T13:09:00.000Z,ztonzy,delire,hehe
2005-04-19T13:09:00.000Z,delire,ztonzy,so you installed blender?
2005-04-19T13:09:00.000Z,ztonzy,delire,and of course you still use Blender ?
2005-04-19T13:09:00.000Z,ztonzy,delire,always
2005-04-19T13:09:00.000Z,delire,ztonzy,everyday ;)
2005-04-19T13:09:00.000Z,ztonzy,delire,compile my own
2005-04-19T13:09:00.000Z,delire,ztonzy,;)
2005-04-19T13:10:00.000Z,delire,ztonzy,"ahah, always the best way"
2005-04-19T13:10:00.000Z,ztonzy,delire,seen the last changes ?
2005-04-19T13:10:00.000Z,ztonzy,delire,transform widgets ?
2005-04-19T13:11:00.000Z,delire,ztonzy,no i haven't... i'm still hanging on 2.36
2005-04-19T13:11:00.000Z,ztonzy,delire,"for a long while I actually wondered where you went, didnt see you around in blender channels"
2005-04-19T13:11:00.000Z,ztonzy,delire,aah...they are very nice
2005-04-19T13:11:00.000Z,delire,ztonzy,i have been working flat out. teaching..
2005-04-19T13:11:00.000Z,ztonzy,delire,and now mesh displist is refactored...even faster SubSurf now
2005-04-19T13:11:00.000Z,delire,ztonzy,i've been getting into teaching blender. with a couple of days of hand-holding the kids love it.
2005-04-19T13:12:00.000Z,ztonzy,delire,they pay you all over world for you to teach ? :O
2005-04-19T13:12:00.000Z,delire,ztonzy,"great, faster subsurf. good news.."
2005-04-19T13:12:00.000Z,delire,ztonzy,mostly in europe..
2005-04-19T13:12:00.000Z,delire,ztonzy,and mostly OSS game development
2005-04-19T13:12:00.000Z,ztonzy,delire,I can hand you a compile if you want
2005-04-19T13:12:00.000Z,ztonzy,delire,dreamjob ;)
2005-04-19T13:13:00.000Z,delire,ztonzy,hehe.. ok
2005-04-19T13:17:00.000Z,delire,ztonzy,hey best you upload it. this machine is firewalled to the roof. then msg me.
2005-04-19T13:17:00.000Z,ztonzy,delire,sure !
2005-04-19T13:17:00.000Z,delire,ztonzy,thanks btw.. it will save me an hour..
2005-04-19T13:18:00.000Z,ztonzy,delire,that much :) ?
2005-04-19T13:19:00.000Z,delire,ztonzy,"sure.. downloading the source, grabbing the libraries and compiling.."
2005-04-19T13:20:00.000Z,ztonzy,delire,I see yes
2005-04-19T13:24:00.000Z,ztonzy,delire,check PM
2005-04-19T13:27:00.000Z,ztonzy,delire,you use Debian or Ubuntu ?
2005-04-23T13:15:00.000Z,ztonzy,delire,yo :)
2005-04-23T13:16:00.000Z,delire,ztonzy,"dropped out the other day, i was on a borrowed access point if you know what i mean ;)"
2005-04-23T13:16:00.000Z,ztonzy,delire,"got issues here...so I had to re-install system, running a fresh Ubuntu now"
2005-04-23T13:16:00.000Z,ztonzy,delire,heh...yes you just vanished like that
2005-04-23T13:16:00.000Z,delire,ztonzy,so why the reinstall?
2005-04-23T13:17:00.000Z,ztonzy,delire,long story...can take it PM then (if)
2005-04-23T13:17:00.000Z,delire,ztonzy,sure pm
2005-04-24T14:11:00.000Z,ztonzy,delire,evening
2005-04-24T14:11:00.000Z,delire,ztonzy,hello ;)
2005-04-24T14:11:00.000Z,ztonzy,delire,damn cold I caught :(
2005-04-24T14:12:00.000Z,delire,ztonzy,i tried it some 5 years ago and haven't since.
2005-04-24T14:12:00.000Z,ztonzy,delire,eeehh?
2005-04-24T14:12:00.000Z,delire,ztonzy,wrong nick ;)
2005-04-24T14:12:00.000Z,ztonzy,delire,lol
2005-04-24T14:12:00.000Z,delire,ztonzy,sorry i dropped out last night. had to take my gf to the airport.
2005-04-24T14:12:00.000Z,ztonzy,delire,aaah oh
2005-04-24T14:13:00.000Z,ztonzy,delire,installed Ubuntu yesterday ....(gnome)
2005-04-24T14:15:00.000Z,delire,ztonzy,how are you finding it?
2005-04-24T14:15:00.000Z,ztonzy,delire,instead of Kubuntu ?
2005-04-24T14:15:00.000Z,delire,ztonzy,yep
2005-04-24T14:16:00.000Z,ztonzy,delire,set the 'draw while drag'  to false :)  so now I see this wire
2005-04-24T14:18:00.000Z,delire,ztonzy,"hmm odd. well i don't use gnome or KDE here, so on the DE front i'm not very helpful. naturally #gnome could be a good place to resolve fiddly details."
2005-04-24T14:18:00.000Z,ztonzy,delire,"but I dunno...it feels kde in kubuntu have some glitches still, I might be wrong, but I rather run a stable system than more experiment (sorrry for that, but I feel it like that)"
2005-04-24T14:18:00.000Z,ztonzy,delire,true...will do it ....but my nose is dripping so much.... ack...
2005-04-24T14:19:00.000Z,delire,ztonzy,"that's wise. as far as KDE distributions are concerned, there is nothing better than Mepis. i've just installed it on many machines and it is very solid."
2005-04-24T14:19:00.000Z,delire,ztonzy,Ubuntu however really does pull off gnome very well.
2005-04-24T14:19:00.000Z,ztonzy,delire,aha
2005-04-24T14:19:00.000Z,ztonzy,delire,true
2005-04-24T14:20:00.000Z,delire,ztonzy,you have seen art.gnome.org?
2005-04-24T14:20:00.000Z,ztonzy,delire,"now and then yes, anything new ?"
2005-04-24T14:21:00.000Z,delire,ztonzy,ahah ;)
2005-04-24T14:21:00.000Z,ztonzy,delire,afterwards I knew who he is :D
2005-04-24T14:21:00.000Z,ztonzy,delire,"for some weird reason, Blender Conferences drawn some of the most interesting people ! :)"
2005-04-24T14:22:00.000Z,delire,ztonzy,it's an interesting application ;)
2005-04-24T14:22:00.000Z,ztonzy,delire,the year before...do you know who were there and who I by chance shook hands with :O ?
2005-04-24T14:22:00.000Z,ztonzy,delire,;)
2005-04-24T14:22:00.000Z,delire,ztonzy,..? ;)
2005-04-24T14:22:00.000Z,ztonzy,delire,Mark Shuttleworth =O
2005-04-24T14:23:00.000Z,ztonzy,delire,hehe...had a shot chat with him...he didnt even say he had been up to space!
2005-04-24T14:23:00.000Z,ztonzy,delire,whole blender coders jawdropped the week after
2005-04-24T14:24:00.000Z,delire,ztonzy,and why was he at the blender conference?
2005-04-24T14:25:00.000Z,ztonzy,delire,he talked about Python and the work along with Blender
2005-04-24T14:25:00.000Z,delire,ztonzy,so he works with blender does he?
2005-04-24T14:25:00.000Z,ztonzy,delire,what I know is that he like that language
2005-04-24T14:25:00.000Z,delire,ztonzy,the Python API for blender is excellent. i was revisiting it again today.
2005-04-24T14:25:00.000Z,ztonzy,delire,maybe...dont remember...but I wouldnt be surprised
