date,from,to,text
2005-06-01T15:49:00.000Z,dooglus,,how do I list the files in a package?
2005-06-01T15:50:00.000Z,thoreauputic,dooglus,try dpkg -L <packagename>
2005-06-01T15:51:00.000Z,thoreauputic,dooglus,assuming it's installed
2005-06-01T15:51:00.000Z,thoreauputic,dooglus,then I think you would need apt-file
2005-06-01T15:54:00.000Z,thoreauputic,dooglus,heh - thoreauputic
2005-06-01T15:55:00.000Z,thoreauputic,dooglus,I guess your client is highlighting the line
2005-06-01T15:57:00.000Z,thoreauputic,dooglus,change your irssi theme so you can read things ;)
2005-06-01T15:58:00.000Z,thoreauputic,dooglus,I'm stuck with it now since that is how I'm known
2005-06-01T16:02:00.000Z,thoreauputic,dooglus,"seriously, change your irssi theme ;)"
2005-06-01T16:03:00.000Z,thoreauputic,dooglus,you might need to read someone's long or short <yellow-dude>
2005-06-01T16:03:00.000Z,thoreauputic,dooglus,hrm - lots of docs on irssi.org
2005-06-02T07:09:00.000Z,thoreauputic,dooglus,"some say gnomebaker, others like graveman"
2005-06-02T07:58:00.000Z,thoreauputic,dooglus,topyli (I think) suggested ` sudo chmod -x /usr/bin/esd`
2005-06-02T07:58:00.000Z,thoreauputic,dooglus,I've done it and it seems to be working well here :)
2005-06-02T07:59:00.000Z,dooglus,thoreauputic,"(I can see your name now that I've changed the background to black and the foreground to white) I think I still need esd for some programs (like totem?) - but according to that RestrictedFormats wiki page, you can ask esd to back off when it's not active"
2005-06-02T08:00:00.000Z,thoreauputic,dooglus,hmm - I use totem-xine
2005-06-02T08:00:00.000Z,thoreauputic,dooglus,works fine that way
2005-06-02T08:00:00.000Z,thoreauputic,dooglus,also I used the suggestions for fixing sound on http://ubuntuguide.org
2005-06-02T08:03:00.000Z,dooglus,thoreauputic,thanks.  i hadn't heard of that site before.  looks good!
2005-06-02T08:03:00.000Z,thoreauputic,dooglus,"yes, it's a one - stop shop, pretty much :)"
2005-06-02T08:04:00.000Z,thoreauputic,dooglus,"I don't agree with all of it , but it seems pretty sound in general"
2005-06-02T08:27:00.000Z,dooglus,thoreauputic,how did you install the 686 kernel?  I don't see a package in synaptic for it
2005-06-02T08:28:00.000Z,thoreauputic,dooglus,it's there: apt-cache search linux-image
2005-06-02T08:28:00.000Z,dooglus,thoreauputic,"heh.  'linux-image', not 'kernel-2.6.something-686'?  odd that the kernel doesn't have 'kernel' in its package name, wouldn't you say?"
2005-06-02T08:29:00.000Z,thoreauputic,dooglus,"well, linux is the kernel - the rest is the OS ( talk to Richard Stallman *grin*)"
2005-06-02T08:30:00.000Z,dooglus,thoreauputic,"I know, and that's fair enough."
2005-06-02T08:31:00.000Z,thoreauputic,dooglus,GNU/BSD/Ubuntu/Debian Linux *smile*
2005-06-02T08:41:00.000Z,thoreauputic,dooglus,does fuser /dev/snd/*   show the devices in use?
