date,from,to,text
2005-11-17T16:47:00.000Z,gnomefreak,,breezy badger is ubuntu 5.10 :)
2005-11-17T16:48:00.000Z,gnomefreak,,im assuming dapper beta is out?
2005-11-17T16:48:00.000Z,gnomefreak,,well we got backports so i figured the beta was atleast out
2005-11-17T16:48:00.000Z,ompaul,gnomefreak,dapper is there - it is before beta if that is possible - use only if you fully understand it :-)
2005-11-17T16:48:00.000Z,ompaul,gnomefreak, i.e. second machine you can afford to break
2005-11-17T16:49:00.000Z,gnomefreak,ompaul,im not touching it for a while lol
2005-11-18T17:20:00.000Z,gnomefreak,ompaul, why bother he cant read the topic?
2005-11-18T17:21:00.000Z,gnomefreak,ompaul, that was more than one :(
2005-11-18T17:21:00.000Z,ompaul,gnomefreak,so three entries :)
2005-11-19T16:58:00.000Z,ompaul,gnomefreak, windows running is a reason? :-)
2005-11-19T17:02:00.000Z,gnomefreak,ompaul,wont auto cad run using wine?
2005-11-25T06:27:00.000Z,ompaul,gnomefreak,"if is how the other improvements were made, you have to start somewhere"
2005-11-25T06:28:00.000Z,ompaul,gnomefreak,s/if/it
2005-11-25T06:30:00.000Z,ompaul,gnomefreak,would you ever try to upgrade from SuSE to or from Rehat/Fedora or to or from Mandriva? ;-)
2005-11-25T06:31:00.000Z,ompaul,gnomefreak,LFS ?
2005-11-25T06:36:00.000Z,gnomefreak,ompaul,i dont see me using that do to that fact that that is harder than well debian im sure
2005-11-25T15:21:00.000Z,gnomefreak,ompaul,is openbox gdm or odm?
2005-11-25T15:21:00.000Z,ompaul,gnomefreak,no idea
2005-11-25T15:25:00.000Z,gnomefreak,ompaul, i asked you sir
2005-11-25T15:26:00.000Z,ompaul,gnomefreak,after saying no to you I got a longer version of a very similar question from n0dl
2005-11-25T15:26:00.000Z,ompaul,gnomefreak,:-)
2005-12-06T16:15:00.000Z,gnomefreak,ompaul,does he have the cdrom source in there?
2005-12-06T16:16:00.000Z,ompaul,gnomefreak,we will know in a second when he shows us the source :)
2005-12-06T16:19:00.000Z,gnomefreak,ompaul,it doesnt work with the cdrom source i tried that 3 times over the past few weeks
2005-12-06T16:22:00.000Z,ompaul,gnomefreak,he needs it for the package he wants
2005-12-06T16:26:00.000Z,ompaul,gnomefreak,considering the work your doing if I was doing that I would find out if they wanted multiverse
2005-12-06T16:28:00.000Z,gnomefreak,ompaul, only issue there is he only has the backported multis in there not the archive ones and my website may not be best example of sourcves list lol
2005-12-06T16:30:00.000Z,gnomefreak,ompaul,is that the right command for that package?
2005-12-06T16:31:00.000Z,ompaul,gnomefreak,don't know synaptic that well (came from the other apt get world via a long and funny route)
2005-12-06T16:32:00.000Z,ompaul,gnomefreak,under 'edit' fix broken packages
2005-12-06T16:49:00.000Z,ompaul,gnomefreak,not what he asked :-(
2005-12-06T16:49:00.000Z,gnomefreak,ompaul, i know but im here to give the truth ;)
2005-12-06T16:50:00.000Z,gnomefreak,ompaul,isnt that backwards shhhhhhhhh SteveW you dont see this lol
2005-12-06T16:51:00.000Z,ompaul,gnomefreak,bet you his disk is 100G or greated
2005-12-11T13:53:00.000Z,ompaul,gnomefreak,s/should/must :-)))
2005-12-14T16:12:00.000Z,ompaul,gnomefreak,i read your question for three times what I think you asked was - if you take .deb files and put them on a CD can you install them later just pop them in /var/cache/apt/archives - and then you can install them to your hearts content - however I am only 80% certain this is what you asked - your question does leave a lot of room for it not to have been your question
2005-12-14T16:13:00.000Z,ompaul,gnomefreak,as long as it is the 'pre installed' version of the programs - so grab your source and packages and run with them to the burner :)
2006-01-02T16:59:00.000Z,ompaul,gnomefreak,java is almost the most evil thing :) is that a bit lighter?
2006-01-07T16:15:00.000Z,ompaul,gnomefreak,#ubuntu-offtopic for a sec :)
2006-01-09T14:08:00.000Z,gnomefreak,ompaul,ty but your not my type lol :)
2006-01-09T14:08:00.000Z,ompaul,gnomefreak,it was in the channel already I beat you to it :)
2006-01-09T14:09:00.000Z,gnomefreak,ompaul, lol ty
2006-01-09T14:11:00.000Z,gnomefreak,ompaul,do we allow pasting?
2006-01-09T14:11:00.000Z,ompaul,gnomefreak,no
2006-01-09T14:11:00.000Z,gnomefreak,ompaul,tell spoonaman2 that
2006-01-09T14:15:00.000Z,ompaul,gnomefreak,leave it please you are labouring a point
2006-01-09T14:46:00.000Z,ompaul,gnomefreak,not in offtopic?
2006-01-09T14:46:00.000Z,gnomefreak,ompaul,tct is a program for ubuntu why off topic?
2006-01-09T14:47:00.000Z,ompaul,gnomefreak,a joke - too late :)
2006-01-09T16:08:00.000Z,gnomefreak,ompaul,tried and failed
2006-01-11T11:29:00.000Z,gnomefreak,ompaul,thats base sources.list with just universe right? (17500)
2006-01-11T11:29:00.000Z,ompaul,gnomefreak,think so
2006-01-11T11:29:00.000Z,ompaul,gnomefreak,now you have me doubting myself
2006-01-11T11:29:00.000Z,gnomefreak,ompaul,lol
2006-01-12T07:19:00.000Z,ompaul,gnomefreak,the 20th of April
2006-01-12T12:48:00.000Z,ompaul,gnomefreak,no you are :P
2006-01-12T13:01:00.000Z,ompaul,gnomefreak,fdisk /dev/hdXN is the way forward there
2006-01-12T13:40:00.000Z,ompaul,gnomefreak,yes ...
2006-01-13T09:30:00.000Z,ompaul,gnomefreak,X-Chat
2006-01-20T17:44:00.000Z,ompaul,gnomefreak,bwaaaaa
2006-01-20T06:09:00.000Z,ompaul,gnomefreak,stop it :)
2006-01-20T06:15:00.000Z,gnomefreak,ompaul,on what?
2006-01-20T06:15:00.000Z,ompaul,gnomefreak,on a user problem
2006-01-20T16:48:00.000Z,ompaul,gnomefreak,he has reinstalled - we now have hotplug
2006-01-21T17:20:00.000Z,ompaul,gnomefreak,it is the 20th april
2006-01-23T08:19:00.000Z,ompaul,gnomefreak,I thin kthat is the mysql root password sarah10 is referring to
2006-01-23T08:20:00.000Z,ompaul,gnomefreak,:-)
2006-01-24T11:55:00.000Z,ompaul,gnomefreak,there are better ways of saying that
2006-01-24T11:55:00.000Z,gnomefreak,ompaul,saying what ?
2006-01-24T11:56:00.000Z,gnomefreak,ompaul,i didnt say anything about running it i just commented on it not being beta yet
2006-01-24T11:56:00.000Z,ompaul,gnomefreak,"ahh,"
2006-01-24T11:57:00.000Z,ompaul,gnomefreak,I was playing kill the partition this afternoon and to be honest if my brain had been working cating dev random to the hard drive would have saved me a serious amount of time
2006-01-24T11:58:00.000Z,gnomefreak,ompaul,why were you playing kill the partion? sounds like fun but why
2006-01-24T11:58:00.000Z,ompaul,gnomefreak,cos write to the partition was not working
2006-01-24T11:59:00.000Z,ompaul,gnomefreak,"ubuntu blew it away for me, but the o/s that I had to install (a GNU/Linux one) did not"
2006-03-01T12:07:00.000Z,ompaul,gnomefreak,nautilus does not do it ? (now I never tried)
2006-03-01T12:07:00.000Z,gnomefreak,ompaul,never tried either
2006-03-01T12:07:00.000Z,ompaul,gnomefreak,right click and properties
2006-03-01T12:07:00.000Z,ompaul,gnomefreak,as they say in the movies badabingbadabam
2006-03-02T14:42:00.000Z,ompaul,gnomefreak,such as ubuntu
2006-03-04T06:12:00.000Z,ompaul,gnomefreak,"file-roller is part of gnome - so I imagine it could be removed, why are you thinking about removing it"
2006-03-04T06:13:00.000Z,gnomefreak,ompaul,when i download a tar it puts it into /tmp even though i direct it somewhere else
2006-03-04T06:17:00.000Z,ompaul,gnomefreak,"it works perfectly for me, did some tests like created new archives"
2006-03-04T06:18:00.000Z,gnomefreak,ompaul,thats strange are you running dapper or breezy?
2006-03-04T06:18:00.000Z,ompaul,gnomefreak,5.10 breezy _was_ the name in pre production
2006-03-06T17:57:00.000Z,ompaul,gnomefreak,3 second pm?
2006-03-06T17:58:00.000Z,gnomefreak,ompaul,from you sure
2006-03-06T07:40:00.000Z,ompaul,gnomefreak,so I was told by a person who I trust level 1
2006-03-06T09:21:00.000Z,ompaul,gnomefreak,thats the part that gives you freak in your nick ;-)
2006-03-08T10:16:00.000Z,gnomefreak,ompaul, you here still?
2006-03-08T10:16:00.000Z,ompaul,gnomefreak,according to rumour anyway
2006-03-08T10:16:00.000Z,ompaul,gnomefreak,sup ?
2006-03-08T10:17:00.000Z,gnomefreak,ompaul,im on the wiki for xgl and they tell you to install mesa well mesa is not a package who would know what it should be and beable to edit it?
2006-03-08T10:18:00.000Z,ompaul,gnomefreak,"not doing xgl yet staying in 5.10 mostly for this channel to check stuff, anyone should be able to"
2006-03-08T10:18:00.000Z,ompaul,gnomefreak,sudo apt-cache search mesa<<-- I would start looking there
2006-03-08T10:18:00.000Z,ompaul,gnomefreak,yeap I know it does not need sudo
2006-03-08T10:19:00.000Z,gnomefreak,ompaul,there are a bunch of mesa packages none of them just mesa
2006-03-08T10:20:00.000Z,ompaul,gnomefreak,the number may have changed but something like this apt-cache search mesa
2006-03-08T10:20:00.000Z,ompaul,gnomefreak,doh
2006-03-08T10:20:00.000Z,ompaul,gnomefreak,libgl1-mesa
2006-03-08T16:35:00.000Z,ompaul,gnomefreak,dsl is 50 megs
2006-03-08T16:36:00.000Z,gnomefreak,ompaul,thats unpacked?
2006-03-08T16:36:00.000Z,ompaul,gnomefreak,.... it will load fully into 64mb of ram
2006-03-09T17:17:00.000Z,ompaul,gnomefreak,got a pointer?
2006-03-09T17:18:00.000Z,gnomefreak,ompaul,not really i get the mail from devel and they have had alot of setbacks due to illness and other stuff
2006-03-09T17:26:00.000Z,ompaul,gnomefreak,yo umay have put a space in there you can't
2006-03-09T17:28:00.000Z,ompaul,gnomefreak,they are
2006-03-09T17:42:00.000Z,gnomefreak,ompaul,what is the context menu term name?
2006-03-09T06:10:00.000Z,ompaul,gnomefreak,gnome-panel?
2006-03-09T06:11:00.000Z,gnomefreak,ompaul,no just the menu i think _jason was the one that gave it to me a while ago
2006-03-09T06:53:00.000Z,ompaul,gnomefreak,:)
2006-03-09T08:11:00.000Z,gnomefreak,ompaul,did i not do it right?
2006-03-09T08:11:00.000Z,ompaul,gnomefreak,kick ban
2006-03-09T10:51:00.000Z,ompaul,gnomefreak,you were right
2006-03-09T11:09:00.000Z,ompaul,gnomefreak,you got one now :-) and a warm cup of coffee
2006-03-09T11:23:00.000Z,gnomefreak,ompaul,the question is why did he uninstall it to install it again
2006-03-09T11:23:00.000Z,ompaul,gnomefreak,well yeah
2006-03-10T06:18:00.000Z,gnomefreak,ompaul,he meant scim
2006-03-10T16:18:00.000Z,ompaul,gnomefreak,the two messages fly-away got :)
2006-03-10T08:08:00.000Z,ompaul,gnomefreak,do that again :P
2006-03-10T08:09:00.000Z,gnomefreak,ompaul,they have been sugesting that and ubuntuguide all morning
2006-03-10T08:09:00.000Z,ompaul,gnomefreak,ask where it is being prompted from :)
2006-03-10T08:11:00.000Z,gnomefreak,ompaul,Bennett
2006-03-10T08:31:00.000Z,ompaul,gnomefreak,"no idea, don't think so"
2006-03-10T09:55:00.000Z,ompaul,gnomefreak,I can sup?
2006-03-10T09:56:00.000Z,gnomefreak,ompaul,bunniears is looking for the user admin thing to add and remove users with only xubuntu-desktop installed no gnome
2006-03-10T09:56:00.000Z,gnomefreak,ompaul,i have a list of what i found on xfce and it looks like the xfce4-utils should have it hers doesnt
2006-03-10T09:56:00.000Z,ompaul,gnomefreak,booting
2006-03-10T09:59:00.000Z,ompaul,gnomefreak,settings - users and groups just above all the xfce stuff
2006-03-10T10:05:00.000Z,ompaul,gnomefreak,I did :)
2006-03-10T10:06:00.000Z,gnomefreak,ompaul,what are those clients that sendmail and postfix use for pop and smtp?
2006-03-10T10:07:00.000Z,ompaul,gnomefreak,they both their own smtp pop is a seperate daemon
2006-03-10T10:07:00.000Z,gnomefreak,ompaul,ok so he can sedn but not recieve
2006-03-10T10:08:00.000Z,ompaul,gnomefreak,well mutt can read from the queue directly
2006-03-10T10:13:00.000Z,ompaul,gnomefreak,suggested .. sudo adduser
2006-03-10T10:14:00.000Z,gnomefreak,ompaul,that will add user to sudoers? or reg?
2006-03-10T10:14:00.000Z,ompaul,gnomefreak,starts there and then sudo vipw for for adding the user to the admin group
2006-03-11T08:04:00.000Z,gnomefreak,ompaul,i dont think thats gonna help him :(
2006-03-12T06:02:00.000Z,ompaul,gnomefreak,pm?
2006-03-12T10:06:00.000Z,gnomefreak,ompaul,you still here?
2006-03-12T10:06:00.000Z,ompaul,gnomefreak,yes
2006-03-12T10:09:00.000Z,ompaul,gnomefreak,sup? I am here
2006-03-12T10:09:00.000Z,gnomefreak,ompaul,with the digest mail can i just use the reply button?
2006-03-12T10:11:00.000Z,gnomefreak,ompaul,ok ty
2006-03-12T10:16:00.000Z,ompaul,gnomefreak,"true, but a nick like that is kinda generic"
2006-03-12T10:16:00.000Z,gnomefreak,ompaul,true
2006-03-12T12:56:00.000Z,ompaul,gnomefreak,"when I were a lad they had switches on the outside of a box, it were called a computer, and people bought them, now you want wysiwyg editors, XML and self decscribing data, databases that consume terrabytes"
2006-03-12T16:53:00.000Z,gnomefreak,ompaul,apt-getting is a new command
2006-03-22T14:32:00.000Z,ompaul,gnomefreak,really its part of his plan to take over the world :-) {not sure how that works though}
2006-03-22T16:14:00.000Z,gnomefreak,ompaul,tried that one already
2006-03-23T06:39:00.000Z,ompaul,gnomefreak,"maybe I meant that :-), Hoxzer http://xchat.org/docs/ has lots of info on it"
2006-03-27T16:23:00.000Z,gnomefreak,ompaul,no
2006-04-03T11:27:00.000Z,ompaul,gnomefreak,dualboot now includes mac :-)
2006-04-03T11:47:00.000Z,ompaul,gnomefreak,u there?
2006-04-06T06:42:00.000Z,gnomefreak,ompaul,whats the start up file for apps to start up automatilly?
2006-04-06T06:43:00.000Z,ompaul,gnomefreak,bum?
2006-04-06T06:43:00.000Z,ompaul,gnomefreak,or are you looking for something lese
2006-04-06T06:44:00.000Z,gnomefreak,ompaul,someone in #ubuntu+1 needs to stop things from starting up auto when boting into ubuntu like 5 terminals and stuff i had him go into sessions and they are not listed
