date,from,to,text
2007-01-03T07:27:00.000Z,tirus89,,whats the termanal command to install
2007-01-03T07:27:00.000Z,tirus89,,thx
2007-01-03T07:29:00.000Z,tirus89,,"i did the install command and it says reading package lists....done, and segmentation faulty tree 50%, what now?"
2007-01-03T07:30:00.000Z,tirus89,,wha?
2007-01-03T07:30:00.000Z,tirus89,,someone help me out on this one
2007-01-03T07:30:00.000Z,tirus89,,what i do now?
2007-01-03T07:31:00.000Z,h3xis,tirus89,hide.
2007-01-03T07:35:00.000Z,h3xis,tirus89,sounds good
2007-01-03T07:35:00.000Z,tirus89,h3xis,now what?
2007-01-03T07:35:00.000Z,h3xis,tirus89,idk you tell me
2007-01-03T07:36:00.000Z,tirus89,h3xis,"fuck man, i dont know, ima mac/windows guy, i dont know what the fuck to do in linux"
2007-01-03T07:36:00.000Z,h3xis,tirus89,what are you wanting to do?
2007-01-03T07:36:00.000Z,tirus89,h3xis,"i want to know what the hell that read out means and what to do now, restart, what!?!?!"
2007-01-03T07:37:00.000Z,h3xis,tirus89,i have no idea what the hell youre even trying to do. im just catching some of your questions every now and then
2007-01-03T07:39:00.000Z,h3xis,tirus89,are you in edgy dapper or what
2007-01-03T07:40:00.000Z,h3xis,tirus89,then what's the problem? all you have to do is pop the CDs in and install
2007-01-03T07:40:00.000Z,tirus89,h3xis,"i did pop in the cd, then all these black screens with errors poped up"
2007-01-03T07:40:00.000Z,h3xis,tirus89,what did they say
2007-01-03T07:59:00.000Z,h3xis,tirus89,soak them in ice water
2007-01-03T08:00:00.000Z,tirus89,h3xis,ice water up here to cold
2007-01-03T08:01:00.000Z,h3xis,tirus89,is it snowing where you are? you could possibly go ram your head into the ground outside in the snow
2007-01-03T08:02:00.000Z,tirus89,h3xis,that would be great
2007-01-03T08:06:00.000Z,tirus89,h3xis,hes making me cry
2007-01-03T08:07:00.000Z,h3xis,tirus89,dont go emo because you cant use the easiest distro ;)
2007-01-03T08:08:00.000Z,h3xis,tirus89,you should like join us leet kids and use debian.
2007-01-03T08:14:00.000Z,tirus89,h3xis,i think im going to have a shit-hemerage
2007-01-03T08:29:00.000Z,h3xis,tirus89,did you back it up?
2007-01-03T08:36:00.000Z,h3xis,tirus89,it's not linux in general. it might be dapper. if you had edgy things might have went well
2007-01-03T08:36:00.000Z,tirus89,h3xis,shhhh
2007-01-03T08:36:00.000Z,tirus89,h3xis,shhhhh
2007-01-03T08:36:00.000Z,tirus89,h3xis,dont speek such things
2007-01-03T08:37:00.000Z,h3xis,tirus89,take it to school
2007-01-03T08:37:00.000Z,h3xis,tirus89,we can help you during lunch time
2007-01-03T08:38:00.000Z,tirus89,h3xis,"its a huge peice of sht, i ant takin to school"
2007-01-03T08:38:00.000Z,tirus89,h3xis,"its like a comp from the dmv, cep its not a lct, its a crt"
2007-01-03T08:38:00.000Z,h3xis,tirus89,that's hot
2007-01-03T08:39:00.000Z,tirus89,h3xis,"what, no, shhhh"
2007-01-03T08:44:00.000Z,h3xis,tirus89,do you have broadband?
2007-01-03T08:45:00.000Z,h3xis,tirus89,do you have broadband?
2007-01-03T08:45:00.000Z,tirus89,h3xis,yesh sir
2007-01-03T08:45:00.000Z,h3xis,tirus89,why are you using dapper?
2007-01-03T08:46:00.000Z,tirus89,h3xis,no
2007-01-03T08:46:00.000Z,h3xis,tirus89,might/will save you some trouble. it might boot and work and everything!
2007-01-03T08:46:00.000Z,tirus89,h3xis,"unless you want to download and send me a cd, ok then"
2007-01-03T08:47:00.000Z,h3xis,tirus89,why? it wont take long to download if you have broadband
2007-01-03T08:47:00.000Z,h3xis,tirus89,edgy might have a fix that dapper doesnt have
2007-01-03T08:47:00.000Z,h3xis,tirus89,you should give it a try
2007-01-03T08:49:00.000Z,tirus89,h3xis,"its a 1 and a half hour download, no thank you, i'll work with what i got"
2007-01-03T08:49:00.000Z,h3xis,tirus89,youve been in here longer than that. you could have d/l it and had ubuntu up and running
2007-01-03T08:49:00.000Z,tirus89,h3xis,"i like to work with what i got, im asian, i have to, its in my blood"
2007-01-03T08:49:00.000Z,h3xis,tirus89,omg. download it and stop being retarded!
2007-01-03T08:50:00.000Z,tirus89,h3xis,"no, i have to do it my way"
2007-01-03T08:50:00.000Z,h3xis,tirus89,youre stubborn.
2007-01-03T08:50:00.000Z,tirus89,h3xis,and thats why im so damn lovable
2007-01-03T08:51:00.000Z,h3xis,tirus89,being asian is no excuse. i know one who has gentoo up on his toaster and he didnt have that big of a hard time.
2007-01-03T08:51:00.000Z,tirus89,h3xis,well his toaster is new
2007-01-03T08:52:00.000Z,h3xis,tirus89,you do realize that edgy offers more support for more hardware and fixes certain issues that dapper has in the installation?
2007-01-03T08:53:00.000Z,tirus89,h3xis,"no, i no wanna download, i want this, im stubborn"
2007-01-03T08:55:00.000Z,h3xis,tirus89,that's the red screen of death
2007-01-03T08:58:00.000Z,h3xis,tirus89,watch out. it'll blow up
2007-01-03T08:59:00.000Z,h3xis,tirus89,<3
2007-01-03T09:03:00.000Z,h3xis,tirus89,give it up. d/l edgy. you know you want to
2007-01-03T09:03:00.000Z,tirus89,h3xis,"no, thish weekend, then i give"
2007-01-03T09:06:00.000Z,h3xis,tirus89,it's fate that you install edgy
2007-01-03T09:06:00.000Z,tirus89,h3xis,SHUT IT ABOUT EDGY
2007-01-03T09:07:00.000Z,h3xis,tirus89,you will kiss my feet when you get it installed.
2007-01-03T09:09:00.000Z,h3xis,tirus89,you will.
2007-01-03T09:10:00.000Z,tirus89,h3xis,"not yet, and i wont give you credit"
2007-01-03T09:15:00.000Z,tirus89,h3xis,"or LameBMX, i got to login, then red screen, then back to login, what do I do?"
2007-01-03T09:33:00.000Z,tirus89,h3xis,"i was abbandoned by LameBMX, help me"
2007-01-03T09:33:00.000Z,h3xis,tirus89,what's wrong
2007-01-03T09:34:00.000Z,tirus89,h3xis,"i got to login, and then it wouldnt login"
2007-01-03T09:35:00.000Z,h3xis,tirus89,i dont know man.
2007-01-03T09:35:00.000Z,tirus89,h3xis,ima cry
2007-01-03T09:35:00.000Z,h3xis,tirus89,i dont know where to start
2007-01-03T09:35:00.000Z,h3xis,tirus89,install edgy god dammit
2007-01-03T09:35:00.000Z,tirus89,h3xis,"not, not yet"
2007-01-03T09:37:00.000Z,tirus89,h3xis,i know what your going to say
2007-01-03T09:37:00.000Z,tirus89,h3xis,dont you mention edgy
2007-01-03T09:39:00.000Z,tirus89,h3xis,"LameBMX, i see how it is, ok...*sniff*"
2007-01-03T09:40:00.000Z,h3xis,tirus89,i dont know how to help you or where to start. LameBMX worked his ass off and couldnt get it to work. you know my answer.
2007-01-03T09:40:00.000Z,tirus89,h3xis,"fine, i conceed"
2007-01-03T09:40:00.000Z,h3xis,tirus89,haha.
2007-01-03T09:41:00.000Z,tirus89,h3xis,you have worn me down
2007-01-03T09:41:00.000Z,h3xis,tirus89,if it doesnt work you can stone me to death
2007-01-03T09:41:00.000Z,tirus89,h3xis,deal
2007-01-03T09:45:00.000Z,h3xis,tirus89,probably
2007-01-03T09:45:00.000Z,tirus89,h3xis,"i dunno, the drive is really hot, and the cd, is like weird looking now, lol"
2007-01-03T09:45:00.000Z,tirus89,h3xis,instal prob found maybe?
2007-01-03T09:46:00.000Z,h3xis,tirus89,what?
2007-01-03T09:46:00.000Z,tirus89,h3xis,weird cd melting prob of install?
2007-01-03T09:46:00.000Z,h3xis,tirus89,i doubt it
2007-01-03T09:46:00.000Z,tirus89,h3xis,i dunno
2007-01-03T09:47:00.000Z,tirus89,h3xis,"i give up, i got the edgy dl'ing now"
2007-01-03T09:47:00.000Z,h3xis,tirus89,:)
2007-01-03T09:47:00.000Z,tirus89,h3xis,4 hour download
2007-01-03T09:47:00.000Z,h3xis,tirus89,what's your down speed for your isp?
2007-01-03T09:47:00.000Z,tirus89,h3xis,3mb a sec
2007-01-03T09:47:00.000Z,h3xis,tirus89,okay
2007-01-03T09:52:00.000Z,h3xis,tirus89,how much longer it got?
2007-01-03T09:53:00.000Z,tirus89,h3xis,"got a torrent for me, me no want 3 hour dl"
2007-01-03T09:53:00.000Z,h3xis,tirus89,"okay, how much longer does it have"
2007-01-03T09:53:00.000Z,h3xis,tirus89,you mean get?
2007-01-03T09:53:00.000Z,tirus89,h3xis,torrent or no?
