date,from,to,text
2005-06-12T10:53:00.000Z,nalioth,kbrooks,knewt wants apt-build to work for him
2005-06-12T10:53:00.000Z,kbrooks,nalioth,"er, is apt-build in a package?"
2005-06-12T10:54:00.000Z,nalioth,kbrooks,apt-build is installable
2005-06-12T10:54:00.000Z,nalioth,kbrooks,knewt wants to rebuild his 'world'
2005-06-12T10:55:00.000Z,kbrooks,nalioth,mmmmmmmm
2005-06-12T11:27:00.000Z,nalioth,kbrooks,GUIs are BAD
2005-06-12T11:27:00.000Z,nalioth,kbrooks,"the terminal will be there, after X takes off and goes home"
2005-06-12T12:41:00.000Z,kbrooks,nalioth,inapplicable
2005-06-12T12:42:00.000Z,nalioth,kbrooks,inapplicable? please skewl me
2005-06-12T12:43:00.000Z,kbrooks,nalioth,SHOULD YOU create a 2 GB partition for swap?
2005-06-12T12:43:00.000Z,nalioth,kbrooks,i would not
2005-06-12T13:00:00.000Z,nalioth,kbrooks,what was up with the 2gb question whallago?
2005-06-25T12:39:00.000Z,kbrooks,nalioth,.....u serious?
2005-06-25T12:44:00.000Z,nalioth,kbrooks,"i thought it was funny, watchin all the little windoze msg windows spawn via wine"
2005-06-25T12:44:00.000Z,nalioth,kbrooks,"didnt want to wait til they ate all the memory, so i killed wine"
2005-06-25T12:57:00.000Z,nalioth,kbrooks,ya mean like xfce?
2005-06-25T12:58:00.000Z,kbrooks,nalioth,yes
2005-06-25T12:59:00.000Z,kbrooks,nalioth,yup
2005-06-25T12:59:00.000Z,kbrooks,nalioth,like xfce. or something
2005-06-25T12:59:00.000Z,nalioth,kbrooks,"search sourceforge, there are boodles"
2005-06-25T13:02:00.000Z,kbrooks,nalioth,"dude.....sure, but sudo reauthenicates when you open a  new gnome terminal"
2005-06-25T13:03:00.000Z,kbrooks,nalioth,so the chances of that are mitigated
2005-06-25T13:03:00.000Z,nalioth,kbrooks,"but if the user is ignorant of the command, does it matter?"
2005-06-25T13:03:00.000Z,kbrooks,nalioth,nope.....
2005-06-25T13:31:00.000Z,kbrooks,nalioth,who has a problem
2005-06-25T14:49:00.000Z,nalioth,kbrooks,i greatly ABHOR windowz
2005-06-25T14:51:00.000Z,nalioth,kbrooks,may i add my .02? <EG>
