date,from,to,text
2008-12-11T08:57:00.000Z,keres,,"how do you install this dependency: 'gtk+ >= 2.4.0 (requires glib, atk, pango, iconv, etc)'"
2008-12-11T08:59:00.000Z,onetinsoldier,keres,try  aptitude why glib (ect)
2008-12-14T05:30:00.000Z,onetinsoldier,keres,for one thing.. you have a typo.. you're first quote was a 'single' quote... you want both quotes to be double quotes
2008-12-14T05:38:00.000Z,onetinsoldier,keres, export PKG_CONFIG_PATH='/usr/PKG_CONFIG'   is the way to do that properly.. just an fyi
2008-12-14T05:39:00.000Z,onetinsoldier,keres,then to check that you have done it properly do...   echo '$PKG_CONFIG_PATH'
2008-12-14T05:40:00.000Z,onetinsoldier,keres,not in here tho.. on the command line
2008-12-14T05:40:00.000Z,keres,onetinsoldier,duh? lol
2008-12-14T05:40:00.000Z,onetinsoldier,keres, export PKG_CONFIG_PATH='/usr/PKG_CONFIG'   -CHECK YOUR QUOTES- is the way to do that properly.. just an fyi
2008-12-14T05:41:00.000Z,keres,onetinsoldier,same thing
2008-12-14T05:45:00.000Z,onetinsoldier,keres,it's the shell waiting for more input(after the single quote you had) because your quotes were wrong
2008-12-14T05:46:00.000Z,keres,onetinsoldier,what are the right quotes then?
2008-12-14T05:46:00.000Z,onetinsoldier,keres,export PKG_CONFIG_PATH='/usr/PKG_CONFIG'   echo '$PKG_CONFIG_PATH'   ...returns   /usr/PKG_CONFIG
2008-12-14T05:47:00.000Z,keres,onetinsoldier,so type '        export PKG_CONFIG_PATH='/usr/PKG_CONFIG'         '            ?
2008-12-14T05:47:00.000Z,onetinsoldier,keres,use double quotes in BOTH places
2008-12-14T05:47:00.000Z,onetinsoldier,keres,yes
2008-12-14T05:47:00.000Z,keres,onetinsoldier,"ok, now what?"
2008-12-14T05:48:00.000Z,onetinsoldier,keres,"then check it, with   echo '$PKG_CONFIG_PATH'"
2008-12-14T05:48:00.000Z,onetinsoldier,keres,ok.. there you go.. you got it now
2008-12-14T05:48:00.000Z,keres,onetinsoldier,now?
2008-12-14T05:49:00.000Z,onetinsoldier,keres,"well, all i was trying to do was show you how to do that environment variable properly..."
2008-12-14T05:49:00.000Z,keres,onetinsoldier,"thank you, though"
2008-12-14T05:50:00.000Z,onetinsoldier,keres,you're welcome.. i can try to help further tho.. what's happening now?
2008-12-14T05:50:00.000Z,keres,onetinsoldier,http://pastebin.com/d7654dbd6
2008-12-14T05:50:00.000Z,onetinsoldier,keres,ok.. i'll look
2008-12-14T05:50:00.000Z,keres,onetinsoldier,"i have mesa-common-dev, too"
2008-12-14T05:51:00.000Z,onetinsoldier,keres,ok.. hang on
2008-12-14T05:52:00.000Z,onetinsoldier,keres,hmmm. try   make clean ....and then run again  ./configure
2008-12-14T05:52:00.000Z,onetinsoldier,keres,doh!   make distclean
2008-12-14T05:53:00.000Z,onetinsoldier,keres,try running   make distclean...  then ./configure
2008-12-14T05:53:00.000Z,keres,onetinsoldier,make: *** No rule to make target `distclean'.  Stop.
2008-12-14T05:54:00.000Z,onetinsoldier,keres,"hmmm... dangit, i'm rusty at this. thought that would work to clean up all the ./configure settings. it should have a distclean target i would think"
2008-12-14T05:54:00.000Z,onetinsoldier,keres,"how about removing the dir and then unpacking it again, then running the ./configure"
2008-12-14T05:57:00.000Z,onetinsoldier,keres,did you unpack it again and go into the dir?
2008-12-14T05:58:00.000Z,keres,onetinsoldier,yes
2008-12-14T05:59:00.000Z,onetinsoldier,keres,how did you get the configure script to begin with? what is this source(what are you trying to compile)? I will download it and try to compile here
2008-12-14T05:59:00.000Z,onetinsoldier,keres,netradiant???
2008-12-14T05:59:00.000Z,keres,onetinsoldier,http://www.icculus.org/netradiant/#What%20is%20NetRadiant?
2008-12-14T06:03:00.000Z,onetinsoldier,keres,you will probably need to give me a little time
2008-12-14T06:03:00.000Z,keres,onetinsoldier,take as much as you need
2008-12-14T06:03:00.000Z,onetinsoldier,keres,i have it unpacked though... going in
2008-12-14T06:09:00.000Z,onetinsoldier,keres,you were running a configure script at some point somewhere weren't you?
2008-12-14T06:10:00.000Z,onetinsoldier,keres,or just the 'make' command.. i guess there never was a configure script eh?
2008-12-14T06:10:00.000Z,keres,onetinsoldier,my pastebin is the output from make
