date,from,to,text
2005-11-26T08:23:00.000Z,sethk,lightbright,"with modern drive hardware, there is no good reason not to use a single large partition"
2005-11-26T08:24:00.000Z,lightbright,sethk,"ok ill use the whole drive!  I thought it was a good diea to have /home on seperate partition, but it didnt do me any good :)  ill use the whole drive"
2005-11-26T08:25:00.000Z,sethk,lightbright,"I don't see where is makes any difference, and I've been doing this for a long time."
2005-11-26T08:25:00.000Z,sethk,lightbright,"people talk about umounting things for reinstalls, or other bizarre circumstances, but they don't really come up."
2005-11-26T08:26:00.000Z,lightbright,sethk, so you have only 2 partitons?  hda1 = / and hda5 = swap?
2005-11-26T08:26:00.000Z,sethk,lightbright,that's what I do on my boxes with 40 gig
2005-11-26T08:26:00.000Z,sethk,lightbright,although not hda5
2005-11-26T08:26:00.000Z,sethk,lightbright,that's dumb.  hda2
2005-11-26T08:26:00.000Z,lightbright,sethk,ok ill do that now!  use the whole drive for /
2005-11-26T08:26:00.000Z,sethk,lightbright,why have overhead involved with an extended partition?
2005-11-26T08:27:00.000Z,lightbright,sethk,"when I chose use whole drive, Ubuntu created swap by itself on hd5"
2005-11-26T08:27:00.000Z,sethk,lightbright,"I know, but override it."
2005-11-26T08:27:00.000Z,sethk,lightbright,"it's a machine, you are smarter than it is"
2005-11-26T08:27:00.000Z,lightbright,sethk,"if you install Breezy and tell it to use whoile drive, it will use hda1 for / and create a hda5 for swap!  thats whats its doing by itself"
2005-11-26T08:28:00.000Z,sethk,lightbright,I know
2005-11-26T08:28:00.000Z,sethk,lightbright,that's why I said to change it
2005-11-26T08:28:00.000Z,lightbright,sethk,why would it hurt to have it as hda5?
2005-11-26T08:28:00.000Z,sethk,lightbright,"a bit less efficient.  Only a hair, but why put up with it?"
2005-11-26T08:28:00.000Z,lightbright,sethk,why does it hurt?
2005-11-26T08:28:00.000Z,lightbright,sethk,and what happened to hda2 and 3 and 4?
2005-11-26T08:28:00.000Z,sethk,lightbright,because hda5 is a pseudo partition in hda4
2005-11-26T08:29:00.000Z,sethk,lightbright,"and in your case hda2 and hda3 are unused, which is the point"
2005-11-26T08:29:00.000Z,lightbright,sethk,but I dont ever see the swap anyway!  i leave it alone
2005-11-26T08:29:00.000Z,sethk,lightbright,"I know, but if it is used, then it matters.  The kernel uses it if you run out of real memory"
2005-11-26T08:29:00.000Z,sethk,lightbright,"but if you aren't comfortable mucking around with it, don't worry"
2005-11-26T08:29:00.000Z,sethk,lightbright,it's trivial to change it later if you want
2005-11-26T08:30:00.000Z,sethk,lightbright,it's a somewhat academic objection on my part.
2005-11-26T08:30:00.000Z,lightbright,sethk,ok :)
2005-11-26T08:30:00.000Z,lightbright,sethk,how can I change it from hda5 to hda2?
2005-11-26T08:31:00.000Z,sethk,lightbright,"you use fdisk.  delete hda5, and hda4.  then create hda2, and mark it as swap"
