date,from,to,text
2004-09-11T16:35:00.000Z,mdz,,I just pulled it into warty bugzilla to ask about that
2004-09-11T10:04:00.000Z,pitti,mdz,"I would still like it best to have a strict root/user separation, but maybe I'm just too conservative"
2004-09-11T10:05:00.000Z,mdz,pitti,"it is a usability problem for the user to remember two passwords, especially when one of them is almost never used"
2004-09-11T10:05:00.000Z,pitti,mdz,"just because the people are misled by windows, we still should teach them about different roles about using a computer, don't?"
2004-09-11T10:06:00.000Z,pitti,mdz,agreed about the remembering of the root password. hmmm.
2004-09-11T10:06:00.000Z,pitti,mdz,what about setting up the same password for root by default?
2004-09-11T10:07:00.000Z,pitti,mdz,not for people used to Unix already
2004-09-11T10:07:00.000Z,mdz,pitti,"yeah, we discussed that and it was as thom says"
2004-09-11T10:07:00.000Z,mdz,pitti,people used to unix will immediately 'sudo passwd root'
2004-09-11T10:07:00.000Z,pitti,mdz,"okay, if this was already discussed to death, I will shut up."
2004-09-11T10:10:00.000Z,pitti,mdz,"BTW, many friends of mine don't know what 'sudo' is (sudo passwd root), but they are used to different computer usage roles."
2004-09-11T10:11:00.000Z,mdz,pitti,the last screen of the installer should explain how to set the root password
2004-09-11T10:11:00.000Z,pitti,mdz,and how to disable universal user admin rights
2004-09-11T10:15:00.000Z,mdz,pitti,right
2004-09-11T10:17:00.000Z,pitti,mdz,but still this should be explained somewhere
2004-09-11T10:19:00.000Z,pitti,mdz,"Kamion: right now, gksu asks for a root password, which I don't have. I assume this will get fixed?"
2004-09-11T10:21:00.000Z,pitti,mdz,"good news! sid's and warty's hotplug packages already support per-package usb usermaps, so I can modify libgphoto to automatically allow camera access to users"
2004-09-11T10:22:00.000Z,mdz,pitti,great!
2004-09-11T10:22:00.000Z,pitti,mdz,"it is a small change, no code modification necessary"
2004-09-11T10:23:00.000Z,pitti,mdz,"sorry, I think that did not apply to gphoto, did it?"
2004-09-11T10:40:00.000Z,mdz,pitti,I was talking about the font stuff
2004-09-11T10:57:00.000Z,mdz,pitti,did you see my mail to the list about pmount/gvm?  how are we going to handle unmounting?
2004-09-11T10:58:00.000Z,pitti,mdz,"I'm at the phone, will return later"
2004-09-11T11:20:00.000Z,pitti,mdz,"I'm back, sorry, was a long talk."
2004-09-11T11:20:00.000Z,pitti,mdz,I read it.
2004-09-11T11:21:00.000Z,pitti,mdz,To me it seems that the most consistent and intuitive way of umounting the device is to close the nautilus window
2004-09-11T11:21:00.000Z,pitti,mdz,but the problem is what to do if there is still a process using the device
2004-09-11T11:22:00.000Z,mdz,pitti,fuser -k? :-)
2004-09-11T11:22:00.000Z,pitti,mdz,isn't there a context menu entry of 'ejecting' the device?
2004-09-11T11:22:00.000Z,pitti,mdz,the safest method is still to do the ejecting manually
2004-09-11T11:22:00.000Z,pitti,mdz,"I don't know anything about the gnome stuff, so I cannot say how easy it is"
2004-09-11T11:22:00.000Z,mdz,pitti,this is a USB flash reader; the hardware doesn't actually have an 'eject' concept
2004-09-11T11:23:00.000Z,pitti,mdz,"I would still prefer either a context menu (umount, eject, release, whatever) or a small icon"
2004-09-11T11:23:00.000Z,pitti,mdz,Windows calls it 'safe remove' IIRC
2004-09-11T14:59:00.000Z,pitti,mdz,"we still need a new group for allowing local user access to removeable devices. I'd favor a single group for USB sticks, cameras and FireWire devices, do you think we should split that into several groups?"
2004-09-11T15:26:00.000Z,mdz,pitti,I think a single group is better
2004-09-11T15:35:00.000Z,pitti,mdz,any idea how to smoothly handle upgrades to the 'plugdev'-restricted mount/camera/whatever system?
2004-09-11T15:35:00.000Z,mdz,pitti,specifically?
2004-09-11T15:35:00.000Z,pitti,mdz,we should not just put every existing user with uid > 1000 into that group
2004-09-11T15:36:00.000Z,mdz,pitti,"oh, I don't think we need to worry too much about that, just do it in base-config"
2004-09-11T15:36:00.000Z,mdz,pitti,we can send an email to the sounder list about it
2004-09-11T15:36:00.000Z,pitti,mdz,"agreed for the sounders, but what about upgrades from woody?"
2004-09-11T15:37:00.000Z,pitti,mdz,I thought woody upgrades should be supported?
2004-09-11T15:37:00.000Z,mdz,pitti,"they are, but we do not expect to make such intrusive changes to their working configuration"
2004-09-11T15:37:00.000Z,mdz,pitti,this is not something which is required for a successful upgrade
2004-09-11T15:37:00.000Z,pitti,mdz,"agreed, but we have to explain that somewhere"
2004-09-11T15:38:00.000Z,pitti,mdz,I think somebody would kill me if I added a high-priority debconf note
2004-09-11T15:42:00.000Z,pitti,mdz,so I just do the mods and we put a stanza about this into the release notes?
2004-09-11T15:42:00.000Z,mdz,pitti,sure
2004-09-11T15:43:00.000Z,mdz,pitti,"we can't provide exactly the same experience on upgrades, since we won't risk intrusive changes to the user's configuration"
2004-09-11T15:43:00.000Z,pitti,mdz,"okay, will do. BTW, do you agree to my propsed todo list?"
2004-09-11T15:43:00.000Z,mdz,pitti,I need to review it
2004-09-11T15:43:00.000Z,pitti,mdz,can you reply to the mail please? I'm going to bed now.
2004-09-11T15:44:00.000Z,mdz,pitti,"but in a nutshell, you need to finish the implementation of the removable device support as soon as possible so that you can focus on bugfixing for the release"
2004-09-11T15:44:00.000Z,pitti,mdz,"yeah, I will work that out with npmccallum "
2004-09-11T15:45:00.000Z,mdz,pitti,I will respond to the mail when I have a chance
2004-09-11T15:45:00.000Z,pitti,mdz,thanks! good night!
2004-09-12T12:53:00.000Z,pitti,mdz,this silly postgresql log permission thingy... will you accept another sid sync (with some other small changes) or shall I prepare an -ubuntu1 package?
2004-09-12T12:53:00.000Z,mdz,pitti,"if the other changes are small and safe, we can sync"
2004-09-13T12:05:00.000Z,mdz,pitti,"ok, will do"
2004-09-13T11:20:00.000Z,pitti,mdz,still awake?
2004-09-13T12:23:00.000Z,mdz,pitti,yes
2004-09-13T12:24:00.000Z,pitti,mdz,In the meantime I wrote a mail on sounders about the sudo stuff.
2004-09-13T12:24:00.000Z,pitti,mdz,"I looked at your patches, looks good."
2004-09-13T12:24:00.000Z,pitti,mdz,but why do you think snprintf is better than strncat?
2004-09-13T12:25:00.000Z,pitti,mdz,"printf is quite expensive and has a lot more code than strncat, doesn't it?"
2004-09-13T12:41:00.000Z,mdz,pitti,snprintf operates in terms of the available storage
2004-09-13T12:41:00.000Z,mdz,pitti,while strncat requires that you calculate it
2004-09-13T12:42:00.000Z,pitti,mdz,okay; I already incorporated the fixes; I will also restrict it to the plugdev group in today's upload
2004-09-13T12:42:00.000Z,pitti,mdz,if we leave mount/umount unrestricted this does not really fulfill the SecurityPolicy because all users still can mount CD-ROMS (with are in fstab)
