date,from,to,text
2008-11-16T09:43:00.000Z,sebsebseb,,"I made a 1GB  swap partition and I also have a 4mb or so swap partition,  because of the way my partition set up is done,  I thought may as well use that 4mb for something.    I also think this computer is not using any swap,  how to turn it on?"
2008-11-16T09:44:00.000Z,sebsebseb,,swapon did nothing
2008-11-16T09:44:00.000Z,sebsebseb,,and
2008-11-16T09:44:00.000Z,sebsebseb,,well no errrors for swapon
2008-11-16T09:44:00.000Z,thiebaude,sebsebseb,did you check system rsources
2008-11-16T09:45:00.000Z,sebsebseb,thiebaude,where?
2008-11-16T09:45:00.000Z,thiebaude,sebsebseb,in system monitor
2008-11-16T09:46:00.000Z,thiebaude,sebsebseb,system.system monitor.memory and swap history
2009-04-09T19:41:00.000Z,thiebaude,sebsebseb,i was about to say shrink to windows partition to zero
2009-05-16T09:31:00.000Z,sebsebseb,thiebaude,"not so wow,  he hasn't installed Ubuntu before I think"
2009-05-16T09:41:00.000Z,thiebaude,sebsebseb,i use it
2009-05-16T09:42:00.000Z,sebsebseb,thiebaude,"yeah I think there's a lot of FUD  (Fear Uncertainity and Doubt) when it comes to  Ext4 still,  to put newbies off just in case something happens"
2009-05-16T09:43:00.000Z,thiebaude,sebsebseb,"yup,  and im using 9.10"
2009-05-16T09:43:00.000Z,sebsebseb,thiebaude,9.10???   that's not even alpha1 yet is it?
2009-05-16T09:43:00.000Z,thiebaude,sebsebseb,it just made alpha1
2009-05-16T09:44:00.000Z,thiebaude,sebsebseb,now of course when i used the 9.04 alphas there were the intel problems
2009-05-16T09:44:00.000Z,sebsebseb,thiebaude,well there are still intel problems in the final
2009-05-16T09:45:00.000Z,thiebaude,sebsebseb,thats why i had to edit my xorg.conf
2009-05-16T09:45:00.000Z,sebsebseb,thiebaude,yes
2009-05-16T09:49:00.000Z,sebsebseb,thiebaude,alpha1 ah right
2009-05-16T09:49:00.000Z,thiebaude,sebsebseb,yes
2009-05-16T09:50:00.000Z,sebsebseb,thiebaude,surely it's very similar to 9.04?
2009-05-16T09:51:00.000Z,thiebaude,sebsebseb,when i edited xorg.conf in 9.04 that fixed my problem and the fix carried over to 9.10
2009-05-16T09:51:00.000Z,sebsebseb,thiebaude,ok sounds good
2009-05-16T09:51:00.000Z,thiebaude,sebsebseb,added 'DR' and 'off' to the device section
2009-05-16T09:52:00.000Z,sebsebseb,thiebaude,"I find  xorg a pain in the arse,  still after these years"
2009-05-16T09:52:00.000Z,thiebaude,sebsebseb,soo true mate
2009-05-16T09:52:00.000Z,sebsebseb,thiebaude,luckily  I got a driver  available that just works :)   nivida one
2009-05-16T09:52:00.000Z,thiebaude,sebsebseb,i fixed 9.04 2 days before final
2009-05-16T09:53:00.000Z,sebsebseb,thiebaude,we are off topic hum
2009-05-16T09:53:00.000Z,thiebaude,sebsebseb,i think i got the fix from the ubuntu web site
2009-05-16T09:54:00.000Z,thiebaude,sebsebseb,have a good nite
2009-05-21T04:29:00.000Z,sebsebseb,thiebaude,you know wireless issues?
2009-05-21T04:30:00.000Z,thiebaude,sebsebseb,"i sure dont, i use a wired broadband connection"
2009-05-21T04:30:00.000Z,sebsebseb,thiebaude,same here :)
2009-05-21T04:46:00.000Z,thiebaude,sebsebseb,i dual boot xp and 9.10
2009-05-21T04:52:00.000Z,thiebaude,sebsebseb,doesn't ubuntu run slower on a wubi install?
2009-05-21T04:52:00.000Z,sebsebseb,thiebaude,"it can do yeah, if Windows is all fragmented"
2009-05-22T00:01:00.000Z,sebsebseb,thiebaude,"I was going to do that,  but  I  was trying to do the auto complete with his name"
2009-05-22T00:02:00.000Z,thiebaude,sebsebseb,"kewl, thanks"
2009-05-22T00:02:00.000Z,sebsebseb,thiebaude,yeah your probably overreating a little bit :d
2009-05-23T22:47:00.000Z,sebsebseb,thiebaude,:)
2009-05-24T09:05:00.000Z,thiebaude,sebsebseb,you here
2009-05-25T05:05:00.000Z,sebsebseb,thiebaude,that's better
2009-05-25T05:05:00.000Z,sebsebseb,thiebaude,and this isan't a chat channel by the way
2009-05-26T22:27:00.000Z,thiebaude,sebsebseb,soo true
2009-05-26T22:42:00.000Z,thiebaude,sebsebseb,"yea, i was just testing it, didn't like it"
2009-06-04T00:23:00.000Z,sebsebseb,thiebaude,"I thought you used the karmic alpha, not XP hum"
2009-06-04T00:24:00.000Z,thiebaude,sebsebseb,i use to
2009-06-06T07:29:00.000Z,thiebaude,sebsebseb,hi
2009-06-06T07:29:00.000Z,sebsebseb,thiebaude,hi
2009-06-07T05:32:00.000Z,thiebaude,sebsebseb,hi
2009-06-07T05:42:00.000Z,thiebaude,sebsebseb,"thanks, exactly"
2009-06-07T05:43:00.000Z,sebsebseb,thiebaude,what?
2009-06-07T05:43:00.000Z,thiebaude,sebsebseb,md5sum
2009-06-07T06:02:00.000Z,sebsebseb,thiebaude,"I heard about a few people getting a like currupted Ext4 partition,  but with those kernel patches for the latest kernel,  I think it's fine, except for those 3 issues in the release notes.   Also  Fedora 11 released in 3 days according to the website,  has Ext4 by default, which must mean something"
2009-06-07T06:03:00.000Z,sebsebseb,thiebaude,latest kernel?  I meant the one Ubuntu has in repo
2009-06-07T06:03:00.000Z,thiebaude,sebsebseb,im thinking about going ubuntu only
2009-06-07T06:06:00.000Z,thiebaude,sebsebseb,"yep, ext4 is very good"
2009-06-07T06:10:00.000Z,thiebaude,sebsebseb,haha
2009-06-07T06:10:00.000Z,thiebaude,sebsebseb,i just hope he does it right
2009-06-07T06:10:00.000Z,sebsebseb,thiebaude,well we make sure he does it right?
2009-06-07T06:11:00.000Z,sebsebseb,thiebaude,"that also means he gets the partition size  done right first time round, because by the sounds of the release notes there could be a little problem if an Ext4 partition is resized, at the moment"
